acn,ATCEquipment/NavFacility/Buildings,Aircraft,Airport,AirspaceStructure,ChartOrPublication,CompanyPolicy,Environment-NonWeatherRelated,Equipment/Tooling,HumanFactors,Incorrect/NotInstalled/UnavailablePart,LogbookEntry,MEL,Manuals,None,Procedure,SoftwareandAutomation,Staffing,Weather
2260174,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2260249,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2260370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2261317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2261780,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2261829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2262131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2262260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2262832,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
2263476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2263579,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2263832,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2263956,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264630,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2265428,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2265492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265685,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2265942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2266855,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2266919,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2267664,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2268118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2268167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2268169,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2268226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2268587,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2269016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2269834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2269883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2270014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2270017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2270415,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2270541,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2270704,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2271609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278406,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2278913,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2278960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2279453,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2279843,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2279966,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2280744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2280796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2281039,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
2281400,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2281494,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2281989,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2282789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2282837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2282851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2283326,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2283400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2285808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2285874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2288042,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2288155,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2288721,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2288813,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2288924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2289162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2289386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2290177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290569,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2291065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291690,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2291708,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2292081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2292482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2292635,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292658,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2292903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2293409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2294125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2294958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2295074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2295251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2295372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2295769,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2297036,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2297182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2297777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2298412,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2298483,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2298899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2298973,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2299448,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2300365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
