acn,Report_1_Synopsis,Assessments_Primary_Problem
1897807,B737 Flight Crew reported a bird strike right after takeoff; resulting in an angle of attack vane to shear off.,Environment - Non Weather Related
1785691,Air Taxi flight crew reported not hearing ATC for a while during cruise.  Reportedly; they had not been properly handed off to the next Center.,Environment - Non Weather Related
2096340,B737-800 flight crew reported encountering multiple bird strikes and upon landing; realized there was no nose wheel steering. The flight crew found out there was a hydraulic leak and the aircraft was towed to the gate.,Environment - Non Weather Related
1781064,Air carrier flight crew reported a passenger misconduct incident during flight that initiated due to non-compliance with face mask policy.,Environment - Non Weather Related
1901569,EMB-145 First Officer reported encountering wake turbulence departing ORD in trail of an A320.,Environment - Non Weather Related
1968529,A Center Controller reported an Air Carrier was left on a heading too long and flew below the Minimum IFR Altitude.,Airspace Structure
1870312,Pilot reported a loss of GPS signal; possibly attributed to 5G interference.,ATC Equipment / Nav Facility / Buildings
1903930,Ramp Agent reported the retaining strap between the aircraft and tug broke during towing allowing the aircraft to roll backwards on its own.,Equipment / Tooling
1800062,Air carrier Captain reported confusion with the LGA airport La Guardia 7 SID engine out procedures.,Chart Or Publication
1793758,Pilot reported glideslope problems while inbound to GLS airport.,ATC Equipment / Nav Facility / Buildings
1828673,Flight crew reported executing a go around due to being below altitude; uncomfortable with the approach; and the airport environment.,Environment - Non Weather Related
1949549,Air Carrier Captain reported the airport chart for MMQT should be updated.,Chart Or Publication
1872645,Air carrier Captain reported receiving an RA fault on short final at FLL; citing possible 5G interference as the cause of the event.,Environment - Non Weather Related
1881072,Air carrier pilot reported possible 5G interference while landing at LAX Runway 25L.,Environment - Non Weather Related
2061581,Helicopter maintenance technicians reported that after scheduled maintenance they learned a pilot discovered during preflight inspection the tail rotor gearbox oil cap was not installed.,Incorrect / Not Installed / Unavailable Part
1925975,Pilot reported issues with the condition of DWA airport including faded runway and taxiway markings and a rotating beacon with a non-operational light.,Airport
1872593,Air carrier Captain reported flying into a normal controlled airport; but Tower was closed due to COVID and having numerous issues in the air and on the ground with other aircraft.,Environment - Non Weather Related
1829963,JAN Tower Controller reported the fire alarm goes off periodically for no reason.  This is a known reoccurring issue.  Reporter stated not knowing if it is a real fire or a false alarm every time it goes off is an issue which causes distraction.,ATC Equipment / Nav Facility / Buildings
1829589,B737 MAX 8 First Officer reported finding unusual wear on a main tire which maintenance deferred for a later replacement.  First Officer was informed that it was a known problem.,MEL
2171137,Flight Instructor reported experiencing a NMAC while on a base leg in the traffic pattern that required evasive action to avoid another aircraft.,Environment - Non Weather Related
2259905,Air carrier First Officer reported electrical malfunctions and flap disagree indications.,Software and Automation
2167653,B777 pilot reported during taxi into gate a vehicle drove under their nose.,Airport
1899648,First Officer reported experiencing a TCAS Resolution Advisory to remain clear of conflicting traffic after departure from Newark airport.,Airspace Structure
1843009,Challenger 350 Technician reported that MEL placards were not installed after life rafts were removed for overhaul.,MEL
