acn,Report_1_Synopsis,Assessments_Primary_Problem
2008766,A TRACON Controller reported aircraft on approach were initiating go-arounds due to wind shear. A regional jet climbed uncontrollably 3;000 ft. above its assigned altitude.,Weather
2109432,Air carrier Captain reported the Ramp Agent gave the flight crew an incomplete wheelchair battery form during preflight. The Captain located the passenger and was able to properly configure the wheelchair for flight and completed the form prior to departure.,Human Factors
1974739,BE35 pilot reported loss of oil pressure in flight and after landing and parking; oil was observed along the entire fuselage. Inspection revealed an STC-approved quick drain oil plug was missing.,Human Factors
1904026,B767 Captain reported a gate return due to excessive force required to actuate the rudder pedals that was the result of a leaking rudder ratio module.,Aircraft
1787366,C172 flight instructor reported a complete failure of communication and navigation equipment while on an instrument approach and in reduced visibility. The instructor broke off the approach; remaining in visual conditions; and was eventually able to contact ATC on a cell phone and make a successful approach and landing.,Aircraft
2234916,A321 pilot reported the number 4 brake locked up during taxi-out requiring maintenance to meet the aircraft out on the taxiway.,Aircraft
1853327,B737 First Officer reported the aircraft encountered moderate wake and/or jet blast turbulence on short final at LAX from a departing B747.,Procedure
1856351,GA pilot reported flying through severe turbulence near RDU airport resulting in difficulty controlling the aircraft and a descent below the MDA.,Weather
1905750,Air carrier Captain reported an intermittent fume event initially noted during boarding which dissipated after engine start. The strong odor resumed after takeoff which prompted the Captain to execute an immediate and safe air return for maintenance.,Aircraft
2232811,C172 student pilot on training flight with instructor reported a near miss with another aircraft.,Human Factors
2109390,Air carrier flight crew reported taxiway incursion during taxi for takeoff in heavy rain.,Weather
1839362,First Officer reported ADC (Air Data Computer) #1 failure affected the cabin pressurization system; requiring a descent and a switch to #2 ADC; which restored cabin pressure control.,Aircraft
2205943,Air taxi Captain reported during short final approach another aircraft landed on the same runway; opposite direction. Air taxi flight crew performed a go-around and returned to land.,Human Factors
2195845,General aviation instructor pilot reported a near miss with another aircraft in the traffic pattern of non-towered airport DYB. The instructor took control and maneuvered to avoid the other aircraft based on the ADS position on the flight instruments; then re-entered the pattern and landed safely.,Human Factors
1815045,Embraer Captain reported rejecting the takeoff due to #2 engine vibration after ingesting a bird on takeoff roll.,Ambiguous
2212111,B787 First Officer reported during engine start they received a fire warning in one engine and were towed back into the gate.,Aircraft
2138724,Flight Instructor with student reported an NMAC while doing basic maneuvers requiring evasive action to avoid a possible collision.,Human Factors
2114174,General aviation instructor pilot reported a near miss with another aircraft during cruise near a non-towered airport. The instructor maneuvered away from the other aircraft to avoid the opposite direction conflict.,Human Factors
1899595,TRACON Controller reported not issuing a clearance correctly and then forgetting to advise the relieving controller about the aircraft's release.  Aircraft departed and turned into a higher MVA than was expected.,Procedure
1897807,B737 Flight Crew reported a bird strike right after takeoff; resulting in an angle of attack vane to shear off.,Environment - Non Weather Related
2105306,CL350 pilot reported receiving a low altitude warning from ATC while being vectored for approach. Flight crew climbed to a safe altitude and continued approach.,Human Factors
1785691,Air Taxi flight crew reported not hearing ATC for a while during cruise.  Reportedly; they had not been properly handed off to the next Center.,Environment - Non Weather Related
1854765,Lancair Evolution pilot reported pitot static system icing in climb. The pilot diverted and landed without incident.,Human Factors
1849117,Flight Instructor reported that during landing rollout the student lost directional control of the aircraft through misapplication of the rudder pedals and locking up the brakes. The Flight Instructor regained control of the aircraft and safely exited the runway.,Human Factors
1789632,GA pilot on short final landing at a non-towered airport reported a conflict with an opposite direction arrival which had been transmitting their runway intentions on the wrong frequency.,Human Factors
2100261,EMB-175 flight crew reported they failed to secure the cockpit door for departure; citing multiple distractions as contributing.,Human Factors
2222769,B787-9 Technician reported noticing a chronic issue with the main landing gear shock strut door having loose hardware and broken safety wire and suggested there be inspections on the pedestal fittings.,Aircraft
2021777,CRJ-700 First Officer reported a low altitude warning from ATC while maneuvering for a visual approach in mountainous terrain during daylight VMC conditions. The crew corrected altitude then landed safely.,Procedure
1866051,Helicopter Pilot reported an NMAC during pre-takeoff hover checks on runway.,Human Factors
2097500,Flight instructor on training flight with student reported engine failure in flight. Returned to departure airport and landed uneventfully.,Aircraft
2193112,A320 pilot reported an engine stall warning and other erratic readings so they diverted to a suitable airport.,Aircraft
2273774,General aviation pilot reported a vehicle crossed the runway as the pilot was rotating. With inadequate distance to stop; the pilot continued takeoff and flew over the vehicle.,Ambiguous
2096340,B737-800 flight crew reported encountering multiple bird strikes and upon landing; realized there was no nose wheel steering. The flight crew found out there was a hydraulic leak and the aircraft was towed to the gate.,Environment - Non Weather Related
1840593,Captain reported an engine fuel filter bypass light illuminated. Captain elected to request priority handling to land at destination airport.,Aircraft
