,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1229390,atcequipment/navfacility/buildings,The previous arrival reported a deflection in the runway 7L localizer when intercepting the glideslope. Aircraft X was inbound on the runway 7L ILS while DAB was below basic VFR minima. I advised Aircraft X of the previous arrival's report and watched him closely as he was inbound. I could not see him out the window because of poor visibility but saw that he appeared low on the TDW [Tower Display Workstation]. The LA [Low Altitude Alert] did not alarm but I was about to issue one anyway because of his proximity from the FAF [Final Approach Fix] and the terrain. Before I keyed the mic I remembered that our tower video map has been wrong for the past few years. The runway 7L ILS approached changed FAFs and their locations. TOMOK was the old fix that is still displayed on the map but the new fix FOLIG is in a different place. If I had issued a LA based on the incorrect fix despite the aircraft's altitude being fine; it could have resulted in pilot disorientation in IMC.This map; along with a few other TRACON maps; need [to be] updated. I have talked to our OM [Operations Manager] about the issue several times in the past and nothing seems to get done. Two TRACON maps show incorrect boundary lines with adjacent facilities which could result in ODs [Operational Deviations]. The tower map with the incorrect FAF is the more important of the maps to get corrected because it can affect aircraft at low altitudes in poor weather conditions.,
1232221,atcequipment/navfacility/buildings,JCF experienced ATC Zero due to an equipment issue.  There was not a loss of separation on any IFR aircraft.  We implemented non radar procedures and gave the airspace away.  Flight following was re-established with the VFR aircraft once the Radar came back online about 15 minutes later.The facility should strive to come up with a current SOP for when such things happen.,
1234132,atcequipment/navfacility/buildings,Landed Runway 8. During rollout tower instructed us to turn right on E6 or E7. As we slowed I looked for signs to the right to locate E6 or E7.  I could see the yellow with black print E7 sign but nothing notating where E6 was. The 10-9 chart shows E6 before E7 but there is no E6 sign at all. There is a section of pavement with numerous yellow Xs (notated as closed on the 10-9). Unfortunately when exiting the runway the yellow Xs look like a maze of taxi way centerlines.  I slowed our taxi; looked for the lead-off line; discussed where E6 was and decided if E7 was up ahead then this must be E6. We only has a few seconds to completed this as we were trying to exit an active runway. There were no runway edge lights; no closed signs; nothing other than the yellow X's which did not look like yellow X's from our point of view. The pavement color was the same grey the rest of the taxiways are colored. Once we had established ourselves on the closed portion of the old E5 I could see widely spaced raised blue taxi edge lights ahead.  I slowed and started to turn back toward the runway; the ABQ ground controller said don't turn back on the runway (we hadn't technically cleared; our right wing was a few feet from the runway edge marking and we had not crossed a hold short line.  The blue taxiway edge lights separating E5 from E were widely spaced (est 80 feet apart) and we asked if we could proceed between the lights.  Ground approved. We continued via E with out further incident. During the decent briefing we discussed the taxi route and specifically Hot Spot 4 as it would likely apply as we proceeded west on taxiway E. We discussed the closures; runway crossings; notams; and the gate location. Without prior experience knowing how confusing the taxiway markings or lack of signage would be; we could not have done much more to prevent mistaking E5 for E6.The root cause was continuing to taxi when I was not 100% confident of our location.  Contributing factors are the poor marking of the location of E6 and the inadequate markings for the closed E5 (it looks like a taxi way until your are on top of the yellow Xs).   Closed taxiways should have the green infield paint if the concrete is going to remain.  Especially along the borders of current taxiways and runways.  Above ground signage should be added to denote the location of E6.  Runway edge lights could be replaced so it does not look like an exit point from runway 8.,
1235184,atcequipment/navfacility/buildings,We are a STARS facility that runs the bulk of our approaches to NGP; a NAVY base. They have our radar feed. They have STARS equipment; but not our STARS feed. Because of this; we are forced to make manual inbound and handoff calls for every approach. This takes the radar controller's focus and attention away from the radar scope and forces him or her to make a landline communication that would be completely unnecessary if our STARS equipment talked to the navy STARS. This is a huge safety risk. Our facility is constantly training new controllers and new pilots; which is the NAVY's mission; to train new pilots. Hear back/Read back is a huge issue here with the brand new; green pilots and it is only exponentially compounded with the added landline communications.I have been told over and over that this is just a money issue. That is an unacceptable answer for the amount of safety that is at risk. We are talking chump change to get these two systems to talk to each other. This needs to happen ASAP. It has been a problem for years and controllers have just had to learn to deal with it. Get the FAA STARS to talk to the NAVY STARS and then we can develop procedures and scratchpad entries to ensure a safe operation.,
1235645,atcequipment/navfacility/buildings,We are a STARs facility that runs the bulk of our approaches to NGP; a NAVY base. They have our radar feed. They have STARs equipment; but not our STARs feed. Because of this; we are forced to make manual inbound and handoff calls for every approach. This takes the radar controller's focus and attention away from the radar scope and forces him or her to make a landline communication that would be completely unnecessary if our STARs equipment talked to the NAVY STARs. This is a huge safety risk. Our facility is constantly training new controllers and new pilots; which is the NAVY's mission; to train new pilots. Hear back/Read back is a huge issue here with the brand new; green pilots and it is only exponentially compounded with the added landline communications.I have been told over and over that this is just a money issue. That is an unacceptable answer for the amount of safety that is at risk. We are talking chump change to get these two systems to talk to each other. This needs to happen as soon as possible. It has been a problem for years and controllers have just had to learn to deal with it. Get the FAA STARs to talk to the NAVY STARs and then we can develop procedures and scratchpad entries to ensure a safe operation.,
1236958,atcequipment/navfacility/buildings,We are a STARS facility that runs the bulk of our approaches to NGP;a Navy base. They have our radar feed. They have STARS equipment; but not our STARS feed.  Because of this; we are forced to make manual inbound and handoff calls for every approach. This takes the radar controller's focus and attention away from the radar scope and forces him or her to make a landline communication that would be completely unnecessary if our STARS equipment talked to the Navy STARS.  This is a huge safety risk. Our facility is constantly training new controllers and new pilots; which is the Navy's mission; to train new pilots. Hear back/Read back is a huge issue here with the brand new; green; pilots and it is only exponentially compounded with the added landline communications. I have been told over and over that this is just a money issue. That is an unacceptable answer for the amount of safety that is at risk.  We are talking chump change to get these two systems to talk to each other. This needs to happen ASAP. It has been a problem for years and controllers have just had to learn to deal with it. Get the FAA STARS to talk to the NAVY STARS and then we can develop procedures and scratchpad entries to ensure a safe operation.,
1237218,atcequipment/navfacility/buildings,We are a STARS facility that runs the bulk of our approaches to a Navy base. They have our radar feed. They have STARS equipment; but not our STARS feed.  Because of this; we are forced to make manual inbound and handoff calls for every approach.  This takes the radar controller's focus and attention away from the radar scope and forces him or her to make a landline communication that would be completely unnecessary if our STARS equipment talked to the Navy STARS.  This is a huge safety risk.  Our facility is constantly training new controllers and new pilots; which is the Navy's mission; to train new pilots.  Hear-back/Read-back is a huge issue here with the brand new; green; pilots and it is only exponentially compounded with the added landline communications.I have been told over and over that this is just a money issue.  That is an unacceptable answer for the amount of safety that is at risk.  We are talking chump change to get these two systems to talk to each other.  This needs to happen ASAP.  It has been a problem for years and controllers have just had to learn to deal with it.  Get the FAA STARS to talk to the Navy STARS and then we can develop procedures and scratchpad entries to ensure a safe operation.,
1241876,atcequipment/navfacility/buildings,Three aircraft departed Aspen consecutively; initially on the same course. Aircraft X departed first and was climbed to FL 180 per his flight plan and after meeting MVA requirements was given a turn direct HBU per his flight plan. Then the Aircraft Y departed and during his climb out; unknown VFR traffic became a factor. Traffic was given: '12 o clock; 9 miles; opposite direction; altitude indicates 13;700. Aircraft Y acknowledged. Then Aircraft Z departed behind Aircraft Y with a faster airspeed and faster rate of climb. At this point; I should have turned Aircraft Y; or perhaps increased his speed to ensure positive control between him and Aircraft Z; all while updating Aircraft Y on the VFR traffic. However; I didn't see that Aircraft Z could be a factor with Aircraft Y; because my attention was drawn by Aircraft X. I was unable to perform an automated handoff of Aircraft X due to an unknown system error; so I attempted a verbal handoff with Denver Center Sector 12 controller. Sector 12 controller advised he could see the aircraft but could not accept a handoff because the aircraft was not tagging up. Sector 12 controller inquired to the reason for this discrepancy; asked if I had sent a departure message via FDIO (Flight Data Input/Output); the SUPVR/CIC/Ground controller told me he had tried it. As this exchange was taking place; Aircraft X was too close to airspace boundary to turn back to Aspen airspace without crossing the boundary; so I requested and received a point out from Sector 12 instead of a handoff. After ensuring the point out of Aircraft X; I scanned my departures and called traffic to Aircraft Y again: '11 o clock; 1 mile; opposite direction.' Aircraft Y advised he had traffic in sight and was maintaining visual separation. During this exchange; an approval request was made from another sector for an arriving aircraft and a separate aircraft belonging to Denver was approved in Aspen airspace by my SUPVR/CIC/GC. These two approval requests were not dangerous factors other than the fact that they increased traffic complexity. At this point I observed Aircraft Z for the first time; out climbing Aircraft Y and moving faster. I told Aircraft Z 'radar contact.' I then turned Aircraft Y away from Aircraft Z; then turned Aircraft Z away from Aircraft Y. They never came within 3 miles or 1000 feet of each other. Separation was not lost but I thought it was lost and advised the supervisor that I thought it was lost. I continued to work for approximately 20 minutes. The traffic I worked thereafter was difficult in complexity because of the exchanges that had taken time away from other priorities. I feel the issues worth reporting here are that perhaps the tower was under staffed; and perhaps Denver sector 12 should have taken a handoff on Aircraft X; also if the local controller would have stopped the climb of Aircraft Z or waited to depart the aircraft; this would have helped. I feel nothing of note would have happened if Aircraft X had 'tagged up.'I don't have a recommendation. These circumstances could not have been expected by the supervisor or myself. Traffic was not such that a handoff controller would seem necessary until Aircraft X became an issue.,
1242413,atcequipment/navfacility/buildings,Aircraft X pushed on [Taxiway] A; creating false target on runway 25L at H6 and on [Taxiway] H at H8.  Also for 13 minutes when the aircraft was on the taxiway there was no target at all on ASDE-X! Other false targets; unrelated to Aircraft X; but nearly continuous on C [Charlie] near AA [Alpha-Alpha]; and on AA south of E17.Improve ASDE-X; there are false targets continuously on the airport.  What are we going to do when there is fog?,
1244204,atcequipment/navfacility/buildings,Tower instructed us to contact Palm Beach departure after departing Runway 29 [30] at SUA; could hear controller loud and clear; no response from controller to our call. Switched to COM 2; no change. Pilot flying called on his mike - no response. Controller called us; no response to our answer. Controller requested 'ident' and acknowledged. We made numerous attempts to contact departure. Controller told us to climb to 5;000' and acknowledge with an ident. We did so and controller then told us to contact Miami Center. Miami acknowledged our radio call immediately. Exactly the same thing happened departing SUA; Runway 29 three days later. Departure frequency was 132.8.,
