,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1231117,chartorpublication,We had 4 DTA's coming out one hole in the weather. We had no in trail coming off of approach either. Our local procedure is to stop FLL departures at 11;000 feet to ensure they do not deviate into MIA departures. Aircraft X was stopped at 9;000 coming from MIA approach and was never coordinated. I was training an A-side at the sector next to this one and saw it get busy. I moved over to assist the R-side to get through this traffic mess. PBI approach called later and asked if we stopped the aircraft or if he was NORDO. That was when we were notified that we had not pointed him out. I would pay better attention to the aircraft we have handoffs on. When I came over to be the D-side I should have verified with the R-side that the aircraft was pointed out to approach.,I was working R46 by myself. I had been working this position for about an hour already. There was weather over Miami extending south about 15 miles south of Dolphin VOR and 30 miles to the north. The weather extended north to about our border with Miami Approach; and due west about 30 miles to the border with sector 24. Airplanes were not transiting through the precipitation; and would only go due west from Miami. They would not go northeast at all. They tried to go north to HEDLY departure; but no one was going to the east from Miami approach. I had one or two airplanes that pushed through the precipitation to the northeast; but all outright refused. I told my supervisor that no one was going through the precipitation; and that none of our departures were working off of MIA or South. Sector 25 was refusing to work the departures; so Traffic Management Unit (TMU) shut off the departures from Miami. The Everglades supervisor; came back to me and said that all departures are going out of HEDLY now. A few minutes later; Miami was basically free-flowing the departures out one gate. I was working all of the departures for WINCO/THNDR/HEDLY/ARKES with no D-Side; and no in trail. I had; on most occasions; about 5 miles; maybe less; between the departures as they came off of Miami Approach. This required me to vertically separate the traffic as it climbed. I asked for more in trail from my supervisor; and he gave me a D-Side for a few minutes before another sector got busy and needed him. Mr. X was my D-Side for about 15 minutes during this push. I asked for more in trail and was told 'it's coming'. During this push; Miami was basically climbing all Miami / South jets to 16;000 - and all Turboprops to whatever altitude they could coordinate. FLL jets were climbing to 11;000; and both out the same game. No one was able to go over HEDLY because of the precipitation; so everyone was over ARKES. Miami flashed me the handoff on Aircraft X. I can't recall whether or not they coordinated his altitude of 9;000 with me. I do not think they did; but I was also so busy that I can't remember. Aircraft X checked in level at 9;000 and I told him 'roger; higher shortly.' I had nowhere I could climb him; as I had no usable altitudes. With FLL having their jets climb to 11;000; he was stuck there until well further north. I should have pointed him out immediately to Palm Beach Approach; but at the time; I had 20 airplanes on my scope [The sector goes Red at 12] and no D-Side. Shortly after; my D-side; then returned from Sector 67. Miami was still free-flowing their departures; with little or no in trail. We were so busy trying to separate the airplanes we both forgot about Aircraft X being in the shelf. Aircraft X violated Palm Beach Approach's airspace and remained in their airspace until abeam PBI. Palm Beach Approach called and asked us who he was.Aircraft X was climbed without further incident. I worked another 30 minutes at the sector until being able to get a break.Staffing continues to be a huge issue at Miami Center and specifically in our area. D-Sides have to 'bounce' around from sector to sector as they get busy; because if we have all of the D-Sides staffed; or even a couple of the D-Sides staffed; we have no one on break. The D-Sides in this situation are not aware on what is going on with the sectors. They'll sit somewhere for 15 minutes; go to another sector; go to another sector; and end up at 2 more sectors before they get a break. In this occurrence; we had approximately 9 CPCs available for staffing. We had 6 sectors open; with 2 D-Sides available. That means 1 CPC is on break. Supervisors are not scheduling overtime; and we're getting the same staffing as we have had during the summer; even though our traffic counts are double what they were in the summer.Our shelf with PBI approach is from surface to 7;000 feet. ZMA Airspace built this shelf so Miami Approach wouldn't have to point out the traffic to Palm Beach Approach. In this case; putting an aircraft at 9;000 (with no coordination) is basically putting him into a boxed airspace canyon. It's an inevitable point out; and one that falls on Sector 46 when he doesn't check on or I can't climb him; as in this case. Miami Approach doesn't care that they put him at 9;000; because it's not their point out to make. I know of numerous ATSAP regarding Stratification of Miami Approach. I have even written one before. Having all jets coming out the same gate at different altitudes doesn't solve any problems; and it just allows 'less delays' out of Miami Terminal areas at the compromise of safety. Stratification wouldn't be nearly as bad as it is now; if it was treated as one DTAs; instead they treat it as a 4 DTAs; and approach shoves as much traffic out it as possible. This forces us to cap turboprops below the lowest jets - which is 9;000; and makes it an instant point out to PBI approach. We keep hearing the solution is metroplex; but metroplex is years off and the situation is dire now. Under the guise of Stratification; Miami Approach uses it to throw airplanes at us at any heading or altitude they like; without coordinating any of it. We can have two airplanes that were side by side and now given completely opposite headings and converging; all without coordination.
1232580,chartorpublication,This report is simply to advice of incorrect Jeppesen 10-9 plate for BRO. There was no deviations or errors associated with our flight/s and current NOTAMs address the issue. However Jeppesen is severely lagging with publishing a new 10-9 plate for BRO. It has been at least 3 weeks if not longer since runway 13R/31L has changed to runway 13/31; and runway 17/35 has become runway 18/36. The 10-9 page is still incorrect even with the 1/2/15 rev. #1 update. This can and has led to unnecessary confusion in the cockpit when cleared to cross runway 18 and there is no runway 18 on the chart.Runway numbering changes are not something airports do just on a whim and take months of planning. Jeppesen should have been more proactive and sent charts with an effective date regarding this runway numbering change. Hopefully revision #2 will have this change but if not we will have gone over a month with incorrect charts; however even the current amount of time is unacceptable.,
1232903,chartorpublication,On the ACCRA SID out of MKE after 10;000 feet; we indicated 300K.  When Center said we could resume normal speed we then saw on chart that 250 knots was the speed.  We both checked and talked about the SID before pushback and did not see speed restriction. The 250 speed restriction needs to be easier to notice.,
1232907,chartorpublication,This is a report on a mistake made two days in a row based on missing note 4 on the UECKR1 departure plate. This note directs us not to exceed 250 knots until advised. This report is on the first day's event. I did not discover this day's error until the following day operating the same leg. Taking off from MKE; we were cleared on the UECKR 1. Climbing through about 11k; departure cleared us to resume normal speed. On day 1 when the resume normal speed call was made; the first officer (FO) and I had a 'what was that about look' but the frequency and our tasking was busy so I did not inquire as to what the resume normal speed clearance pertained to. I assumed (incorrectly) that departure thought we had been assigned a speed from the previous controller although we had not. We continued on to destination. On day two with a different FO we were cleared on the UECKR1 and again; climbing through about 11k; departure cleared us to resume normal speed. This time I had the second FO inquire as to why this clearance was given. At this time; the controller told us that there was a 250-knot restriction on climb-out until further advised. We then had the '''Oh no; we missed that look''' at each other and said roger. However; we had already began to resume our normal speed since we had failed to see the SID speed restriction in the first place. This was the point where I realized that I had made this same mistake the day before which is in turn the impetus for filing this report. The revision loaded in the EFB has the 250-knot restriction as a small note 4 at the top of the page and the FO and I both missed this note. I flew again with that FO today and briefed him on what the 'resume normal speed' call was all about and the note that we both missed. This 250-knot restriction is very much like the one we had problems with coming out of ORD several months ago. The new revision (which is loaded in the iPad but not yet in the EFB) of the UECKR1 10-3B has a better format that draws your attention to the 250-knot restriction. However; I would also suggest that this restriction be put on the Tailored Procedures page as a departure not like it is in ORD. I cannot explain how I missed the note two days in a row. However; miss it I did. I hope this report will help the next guy from the embarrassment of making the same error.,
1234068,chartorpublication,The First Officer and I completed all the departure requirements for this flight (aircraft preflight; briefings...). We both looked at and discussed the actual SID given for our departure. I reviewed the SID a few times before takeoff myself. The final altitude on the SID is 13000 with a restriction to cross a particular fix at 5000. We missed the crossing restriction. ATC queried the restriction and immediately gave us a climb to 13000 ft. There is another SID for this Runway that I have done many times over the years with the same altitude restriction of 5000 ft. which has advisory notes to get your attention on this 5000 ft. crossing restriction. The SID given to us is a brand new SID; basically the same as the other common SID used but missing those what I consider very important NOTES of the crossing restriction. Had the notes been on this particular SID WE may have been alerted more obviously to this crossing restriction but due to our; I know my fatigued state of mind and lack of focus; we didn't notice. FATIGUE; we are both east coasters suddenly on the west coast and switched to a very late night departure next day with six and half hour standby before departure.Having those Restriction notes on this NEW SID like they do on the other similar SID would help in alleviating this kind of scenario as well as not switching east to west day to night abruptly. Proper rest time for adapting different time zones and suddenly switching days and nights.,
1234608,chartorpublication,We were operating a flight and we were instructed to follow a 757 to runway 8r for takeoff. As we approached the end of taxiway Echo there was an opposite facing aircraft and was not certain of who was next and could not get a word in to query ATC so I held short of the intersection just in case tower needed that aircraft to go first. Tower cleared the 757 for takeoff and I started my time just in case; 12 seconds later tower cleared us for takeoff on the same runway. Since I was a little ways back I knew it would take me a little time to get on the runway and start my takeoff roll. Both the First officer and I were a little confused by this a probably should have queried ATC immediately but as I stated I was not immediately ready for takeoff. We got lined up and I started to advance the trust at around 1min and 30 seconds after he cleared the 757 for takeoff. I did not stop on the runway or taxi any slower than normal but as I stated was slightly further back than normal. As we started to advance ATC queried us for not being airborne. My First Officer stated we were rolling and 'we needed space behind the heavy.' This made the controller mad and he started raising his voice stating if you need more time you need to let me know It's not a heavy!! We took off normally and Tower instructed us to contact departure and again stated we need to expedite the takeoff next time. I stated we were moving but that it was close to the heavy. Again more irritated than last time he stated it's not a heavy and all he needed was 6;000 feet between us and them. We didn't say anything else and switched over to Departure control. The next morning when we arrived at the gate I called ground control and got a number to the tower. I called them and they gave me to a supervisor who stated that Atlanta; Memphis and Louisville are part of the RECAT program which puts the 757 in class with almost every other large airplane and not a heavy. I told him I was aware of this program in Memphis but not yet at any other airports in the system. He stated they have been doing it in Atlanta for almost 6 months. I have the Memo 2012 for the MEM RECAT but have not seen any other memo's on this and was Not Aware that this practice was taking place in ATL. Again I'm not sure I could have expedited my take off much more but it apparently was not fast enough for the controller.I have consulted with other pilots and we have looked up the most current rules and regulations and could not find anywhere that states this is occurring in Atlanta. Clarification to the pilot group may help eliminate the need for this report having to be filed by another pilot.,
1235981,chartorpublication,We were filed into DFW via the BRDJE1 RNAV arrival. Approaching SEEVR with the BRDJE1 arrival in the FMGC; Fort Worth Approach told us were cleared to SEEVR; descend via the SEEVR arrival.  We checked the STAR; and were somewhat confused over the clearance; because the title page of 60-2B looks like this:BRDJE ONE RNAV ARRIVAL (SEEVR.BRDJE1) Note how it says (SEEVR) in parentheses. We thought we had understood the clearance; and were descending to cross SEEVR at FL200-230 as published. What the controller meant was for us to go to SEEVR; and join the SEEVR ONE RNAV ARRIVAL [Jeppesen title page 60-2Q]. The controller told us we were looking high at SEEVR. That got our attention; and we finally figured out that we were heading to the same fix [SEEVR]; but cleared for a different arrival; with a different crossing restriction [of between] 13000-16000. Seeing that we would be high at SEEVR; the controller gave us a 270 heading and a clearance to descend to 6000; then cleared us direct to INWOD; which is a fix on the approach to runway 17L.The annotation on page 60-2B certainly confused us. Getting a clearance for a different [STAR] close into a duplicate arrival fix certainly confused and time-compressed us as well. We should have been more proactive in resolving the ambiguity.,
1237016,chartorpublication,Aircraft departed NTD with incorrect ZFW numbers from CLP. Error appears to have come from between  &quot;Ride along&quot; and communication to CLP. Aircraft was 19;700lbs heavier than what CLP was told by ride along; and thus Crew were given incorrect numbers prior to take off.  This is not the first time that actual weights are not correct at departure.  System is severely flawed.,
1237245,chartorpublication,After landing; we turned off on SG6 with ATC instructions to taxi via the Green 7. Both of us were surprised by the STR as we had never encountered this at ATL and immediately referred to our EFBs in order to find the appropriate STR.  The way the STRs are indexed; neither one of us could find the procedure.  We knew the previous aircraft was also instructed on the Green 7 so we followed them.  While still searching for the chart; ATL Tower called and told us the other frequency was looking for us.  We taxied without further incident on the new frequency.  I finally found the STR; but it wasn't from the index labelling.  The list does not have all the color codes for the associated runways. The STR we needed was titled: 'STR (from RWY 10 GOLD West; Red 7 and East and RWY 28'.  Trying to access 'Green 7' in a hurry with no knowledge of where to find it creates a very uncomfortable position. The STRs should be listed by runway only; or include all the color routes on the listing.  In addition add a comment on the 10-7 pages to expect STRs after arrival so they can be properly briefed.  The disadvantage to the EFB is only one chart can be displayed at a time; needing extra briefing time to decide which Pilot displays the appropriate chart for taxi in.,
1239499,chartorpublication,Prior to departure I noted the FPR had us descend to FL270 in Taipei airspace. There have been disputes between Taiwan and China over airspace so I assumed this might be the case or it might be because we were crossing major north-south airways and we were required to descend to avoid conflict.   There was a note on the FPR about not climbing above FL 270 but it further said to reference Fly Safe NOTAM. That reference said if I was flying between certain cities .. AND .. I was also using certain airways; then it applied. I was not flying between said cities so I determined the NOTAM was not applicable.   In cruise; when Taipei ATC did not mandate a descent to a lower altitude; I notified Dispatch. Their response was to reference the FPR and thus the NOTAM already mentioned. The dispatcher further communicated via ACARS that 'ATC had good information about your capabilities. It is their decision as to how they will safely separate aircraft from that point. However; if at any time you feel they put you in a compromising position reference the NOTAM; [a safety report] is your feedback tool'. Aircraft were constantly passing above and below us so I assumed ATC couldn't descend us even if they wanted to because of the traffic. There was nothing in the NOTAM or ATC's actions that gave me concern or made me feel my safety had been compromised.  Shortly after passing APU; we were cleared direct to ATOTI waypoint. This meant we were not on any airway so; again; the NOTAM didn't apply.  The NOTAM system has been known to be flawed for a long time. In the past; management comments have stated they are aware and intended to fix the problem. The reality is that this hasn't happened. While a pilot may not fly a given route more than once per year; someone is looking at airports; airways; NOTAMS; etc. every single day. They become the subject matter experts. That is where someone should be assigned to monitor issues that are relevant to a given route and decide to delete information that is useless (and thus a distraction) while emphasizing information that is important. India is the worst but most any airport/route could be a candidate. Until management elects to make this a safety of flight issue; NOTAMS will remain a weak point in our flight operations.  I suggest Dispatch employ resources to make real improvements in the way NOTAMS are provided to flight crew so all can get to the meat of the matter without having to read things about landing fees; fish delivery flights being restricted; etc. In the general aviation world; NOTAMS are broken down into categories such as: Runways; Nav Aids; Taxiways; etc. Not all our flights are conducted in areas where computers and internet are available prior to departing. Many international flights require preflight duties to take place in the cockpit. We are behind in making NOTAMS easier to sift through when we have a limited amount of time to read all the documentation required to conduct a given flight. We are attempting to read reams of paperwork in a cockpit 'office' while maintenance; immigrations; ramp leaders; etc. are coming in and distracting the crew. I don't think [the company] could design a better environment for distractions if they tried. While some aspects of the pre-departure environment can never be controlled; there continue to be missed opportunities to mitigate the pre-departure chaos. Management has apparently elected to pass on the responsibility of dealing with this to the crew in lieu of taking steps to support the crew through actions such as NOTAM improvements.,
