,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1236698,incorrect/notinstalled/unavailablepart,Passenger brought to my attention that her 3-year old and 4-year old girls could not be secured in their seatbelts. On this A319 aircraft; it is equipped with the new acro seats and true enough we could not get seatbelt to tighten enough to secure the two girls. We ended up putting coats to secure them better-I know this is not the answer; but was the best we could do. I believe the way the seatback curves backwards makes the seatbelt obsolete for a small child. During pre-flight; it is recommend to change the seatbelts.,
1241022,incorrect/notinstalled/unavailablepart,I was copilot on flight ZZZ [mainland] to Kona. During preflight; the FMC routing was datalink loaded. The flight pub bag and FMC database were checked to be current. After uploading the winds; the runway and departure were loaded along with the runway in Kona. I did not load the arrival into Kona as I was taught adding the arrival will likely add distance to the flight and could potentially create fuel issues at the critical point. After passing the critical point I attempted to load the arrival and approach for Kona. However; we noticed that there were no arrivals or approaches available to load; only the runway. Further investigation found that there were no departures; arrivals; or approaches in the FMC for any Hawaii airport. We continued raw data on arrival and flew an uneventful ILS approach into Kona. We wrote a maintenance discrepancy in the logbook; notified maintenance via ACARS; and debriefed the mechanic upon arrival into Kona.Today (18 days later); the captain was informed that the aircraft was loaded with an Airbus navigation database and that is what accounted for the lack of coverage for Hawaii. I don't know how I would have caught this on preflight; or how long this plane had been flying with the wrong database.FYI; I had the same experience on Airport ZZZ2 to ZZZ3 [also Hawaii] (8 days ago). Again we flew raw data on the arrival and ILS approach for an uneventful landing. We wrote up the discrepancy and thoroughly debriefed maintenance upon arrival into ZZZ3. I never found out what the problem was but I suspect it was the same issue. I remember looking in the logbook of this plane and noted that it had not been out to Hawaii for at least a couple weeks.,Attempts to load arrival STAR and approach in FMC unsuccessful. No data for any Hawaii airport; except runway threshold; available for selection. Flew arrival procedures to Airport Kona using raw data only. Made logbook entry upon arrival and briefed maintenance. ACARS info message sent to company maintenance prior to landing. Notified next day that Airbus Navigation Data was loaded in aircraft by mistake by maintenance.
1278566,incorrect/notinstalled/unavailablepart,Inside of 10 nm from PIRAT we were given holding as published; we were already at 250 knots. So we were approximately 1min 30sec from the hold fix. The FMC is programmed with the incorrect hold information. I have not been trained on the ipad in a method to find the holding pattern information. I was able to find it on the US low 3/4 and eventually self-taught to locate it on the ipad. We made a right turn into the hold per the FMC and then queried the controller on the correct holding information. We used heading select to get the correct holding pattern established and were eventually able to program the FMC correctly. The PIRAT holding information used to be on the Area-1 chart but is no longer in our publications.,
1290711,incorrect/notinstalled/unavailablepart,Crew departed with new aircraft. We completely forgot about our RVSM paperwork not being complete and climbed up into RVSM airspace without advising ATC. We briefly leveled at FL350 then continued climbing to FL410. It was then that we realized our mistake and notified ATC. They approved a climb out of RVSM airspace to FL430. We were told to call ATC when we landed.Previously the aircraft completed several high altitude acceptance test flights before departing (including an RVSM monitoring flight). We preregistered with the ORL FSDO and all that was needed was a copy of our aircraft registration and airworthiness certificate to complete the RVSM LOA. The [aircraft] fleet and our crew is RVSM certified and has been flying in RVSM airspace since the RVSM program was initiated.At no time was there ever a safety issue in this scenario! This is nothing but a paperwork issue. The plane and crew are capable of safely operating in RVSM airspace. Two pieces of paperwork unrelated to RVSM were not at our FSDO to complete our LOA. Finally; ATC would not have been aware of this issue had we not confessed our error.,
1296241,incorrect/notinstalled/unavailablepart,Approach Missing from FMC Database: In preparation for landing at SXM/TNCM/St. Maarten Princess Juliana airport; the captain/pilot flying attempted to select the preferred approach in the FMC. The preferred approach per the ATIS is the VOR Z Rwy 10; which allows for a straight-in approach rather than a procedure turn. The other two VOR approaches require a procedure turn; and the 757 aircraft are not qualified to fly the RNV (GPS) Rwy 10 approach. However; for an unknown reason; the VOR Z approach is not included in the latest FMC database. Because this is an approach path (rather than an enroute path); the Boeing 757 FMC requires special logic in the FMC path definition to allow the autopilot to properly fly the approach. For that reason; pilots are not allowed to manually build an approach in the FMC. The only published approaches loaded in the database at present are the VOR X 10 and the VOR Y 10; which each require a procedure turn rather than a straight-in approach; and are therefore undesirable for traffic flow efficiency (they take a long time to fly; during which other aircraft cannot land). Because of the Boeing 757 FMC constraints (which also apply to other aircraft as far as I know); we could only legally fly the desired VOR Z 10 approach using raw data; which is more task-intensive than flying the approach using the FMC; and is not a method we normally practice. As a result; we chose to input the VOR Z 10 approach fixes prior to and including the FAF in the route; and fly a visual approach once we had the airport in sight. This technique was quite safe since the weather was nice; but presumed we would be able to visually acquire the field prior to reaching the FAF.  Had the weather been marginal (which is possible this time of year due to the tropical depressions that form); we would have been forced to either fly the approach in raw data or tie up the traffic pattern for an inordinately long time while we flew one of the two procedure turn approaches.For an unknown reason; effective procedures for including all appropriate approaches in the FMC database were not followed by the individuals that developed the September FMC database release. In addition; this failure was not detected by quality assurance personnel. As a result; a defective database was installed in aircraft flying operational air carrier flights. While we had backup methods that could be used to work around this failure in this case (raw data approach; alternative approaches); this failure should never happen; and the fact that this failure reached operational aircraft indicates the organizations and individuals maintaining the FMC databases have serious quality control shortcomings that need to be corrected. Had there been no other available approach and the weather been bad; at best this would have resulted in an expensive diversion. Had the failure instead been incorrect data rather than a missing approach; a tragic accident could have occurred if the aircrew did not catch the discrepancy.Suggest a review of the procedures used for ensuring appropriate approaches are installed in the FMC database releases; and correct procedural shortcomings that could result in failures. Ensure corrected procedures are followed. Review quality control processes to ensure they trap production errors before they reach operational aircraft.Upon saving this report; I noticed that I previously submitted a report; indicating that the FMC database at that time had NO approaches available; and that the VOR Z Rwy 10 should at least be included. Since that approach is still not available in the FMC database months later; there is clearly a serious problem in the database development department; and this problem deserves high level attention to ensure it is permanently corrected.,
1301114,incorrect/notinstalled/unavailablepart,One of our tow pilots noticed the RH elevator was bent down outboard of the outer hinge approximately 5 degrees during preflight. We had our maintenance vendor troubleshoot the defect. It was determined that the incorrect elevator was installed. The elevator installed was for a 150 hp PA-25 and has a lighter spar. The elevator had been installed some time ago. The two different types of elevators are almost identical and hard to tell apart.,
1307433,incorrect/notinstalled/unavailablepart,During preflight it was noticed that left wing had nine static wicks instead of seven. Or a total of 29 instead of 27.Aircraft was brought in to get a new winglet installed. After new winglet was installed the manufacturer installed nine static wicks because that is how the majority of CRJ 700's are configured. I made numerous phone calls to MOD of MOC; and it was decided that the flight could depart under part 91 flight rules.I have since secured phone numbers to reach personnel from flight department in the event of after hours issues.,The aircraft was at the CKB facility for repair to the Left Hand (LH) winglet. The damage was significant and required many hours of structural work which was all documented and approved (ref. ERS-CR-5700-530 & KCC670-15000 Kit Dwg). After the repairs; while final preparations and sign-offs were being made supervisor called me at MOC. He wanted to let me know the LH winglet had 2 extra static wicks installed on it. We discussed it and I determined this new configuration must be approved since it just finished repair at the facility. I didn't know all the details of how the repair was accomplished but; I did hear from coworkers that it was extensive to include parts availability was a major obstacle. I suggested to him that we let the aircraft depart.A few moments later I received a call from our maintenance Pilot. He also was concerned with extra static wicks installed on the LH winglet. I explained to him I already was aware of the issue and as far as I knew the aircraft was legal to fly. He agreed and accepted the aircraft.
1312453,incorrect/notinstalled/unavailablepart,#1 tire was flat so another technician and I were tasked with replacing both #1 and #2 wheel assemblies. After removing the #1 wheel assembly the other technician who had removed the axle nut did not see a washer. After he inspected the removed wheel and could not find a washer; it was determined that this aircraft did not require a washer. I verified that the brake spacer was installed and we then installed the wheel assembly. The wheel nut was torqued and safety bolts installed.After a delay due to not having the 8130 tag for the new #2 wheel assembly; we proceeded to replace the #2 wheel assembly. Again the other technician did not see a washer so it was determined that a washer was not needed. This was the first time that either of us had replaced [this model of aircraft] wheel assembly. The maintenance manual mentioned installing the washer before the axle nut; but there was confusion due to the recently issued advisory notice about nuts with axle washers attached. There was also some confusion about the reference to the axle spacer and the axle washer. [5 days later] a washer was found on the old wheel assembly in the tire shop and a new washer was robbed from [another aircraft] and placed on the #1 wheel assembly. After I arrived at work I inspected the #2 wheel and notified my lead that the washer was also missing from that axle. The aircraft was taken out of service in order to install a new washer.,
1319696,incorrect/notinstalled/unavailablepart,When I went to test the Emergency Exit Lights; in the cabin at the Emergency Exit Door behind seat 2R; the two lights that illuminate the Emergency Exit handle did not illuminate. Taking note of this I went to look up the MEL for this item. In the process; I turned on the cabin Sidewall Lights that illuminate the lights in the cabin between the windows. Between every window in the cabin for the passengers; on the sidewall is a light that when selected; illuminates all the Sidewall Lights. Well; when I did this; the Emergency Exit Lights for the door behind Seat 2R illuminated. The side wall light that is located on the door; however; did not illuminate. I found this to be quite interesting as I had never seen this. I called into maintenance control and it was decided due to the wiring issue that the airplane would be left grounded and not to MEL the Emergency lights.However; when looking at the previous closed discrepancies; there was an entry from about 7 days earlier that stated the Transfer/X-Feed lever would freeze at altitude. The fix was that upon removing the Emergency Exit Door behind Seat 2R; moisture was found on the floor and cleaned out. Then the door was reinstalled and the discrepancy was signed off. It made me wonder if when the Emergency Exit Door was removed and then reinstalled that maybe the electrical plugs where incorrectly installed. It made me wonder if the electrical plug for the Emergency Exit Door Light and the Sidewall Light were the same type of plug allowing for this to happen. Also; it makes you wonder if the Emergency Exit Door is indeed removed; if an operational check is required of the Emergency Exit Light and Sidewall light. Also was the fact that this airplane had flown for a few legs and if indeed the electrical plugs were installed improperly; then crews did not catch this when checking the Emergency Exit Lights.Anytime the Emergency Exit Door behind Seat 2R is removed and then reinstalled; that the Emergency Exit Lights and Sidewall Lights are checked for functionality. Also; the electrical plug for these lights be of different type to prevent them from being installed improperly.,
1322235,incorrect/notinstalled/unavailablepart,Mechanics A and B were assigned to a road trip for a Flap Failure EICAS message. Mechanic A was temporarily assigned RII. Maintenance Control (Mx Ctl) believed that failure was caused by either a Brake Position Sensing Unit (BPSU) or Spoiler/Flap Electronic Control Unit (SFECU). Mechanics A and B were also lowest two in seniority at time of assignment. When dropped off to Aircraft (A/C) mechanics notified MX CTL that they had arrived. Asked MX Ctl where they wanted T/S to begin with. Mx Ctl stated to try swapping SFECU. The fault remained in Maintenance Diagnostic Computer (MDC) flagging BPSU. Mechanics A and B then were directed towards BPSU. The panel for BPSU was removed. The lower cannon plug on BPSU was wrapped in F4 tape flagging the attention of both mechanics. Mechanic B then removed F4 tape to reveal several damaged shielding and improper sealing of cannon plug. Mechanic B then notified Mx Ctl of condition. Mx Ctl stated to just splice the wire. Mechanic B told them that no supplies for splicing were brought for the trip.Mx Ctl stated that they would contact hangar for supplies. During the wait for more information Mechanic B contacted hangar to ask about splicing materials. Hangar notified Mechanic B that you cannot just splice into a BPSU wire bundle. When MX Ctl contacted Mechanic B with update mechanic notified Mx Ctl that Hangar said a standard splice could not be performed. MX Ctl arranged for a Service Bulletin (SB) kit for proper splicing. MX Ctl notified mechanics around 3 AM that they were arranging charter to fly parts in at 5 AM. Charter did not arrive until 7am. Mechanic B asked about possible ferry of A/C to hangar. Mx Ctl stated that a ferry permit was being attempted and to hold off on splicing wires until notice. At around 9 AM Mx Ctl called stating that permit was denied and that only option now was cut wire bundle and splice.Multiple times Mechanic B asked if they were sure that they wanted this procedure done that once started the SB stated a 31 hr work time for a mechanic with experience on this system to perform task. They once again ensured that this was only option. MX Ctl was looking into finding a hangar to perform work. FBO denied access to hangar space. MX Ctl then suggested that mechanics get a couple tarps and throw them over the wing and borrow a salamander heater so that they could perform work. Mechanics thought this to be unsafe so they did not follow recommendation and continued to work in winds and low temperatures. Mechanic A then cut wires to start assembly of new wire bundle splice. During assembly procedure Mechanics A & B realized that wire identifiers sent in the kit were not for the lower Cannon plug but for upper cannon plug. Mechanics were concerned and called Hangar for advice. It then became aware to the mechanics that the SB only had instructions for splicing upper cannon plug. It has now been around 24 hours that Mechanics A and B have been on the clock. During this 24 hour period they have been through several Mx Controllers who did not have proper turn over. Mechanic B notified Mx Ctl that wire identifiers did not match up with lower cannon plug wire identifiers and wanted to know that if they could relabel wires with heat shrink printer that O/S maintenance provided. MX Ctl did not have an answer. During this time fatigue was really kicking in. Mechanics decided that they were exhausted and would like relief. MX Ctl then asked if there was any way they could quickly do splices to just limp that A/C to a MX base. Mechanic B then stated you do not understand this is a 31 hr task there is no quick way and noted that MX Ctl was notified several times that task was a 31 hr job. Mx Ctl then stated that a charter had been sent and that Mechanics could either wait for charter to arrive and fly back with charter or choose a hotel. Mechanics decided on flying in charter back to base. During the wait for charter to arrive mechanics filled out paperwork for workperformed. When asked on how to sign off cutting the wire bundle Mx Ctl gave them a REO for lower cannon plug splice. Mechanics did not have copy of REO sent in the SB packet sent in supply charter. Lap top computer sent with mechanics also does not have access to SB or REOs. Replacements arrived at 11pm and Mechanics A and B provided turn over to Mechanics C and D and proceeded to fly back to base.After landing Mechanics A and B talked to Supervisor about trip. Supervisor stated that he had recommended to MX Ctl several times that waiting for weather to improve for a ferry would be best option that if they were to make mechanics work in conditions that they were setting the mechanics up for 100% failure due to FAA dirty dozen suggestion on human factors. He stated then that MX Ctl said they could not do that. He also stated that when mechanic A was concerned over paperwork being improper for work performed that Mx Ctl stated that they did not have time to read over and not their job to read SB being sent to mechanics to perform. Mechanic A when returned was also informed that experienced avionic tech takes 8 Hours alone to assemble bundle and had no business doing this task in the elements. Mechanic A rested and as he return to following night it became more aware that a possible error could easily have resulted due to conditions that occurred during road trip.Events occurred because of MX Ctl extreme lack of communication during shift turnover. Freezing weather with moderate winds was also a factor. Fatigue of mechanics. Lack of system knowledge. Lack of experience.,
