,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1231186,staffing,We deadheaded to start our trip. We arrived late. When I arrived at the aircraft we were taking we were about 15 minutes from scheduled push. The Agent let me down the jetway and asked if I would let the Flight Attendants know that the Passengers would be coming down. I said that would be fine. He also notified me that the paperwork was in the aircraft. When I arrived at the aircraft; the Flight Attendants were all on board but the aircraft was cold and dark and not plugged in or hooked up to the air. I said hello to the Flight Attendants and began my checks so that I could start the APU. As I was doing this; the Passengers began boarding. I didn't notice that the Passengers were boarding until after I had gotten the APU started. The aircraft was an -800 and we were [going to have a light passenger load]. I knew the Passengers would not take long to board; so I wasted no time completing my preflight and walk around. After my walk around; the Captain and I discussed the plan for deicing as it was snowing. The Captain and I went over the flight plan and the MELs that were on the aircraft. I wasn't thinking about the weather [at our destination] because we had just come from the west and I thought the weather to be a nonissue. I also assumed the Captain had looked at it and everything was fine. We noticed that we didn't have a weather packet during the climb out. We proceeded to use the ACARS to get the appropriate weather and NOTAMS for our flight.[We must] include a weather packet with every Release even if that means printing an updated weather packet closer to departure. [We should] allow aircraft to be left powered up without Pilots onboard. I shouldn't have assumed that the Flight Attendants and aircraft were ready to board without going down to the aircraft first.,When I got there; the Agent was starting to board the flight and as I squeezed past a disabled Passenger the Agent said; 'Paperwork is down there; Boss'.The lead Flight Attendant didn't have her paperwork and asked if I had HER paperwork in with mine.... (Where was her paperwork?) The Agent entered the cockpit and said; 'We're deicing West pad (and grudgingly asked); You want a sheet?' I said; 'YES!' Given the weather; the deice form should have already been in the paperwork that the Agent said was 'down there; Boss'. After the FO returned from the exterior preflight; I asked the Agent face-to-face to not close the entry door until I advised him we were ready; saying 'we still have a lot of checks to do'. Agent threw the deice form on the console and; shortly thereafter; the load sheet and PROMPTLY CLOSED THE ENTRY DOOR despite my request to the contrary and retracted the bridge! Cockpit briefings were conducted; location of de-icing; how we'd get there; and the multi agencies we needed to talk to. Aircraft was deiced and after takeoff. I realized we didn't have the weather package. The weather was MISSING when the Agent said 'paperwork's down there; Boss. Did he ever print the weather?'
1231754,staffing,I was working Dallas North. Another controller was working the position that needed help which was Dallas South. Dallas Love (DAL) was in a North flow thus Dallas South was working all of the DAL arrivals. Due to the football game there was a large volume of traffic inbound to DAL. The traffic monitors showed RED; RED; (next interval either RED or Yellow) followed by yellow; yellow; yellow and this was just for arrivals to DAL (they are 15 minute intervals). This didn't include the other traffic such as those crossing through his airspace to GKY or the VFRs or other traffic inbound to RBD or HQZ! With the RED for DAL it would usually mean that one should look closely at possibly getting an AR7 (or final controller for DAL) depending on other traffic for that position.Well today there was a need for that position as not only was this controller working all of the DAL traffic by himself; he was also working numerous aircraft across the 'south airspace' inbound to GKY which was also very busy for the football game and other VFR arrivals to DAL and HQZ/RBD. It was so busy to GKY that Traffic Management Unit (TMU) stopped all DAL arrivals from the SW corner to keep them out of that traffic and rerouted them either northwest corner or se corner. This Dallas South controller was so busy that the center kept calling with handoffs because they were still flashing and he was just too busy to keep up with taking all of them from the center and other sectors within.He also was not taking handoffs from me until the last minute due to volume. I tried to help as much as possible by answering his lines and trying to get the supervisor to take some kind of action. I advised the supervisor that he needed help and he advised me that there was no one else to open that (AR4 or DAL final) position! The Feeder didn't help the situation as they continued to 'drive' the traffic toward DAL final from the base (even though it was obvious that he was not taking handoffs) and didn't even slow them down or vector them out south to go behind other traffic (although I do not know how busy they were either).This was an unsafe situation and totally uncalled for! Either have the people here for the traffic or cut the flow rates to keep the situation safe! Everyone knows that when a person stops taking handoffs or is waiting until the last minute to take them that they are just overloaded and that is when accidents can happen!Staffing! Either have the staffing here to work the aircraft or curtail the rates to a manageable point! There should never be a situation where a sector gets overloaded and it could be split off but there are no people to do it! If the sector is overloaded; cut the traffic flow! The football game is a known event; staff for it! No excuses. If you don't have the people to call in on overtime due to the insufficient facility staffing; then cut the rates and let the chips fall where they may!,
1232772,staffing,Working satellite and departure combined in the midst of busy season; middle of the day; good VFR weather.  At the time of the event I had 19 airplanes; which is quite busy for this sector and typically would permit a handoff; which I did not have until I asked for one; after it was too late.  Aircraft X departed VNC requesting northbound along the coast.  I assigned AOB 3000 VFR.  Aircraft Y departed SRQ VFR.  I issued climb to 5500; but then amended to 3000 for traffic at 4000 IFR; and additional traffic at 3500 VFR.  I then assigned 3000 to Aircraft X for traffic at 2000 opposite direction.  In the area where the event occurred; there were 5 data blocks overlying each other.  I became distracted with other traffic and missed the CA [Conflict Alert] until after it had happened; at which point Aircraft Y informed me an aircraft just passed by what he assumed to be 500 feet laterally at the same altitude. I don't have a recommendation because during the busy season handoff is often staffed on this sector; but this time the supervisor just didn't realize how busy I'd become.,
1237131,staffing,During a go around at ZZZ Municipal Airport I noticed a truck and a motorcycle traveling from the parking area to the parallel taxi way. When we were mid-field downwind I observed the motorcycle traveling on the runway at high speed toward the NE direction. On base I observed the motorcycle depart the runway and travel down the parallel taxiway. On landing I noticed the motorcycle and pick-up truck parked on the runway side of one of the mid-field taxiways. I instructed the Student Pilot to make this landing a full stop instead of the touch and go we planned. We taxied up near where the truck and motorcycle were parked. I exited the aircraft to talk to the group of people standing by the truck. One person introduced himself as [Mr. X.] I asked the group if they were authorized to be on the runway; [Mr. X] replied with 'yes I got authorization from the city'. I informed the group that they are on an FAA runway and created a runway incursion. When I mentioned that they aren't pilots and I instructed them about the hold short line and even though it looks like they are on a taxiway that they indeed are on a portion of the runway. At this point is when [Mr. X] spoke and said 'I am the Airport Manager and I am a pilot' I was appalled to hear this as he should know better. There was a short discussion with [Mr. X and] I mention[ed] he should have a radio to communicate with traffic in the pattern if he is authorized to do such activities. [Mr. X] had mentioned he had a radio but it was in his office.An airport manager should know the protocol to operate such activities on an active runway. This manager should be trained in runway incursion and airport markings as well as coordinating non-aviation events at an airport.,
1239431,staffing,As I was preparing and releasing flight I noticed flights showing on Sabre Planning Page that were not on my worksheet. I printed a new worksheet that showed additional flights.  I asked the duty office what changed and they did not know. The new worksheet had me releasing 24 flights with 22 different stations; not including any alternate stations. Since many of these stations are only flown to once a week; I am not familiar with runways; NOTAMS; takeoff restrictions; arrival restrictions; etc. This requires a tremendous amount of time to plan each flight. In addition to normal Dispatch duties; the new Sabre revision caused initial low altitudes requiring more manipulation than just adding MEL/placard information to each leg. ATC had six FCAs [Flow Constrained Areas] in effect causing flow control problems; EWR was at the start of a snow storm; ORD had gusty winds with potential flow control problems; CLE was in the middle of a snow event and the usual slowness of Dispatch work tools added to the difficulty of maintaining operational control. Quite a few issues at play here; do not have time to expand upon [them] at this time.,
1240217,staffing,Due to an MEL; we were operating unpressurized and requested a gradual descent from the New York Center controller. He obliged by giving us 1;000 feet lower and clearing us direct to the IAF for the RNAV 6. Shortly after; he cleared us to cross the IAF 100feet above the charted altitude at that point and cleared us for the approach. I informed the controller that we would be descending in the published holding pattern at the IAF to facilitate the gradual descent for unpressurized flight. The controller did not respond. I made the same transmission when we arrived at the IAF and the controller said 'approved as requested.' We made one turn in the holding pattern before reaching the published altitude +100 Feet. We then proceeded inbound. The controller reached out to us to switch us to advisory frequency. We made our initial CTAF transmission on a 5 mile final. Airport operations informed us there were men and equipment on the runway. I responded that we were on a 3 mile final and asked if they could clear the runway. We mentally prepared for a go around at this point. Just before we reached the LNAV/VNAV DH; airport operations transmitted that all men and equipment were clear of the runway. We completed an uneventful landing. As we exited the runway; I transmitted on CTAF that we were clear of the runway. Airport operations transmitted to us to ask Center 'had advised us of the 15 minute Prior Permission Request (PPR).' We told him that we had not been advised. He responded that they had a NOTAM in effect. We did not respond. We did; however check the automated weather broadcast again. The NOTAM was not mentioned. When I contacted Center to cancel IFR; the controller was also unaware of the NOTAM.,
1240955,staffing,I had taken the position after coming back from break. Traffic was not very heavy and we closed the GLNR. The position was combined as VLYR/PASR/GLNR. Towards the end of the session it was clear the weather was getting worse despite any updates on the SAIDS [Systems Atlanta Information Display System]. It was reported as 'hazy' and aircraft going to both VNY and SMO were requesting to pick up an IFR for the approach. I had a [small] aircraft that was inbound to HHR who needed to go eastbound via V186 descending out of 11;000; a SLI transition at 9;000; a SMO inbound from PMD at 8;000; a VNY inbound from POMR at 6;000; and a WHP departure [eastbound] climbing to 5;000 eastbound V186. The SMO lander was a J class and informed me he could not do the GPS-A. I knew the haze was restricting a good view of the airport until they got about to DARTS and down to 3000. Aircraft X [eastbound] checked on during this time; which I acknowledged but didn't pay close attention to. I had to vector the jet out for descent and down to 7000 versus the VNY arrival at 6000 as well as the high MVA terrain clearance so that I could then turn him back to make his descent. I was cutting the VNY arrival in on incremental vectors trying to avoid the higher MVA to the north and shorten the crossing point between him and the jet in order to descend him. At this time I noticed Aircraft X climbing through 5200. For some reason; I interpreted his data block as VFR and he had the VNY arrival traffic opposite direction at 6000. I instructed him to 'Maintain VFR at or below 5500'. I believe he read that back; but I don't recall if he questioned the clearance until later. At this point; the jet and the VNY arrival were beginning to cross and I issued a descent to 6000 for the jet SMO arrival. That is when the specialist working Flight Data (FD); who was watching; informed me he believes Aircraft X is IFR not VFR; which was obvious when I refocused on the aircraft. I issued Aircraft X a descent to 5000. He queried me about the altitude saying this would put him back in 'soup'; which to me indicated he had taken the VFR clearance. And I replied; verify you are 'IFR'; to which he replied 'affirmative'. I told him he could expect higher with the next controller. I stopped the SMO arrival's descent at 6500 since he would have been traffic for Aircraft X as well. Once he was clear; I vectored the SMO arrival back around and he reported the airport in sight once he got down and closer. Closest point was 5500 for Aircraft X versus the VNY arrival. I admit I was a bit worn out coming into this shift. I am the Training Rep for our area and need to maintain 16 hours a month for currency. Due to training needs; I was not able to secure much time earlier in the month. I had worked 4 straight morning shifts from roughly XA30 to XK30; and then a morning OT shift yesterday. I had to get up early this today for an event for my son and came straight from it to work. It is possible the confluence of low time on the position; fatigue from working a number of shifts in a row; the early non-work related start of the day with the sudden rise in traffic volume and decreasing weather were factors in me not recognizing the IFR state of the aircraft on initial contact. We have lots of VFR traffic that flow through this route out east; and the non-SoCal destination may have also led to the incorrect assumption on my part. If the aircraft had not climbed to 5200; it is likely I would have been wary of the altitude on second glance; but once the pilot continued to climb past 5000; using the VFR assumption; I gave him the 'VFR' restriction.Part of the problem is the topography of the sector itself. We can't get SMO and eastbound traffic down quickly due to the terrain so almost all activity takes place around DARTS. That said; recognizing the aircraft as IFR on initial contact would have prevented the situation as I was not unaware of his presence; just his status. Including myself; we had 2 Overtime workers this shift. The BUR Area has been clamoring for more developmentals for years; and since the number of incoming trainees has not been steady; we are faced with constant shift shortages as our numbers are depleted by retirements. It is not uncommon for everyone in our area to be scheduled one or more overtimes and we are going to be in a constant state of 'catch-up' because any new trainees we get now are simply going to be too late due to the amount of training time it takes to get certified.,
1244233,staffing,The following scenario occurred as a result of Aurora ATCT being severely understaffed.  Presently; there are only 4 qualified/ Certified Professional Controller's (CPC) total and only 3 CPC's were scheduled to work the entire; following day (well below our minimum staffing requirements).[Date removed] was scheduled with 1 CPC opening; me as the CPC on a middle shift and being held over for a mandatory 2 hours of overtime; and 1 CPC on the closing shift.  With the staffing below our minimum staffing requirements; the Controllers In Charge (CIC) were focused on maintaining safety and allowing sufficient breaks to ensure if/when traffic was heavy and complex; we would be able to staff the positions properly.  Breaks were shortened to 45 minutes long for the CPC's.  Training was an after thought behind maintaining safety due to staffing being at dangerous levels.The traffic became very complex and heavy in the morning.  With as few CPC's and many job tasks being required including phone calls from Chicago TRACON supervisors; controllers; helping to find aircraft/tag aircraft on the radar; assisting the very busy local controller; as well as staffing the operational positions; training was not performed during the first part of the morning shift.  Once the CPC arrived for his shift; training was able to be more of a priority with sufficient staffing and safety having been the focus of the CPC's during the morning.I was made aware this afternoon that ARR ATCT management had deemed the shift was run poorly; training should have been the priority; and that even shorter breaks should have been enforced to accomplish training thus possibly compromising safety.  ARR ATCT management was not present during this morning shift and was not aware or understanding of all of the complexities; concerns; and events of the morning.  When the supervisor arrived; the CPC's explained what had happened that morning and expressed our concerns about being below minimum staffing requirements.  Training was accomplished for all 3 of the trainees at some point during their shifts as well. A supervisor;  who did not work on [date removed]; issued a false and misrepresentative Performance Record of Conference this afternoon stating that the CIC's had 'poor management of resources; fails to provide for the OJT needs of the facility; and reduces the margin of safety in order to provide long breaks.'  The longest break any controller received all day was 46 minutes; an appropriate break amount even stated so by ARR ATCT management.Safety; efficiency; and proper staffing should; in my opinion; be the foremost concerns at Aurora ATCT.  Evidently; this is not the case.  I received a total of 2 hours and 10 minutes of break time during my entire 10 hour shift but was told breaks should be shorter; thus fatiguing controllers working (with some on overtime); and quite possibly compromising the safety of the operation.Staffing is at dangerously low levels and have reached a critical tipping point at Aurora.  Aurora ATCT management should; in my opinion; have a focus on safety instead of trying to focus solely on training.   We do not have the proper personnel to accomplish training all of the time; and though I recognize training is important to help alleviate our staffing shortage; I do not believe it should be enforced to a level that compromises safety and introduces risk into the ARR ATCT operation.,
1269837,staffing,One of the most important details of this report is that in the North Area we have 5 radar sectors. There is DBQ (63); LNR (64); BAE (60); HOR (61); and Harly (62). On this shift; we had 6 CPCs scheduled to work 5 radar sectors. Many times on shifts; traffic is fairly slow so we are able to combine positions. Sometimes we combine all of the low altitude sectors together which is a very risky move in my opinion; as Harly is an ORD and MKE departure sector. The main issue that arises here is that we are forced to work all the low altitude sectors combined on a 125 mile range as well as have our altitude limits set to the ground (as we own from the surface to FL230 in DBQ sector); when you have 6+ ORD departure 5 MIT and 3-4 MKE departures and several overflights in Harly alone; it is much more difficult to accurately determine separation at such close distances. Also; as ORD is one of the busiest airports in the world; the limited datablocks around ORD and MDW make it so that it is very difficult to see actual data blocks that you are in control of at times. One more issue that arises here is that you have 5 frequencies: 133.3; 132.1; 135.55; 125.05; and 133.95. This makes it extremely easy for miscommunication between pilots and controllers; especially when busy. To put it simply; the agency is staffing our area with the least amount of controllers possible; and it is creating unsafe working situations; putting many CPC's and the flying public in extremely vulnerable and compromising positions. I signed into the LNR radar sector position. At the time it was LNR and DBQ combined. There was a massive line of moderate; heavy; and some extreme precipitation that extended from CID to DBQ to JVL and all the way to ORD. At this time there were numerous ORD and MDW ground stops; which resulted in my holding of numerous aircraft over the DBQ VORTAC. I should also mention that something that complicated my sector is that I had the VOK E; S; W and WIANG ABC MOAs and ATCAAs active. After about an hour and a half of working here; I start to see that numerous ORD arrivals started being handed off to me. At no point was any type of plan communicated to me; but I did notice that the route was going to be a huge issue for the area as the Harly controller seemed extremely busy already; and all of these ORD inbounds that we normally do not work would now be cruising through his departure sector. A notable point is that our 6th CPC had now been allowed to go home at this time; and as you will see we desperately needed the extra body; in fact; probably could have used a few more.In order to give the Harly controller a fighting shot at getting on top of the ORD inbounds; my plan was to expedite all of the aircraft to 170. At this time; numerous aircraft expressed to me that they were minimum fuel or could not fly the entire route. Due to the traffic and frequency congestion; I was unable to answer each one of their calls; most of the time I had to specify that if they needed to divert; they should do so and to not expect any short cuts. I must reemphasize that during no time during this huge push was any semblance of a plan expressed to the controllers on the floor. Numerous times I heard shouting across the room that the BAE..MKG..RHIVR routing was not good; then contradicting reports that it was good; etc. During all of this; we had a code floating towards our airspace that I noticed at 170. I immediately recognized that it looked very similar to an ORD arrival. Sector P04 at ZMP started calling us for coordination and my trainee d-side answered the call. What my d-side trainee eventually communicated to me was that for whatever reason; ZMP could not get the aircraft to flash at me and so I immediately put in a 'vp' flight plan; to get something in the machine. I changed the aircraft's callsign to Aircraft X; and gave him routing which I thought was good: FAH.ERNNY2.KORD. Time passed; and I initiated an AIT (Automated Information Transfer) to the Harly sector. Harly informed me while the aircraft was over the CHDRR intersection (normally when MKE approach has the handoff); that he could not get the aircraft to handoff to MKE; so my trainee D-side initiated a manual handoff. MKE approach then informed us that they would not accept the aircraft as the pilot would not be able to fly that route in weather. I didn't really know what to do at this time as I had no idea what route to give the aircraft so; unfortunately for the aircraft; I put him on a series of vectors in Harly's airspace and finally pawned him off on the Northeast area; sector 27; as they were already working ORD arrivals. This entire situation was extremely dangerous and the most frustrating thing; apart from the lack of staffing in the area at the time; was that no plan was ever communicated to us controllers. Several things could have alleviated the dangers of this event immensely.1. Needed 4 more CPCS on the shift at the time of the event. This would have brought us from 5 to 9 CPCs.2. Extra staffing would allow us to open up positions and have more than one d-side in the area. I would recommend opening up DBQ; and putting a d-side at LNR; BAE; and Harly.3. Have our floundering TMU formulate and communicate a plan with our supervisor.4. Give us a supervisor that is familiar with our area and airspace. The supervisor at the time; due to no fault of his own; seemed to be totally clueless and had no insight or direction to provide to us. He was put in a situation where he was set up to fail. 5. Cancel the military airspace as our IFR operations were highly impacted and made more complex due to the existence of the cumbersome VOK E/S/W + WIANG A/B/C.,
1278090,staffing,On our status information board on this day shift; it showed that military airspace was scheduled to go hot at XB:00-XD:00 for most of the day.  I do not remember when it appeared; but I do remember that it showed for several hours that VOK East; South; AND West MOA's and ATCAA's were going hot.  Everyone in the area took note of this; and when the time came closer; within 30 minutes or so; we all took note and commented audibly in the area so everyone was aware.  At around XA:45; I noticed the controller at Lone Rock sector (64) becoming quite busy; as one of his land lines was ringing very loudly for roughly 30 seconds.  In the area; we all know this as the sound of flight service calling to request a clearance for a pilot off an uncontrolled airport.  I also heard calls from other approach controls and centers over their shout lines.  At the time; DBQ and LNR was combined; so the controller was already under an increased workload with no D-side.  I yelled across the room that he probably needed a D-side at this time.  The controller seemed extremely busy as I would later learn to find that adjacent sectors from other centers were routing aircraft directly into the military airspace that we thought was going active at XB:00.  Long story short; the military airspace never went active.  The controller at Lone Rock vectored and expedited numerous aircraft and became extremely busy for roughly 20 minutes because the military airspace was actually scheduled for Day 1; and not Day 0; we learned to find.  The radar controller didn't get a D-side until probably XA:55Z; so he was pretty much buried in landline coordination with flight service; approach controls; Minneapolis center; as well as issuing command instructions to numerous aircraft at the time.  There are numerous factors that I think led to this event to occur.  The first factor is that the agency is negligent when it comes to staffing the North area at Chicago center; we are understaffed every single day of the week.  6 Certified Professional Controllers (CPCs) for 5 radar sectors is the norm here. This leads to continually combining sectors that have numerous frequencies at a high workload with high complexity and running without a D-side in the area.  At the time; the controller at Lone Rock had to monitor 5 frequencies with no D-side.  The second factor at play here is that the agency does not staff supervisors that have any knowledge whatsoever as it pertains to the workings of the North area.  They are totally clueless when it comes to our procedures; military airspace; routes; etc.  On Day 0; there was a total revolving door of supervisors and CIC's on the day shift.  We were continually using supervisors from other areas; and then they'd go on break for 30 minutes and assign a CIC; then come back; then be replaced by another clueless supervisor; etc.  No one knew who had actually put the military airspace as scheduled to be active on the day shift.  The third issue is that until the last 6 months or so; the military airspace would be printed out on strips and posted at every sector in the area that would be effected by the airspace.  This has changed recently; what the agency does now is typically print up all of the military airspace in a very confusing manner on a standard 8x11 piece of paper.  This leads to the piece of paper just lying on the console inevitably being crumpled up; having liquids spilled upon; etc.  Not only that; but we were not briefed of the change of the posting of scheduled military airspace.  During this event; there was no dissemination of the military airspace in this manner; but we all still assumed it would go active; as it was posted on our information board for hours.  With these factors in mind; I would recommend these changes:1.  Staff the area adequately.  9 CPCs should be scheduled on nearly every day/swing shift; period.2.  For the vast majority of the time; we should have supervisors that are knowledgeable and experienced with the inner workings of our area.  To throw a random supervisor into our area who has no knowledge of military airspace; SOPs/LOAs; routing; the flow of the area; etc. is negligent.  The North area; traffic wise; is one of the slower in Chicago center; however it is one of the most complex due to military airspace and airport control. The agency is setting up their supervisors to fail; and they fail us time and time again. 3.  Military airspace posting should go back to the old method of printing up strips at the start of each day and posting them on strip bays at each position that is effected.  When a change comes to the military airspace; supervisors should make corrections on the actual strips and the status information board.  With all of these factors at play; an objective outside observer would immediately say that this work situation is a dangerous; sloppy environment.  I want to be part of an organization that works efficiently and safely.  Now; we are operating like a sloppy bunch of idiots due to the policies of the agency and their short-sighted cost saving measures.  I wonder what the pilots who were denied clearances from flight service due to the radar controller thinking that military airspace would go active directly on top of their airports would think if they actually saw what was going on in our area at the time.  When I went to the Monroney Academy in OKC; the FAA's statement was 'safe; orderly; and expeditious' service to the public.  Nothing about this safety event fits that goal.,
