,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1230301,weather,After pushing at four minutes early; and taxiing out on both engines; we had to deice. It was actively snowing at push time and during takeoff roll. After being disconnected from our tug; we were blocked from our taxi route for approximately 10 minutes as another carrier blocked our progress. Once in the south deice pad; we were the second Company aircraft to be deiced with the two-step Type I and Type IV deice procedures. We had planned a Flap 5 Max power takeoff; and the speeds where 137. 137; 140 something. After leaving the deice pad; and taxiing to the 1L; we held short of the 1L ILS critical area; then were cleared for takeoff on 1L. The runway was being reported 'Wet Good' but I mentally noted there was a great deal of snow/ice on the runway; particularly the left side of the runway. We performed all checklists and operated slowly and methodically to not rush. We were NOT in a hurry; but rather extremely vigilante and operated at a much slower pace than I normally operated. After waiting for both engines to spool up to 40 percent N1 and had achieved symmetric thrust; I advanced both start levers and selected TOGA. The aircraft accelerated rapidly; and approximately 80 knots; the aircraft nose turned to the left approximately 15 to 20 degrees and we were then accelerating toward the edge of the runway. I applied right rudder and right aileron but the aircraft did not correct. At approximately; 100 knots I knew we needed to reject or get the aircraft tracking back to the right.  Rejecting was not a great option given runway contamination.  I immediately grabbed the nose wheel tiller with my left hand turning it to the right and took my right hand from the throttles to apply right aileron. The aircraft responded and we tracked back toward centerline and rotated uneventfully. First; I think the 'Wet Good'; 'Wet Fair'; 'Wet Poor' and MU values are ridiculous to try to correlate. I don't even know if there is any standardization from the people who take MU readings; but I do know what I saw and took off on yesterday wasn't the same 'Wet Good' I see after a light summer rainfall.  I think our Training Department needs to educate our Pilots on exactly how MU values are calculated. I have quite a few questions regarding the MU values and the process to obtain these values.  I question the logic of MU values given; I have no clue how their values are calculated; nor if they are the best parts of the runway.  I want the MU values on the worse part of the runway; since I could find myself on the worse MU portion of the runway during takeoff and landing.  a) When an MU value is given; is there any requirement for the MU Truck Driver to drive down the most contaminated portions of a runway (e.g. the left or right sides) or do they stay in the center of the runway and do their braking on the cleanest portion of the runway? b) Do the trucks actually test the portions of the runways around 20-25\' from the runway edge or do they stay on the centerline? c) How often is a MU value required to be updated; when it is actively snowing or other frozen precipitin is falling? d) Has any Company Safety ever been in a truck when the MU truck does the brake action reporting in a place like MDW; BUF; in the middle of a snowstorm? We get RVR at up to four portions of a runway. I get RVR is an automated system versus a human driving down a runway and hitting his brakes in a truck. Every time I see a guy doing one; the truck is in the center of the runway; where the nose tire would be rolling; not the left and right main tires. This makes zero sense to me. Along with 'Wet Good' on a snow and ice covered runway in MKE being equal to a 'Wet Good' on a rainy July afternoon after a rain shower passes the field. 2) In XX years of flying both military transport aircraft and 737 s; I have never received any training on this type of event. I think this is a great training scenario. This event was not comfortable for me in any manner. Inexperience in the left seat of the 737 wasn't a factor. I have plenty of left seat experience in other aircraft on snow covered runways. I honestly believe the left side of MKE 1L was much worse than reported. Coupled with gusty winds and possible left wheel contamination that may have led to the left mains losing traction; all these factors made this a challenging takeoff.,I missed the 80-knot call due to looking outside and assessing the situation with Captain. Aircraft was airborne after that without further event. I made a report to Tower after takeoff with a barely 'Fair' runway condition. Captain called later with a 'Fair to Poor' assessment to help other Crews out because we did consider it a safety issue.This is my first landing in civilian world on a contaminated runway with what seemed to me packed snow/ice. Braking action reports seem to be very subjective. Need a firm requirement to have not only MU readings but maybe implement SAAB friction testers. We should be able to directly co-relate performance data with braking action instead of relying on subjective reports. I can't understand why packed snow would be called 'Wet-Good.' Also; not clear to me if MU reports are taking on the entire width of runway or a sampling. I flew for years in Europe and never encountered such poor runway conditions due to runways being very aggressively and pro-actively treated with chemicals that brought friction to 'Wet-Good.' We need a more reliable way of getting accurate runway condition data and also more detailed co-relation with performance determination options.
1230563,weather,We encountered severe turbulence on descent from FL240 - FL200. It was reported by ATC as moderate about 20 seconds prior to entering the turbulence.  After receiving the weather report from ATC; the Captain immediately turns the Fasten Seatbelt sign on and made a PA.While he was making the PA we entered the turbulence around FL240. The turbulence we encountered fit the book definition of severe turbulence. Some navigational deviation as well as altitude deviations may have occurred during the turbulence episode. One Flight Attendant was taken to the hospital for evaluation.Earlier warnings by ATC if they have the information.,
1230607,weather,Un-forecast fog quickly developed during our approach into Airport ZZZ. The RVR at ZZZ was approximately 1;000 feet and holding steady. This Airbus is not authorized for autoland at ZZZ1 so our minimum visibility was 1800 RVR. Airport ZZZ1 was near minimums and just out of fuel range. Airport ZZZ2 was below minimums. The only airport within fuel range that had weather at or above minimums was Airport ZZZ3. ZZZ3 was long enough; wide enough; in the database; and we had charts. We notified dispatch we were going to divert to ZZZ3. Dispatch notified us that ZZZ3 is not approved for the Airbus and we would need to declare an emergency. We declared an emergency and landed at ZZZ3.,On final approach the weather at Airport ZZZ went below CAT 1 minimums and because of The Airbus limits we were not able to Autoland at ZZZ. Because of the un-forecast low visibility we needed to divert to a safe suitable airport. Airport ZZZ2 was also below minimums and we did not have adequate fuel to safely proceed to any other airports that were not in the area. We discussed our options with Dispatch and he suggested that we declare an emergency and divert to Airport ZZZ3 field. At the time of diversion ZZZ3 had weather that was above our landing minimums so we proceeded to ZZZ3 without incident.
1231702,weather,We had departed a non-controlled airport. We had received our clearance via cell phone from ZZZ and had departed under VMC conditions prior to our clearance void time. The initial cruise altitude was FL240 and were to contact ZZZ on HF for further climb due to additional inbound aircraft. My copilot was the flying pilot and we were at initial assigned cruise altitude FL240. We were contacting ZZZ radio on HF for further climb clearance to FL380 when we encountered moderate turbulence for approximately 10 seconds. The flight conditions were smooth and showed nothing on the radar prior to and after this event. The Flight Attendants (FA) were preparing for the initial food and beverage service. Post turbulence I was informed by the 'A' FA of injuries to a flight attendant involving her ankle and 2 cuts on her face from a beverage cart. As soon as time permitted I requested the door to be blocked so I could go back and check on her myself. She seemed comfortable and had her leg up and ankle on ice.I was not aware until landing that 2 other FAs were additionally injured; one who complains of hurt back and one who complained of a knee injury.,
1231831,weather,As we descended through 24;300 FT for FL200; Center stated; 'There is moderate turbulence in your 12 o'clock position from 240 down to 210.' I turned the seatbelt sign on immediately and at the same time stated; 'Flight Attendants be seated immediately. We need everyone seated now.' The word immediately had just left my mouth when we hit severe clear air turbulence. Our altitude was 240 and it was less than 10 seconds from warning until encounter. We climbed back up to 24;300 FT with no improvement; however; that allowed our airspeed to decrease from Mach .72 (280 knots) down to .67 Mach (245 knots). At the lower speed; we continued the descent to FL200. The severe intensity continued down to FL200 with no relief. We requested to keep descending and found relief below FL200. I checked on the Flight Attendants and was told of possible Passenger and Flight Attendant injury. We told ATC about the severe turbulence encounter seconds after it started. We soon after told ATC that we had 'possible Flight Attendant and Passenger injuries.' We were asked by ATC if we were declaring an emergency. I said; 'Yes; we are; due to precaution after severe turbulence and possible injuries onboard.' ATC asked if we needed assistance for aircraft or passengers. I responded; 'Aircraft controls and systems all appear normal; so no aircraft assistance needed on ground; however; we do need paramedics for possible injuries in the cabin.' On final approach to Runway 27R; in IMC; snow; ice and weather at minimums; the Controller advised us that braking reported 'NIL' by aircraft in front of us. We executed a go-around and shot the approach for 27L with fair to poor braking. Very slow taxi to gate due to ice on taxiways. Passengers and Flight Attendant were bumped around pretty badly in the cabin; however; no Passengers were injured other than one man who hit the floor a couple times in aft galley. After the flight; he told me he was okay and felt good. Then he added; but I don't know how I will feel tomorrow. One Flight Attendant was cleared by Paramedics; but wanted to go to hospital for x-rays of her arm. All tests and x-rays normal and she was released with no injuries. The Passengers and Crew were extremely lucky with this outcome. The Flight Attendants did an excellent job.As far as flight deviations; our airspeed was plus and minus 60 knots and our altitude was plus and minus 300 FT to 400 FT. We also deviated off course slightly left due to coming off LNAV/VNAV. This turbulence occurred in beautiful weather with a cloud layer below us about 10;000 FT or more.The biggest problem in this entire event; in my opinion; is the late heads up from the Controller about moderate turbulence. By receiving this alert at the time of the encounter; due to being at the exact altitude being warned about; no one onboard had any time to prepare. That was information of extreme importance.,Several aircraft had reported turbulence up to moderate in the descent; most reporting improvements out of FL210. No precipitation was depicted on the scope. I reported this to the controller at sector 12 and asked that she not assign high speeds to the arrivals. Pireps were also entered into ERIDS and the supervisor notified of each report.When the B737 checked on; I reported moderate turbulence in the descent reportedly improving below FL210 and cleared them to descend to FL200. They read back the clearance and began the descent. A moment later they reported that they were returning to FL240 due to the turbulence to reduce speed. They subsequently climbed to FL241 for at least one hit. One of the pilots stated that they had encountered 'let's call it borderline severe'. I cleared the aircraft to...15000 and gave them speed their discretion and the aircraft began descending.I reported the turbulence to the supervisor and the A side entered the pirep. When I returned my attention to the scope; I noted that the 737 had deviated north of course. They had descended to approximately FL205 and requested lower. I again cleared them to cross JAYBO at 15000; then amended the clearance to cross HEDGE at 15000 and direct HEDGE. At this point the pilots reported that it was severe turbulence they encountered and that there were passenger injuries. I reported this to the supervisor and asked the pilots for any more information they had. The pilots did not give any further information before the next sector requested communications with them and I shipped them.One more aircraft flew through the affected area before all arrivals were rerouted and did not report either moderate or severe turbulence.
1232330,weather,Encountered moderate to severe turbulence about 30 miles north of OMN. Aircraft then entered a downdraft and lost 700 feet of altitude in about 10 seconds. ATC called and said to maintain FL300; we told ATC we were in turbulence and a down draft. Aircraft climbed back to FL300.,We were in cruise flight at FL300. Radar was in calibrated and auto mode. There were some light green returns on the radar on our right side but no different than returns we had seen for the last 100 or so miles while getting a good ride. We were about 30 NM north of the OMN VOR and started to get moderate turbulence; then got an updraft which pushed us up about 200 feet followed by a significant downdraft which caused us to lose 700 feet. The aircraft was on autopilot the entire time and the FMA showed ALT CRUISE. We got a burst or two of moderate rain which caused significant radio static which is a common problem in the Airbus. I could barely hear the controller say to maintain FL300 to which I replied that we were in moderate and greater turbulence. She responded to return to FL300 as soon as possible. There was no traffic showing on the TCAS at the time. The altitude loss was probably a duration of one minute or so from the time the downdraft began until we were back at FL300.I can only guess that a rapidly growing cell was below us. The new radar in the advanced airbuses does seem to sometimes paint WX less severe than the older radars when in the calibrated position. We were in an area with a lot of other aircraft on basically the same route and no one was deviating or reporting significant turbulence. There were no injuries. I would call the turbulence moderate to severe. The jolts were moderate but downdraft was similar to a mountain wave in that the aircraft could not overpower it but the ride during the altitude loss was not terribly violent.Although not a causative factor in this incident; the airbus radio static problem should be looked into. Whenever you are in cold precipitation it is sometimes impossible to communicate due to the static. I have never experienced that to this degree in 23;000 hours in many types of aircraft. I can only conclude it's a design flaw.
1233429,weather,While proceeding southbound on AR24; approaching OHLAA intersection; there was a line of weather running southwest to northeast across the airway; for which we requested and received a clearance to deviate towards the East; and to proceed direct to URSUS intersection afterwards. The controller reported to us; and other aircraft on the frequency; that around that area of weather there was reported moderate turbulence from FL320 all the way up to FL360 or FL380; I cannot recall but we were about to hit that area. Being downwind of the weather; with the wind at around 63 knots out of the southwest and the reported turbulence; we decided to take a wide deviation to try to be as clear as possible of any eddies and/or downwind turbulence we may encounter; on top of the already reported moderate turbulence. Throughout the deviation we experienced 3 pockets; of about 10 seconds each; of moderate turbulence; while experiencing continuous light turbulence; most of it was due to erratic wind speed and direction changes inside the reported area. While deviating; the controller became worried that we were leaving radar coverage; and asked us how far or how long before we could turn on course to URSUS. I was still deviating; although we didn't have that much to go; and I told him that we had about another twenty miles before we could turn on course. He said that he was not painting any weather and I needed to turn to a heading of 220; I believe; to which I replied that we were unable to do so; that the most I could turn in about a minute would be a heading of 200 or 210; I cannot recall. He said he understood that I was using my PIC's emergency authority to not comply with an ATC instruction; to which I replied that that was affirmative. A minute later we were clear of the weather and we turned towards URSUS; letting the controller know we were done deviating. It is worth mentioning that while we were deviating; we could see on our Navigation Display's TCAS information; that there were a number of airplanes inside the area of weather we were painting; and where the controller said he wasn't painting anything. Those same airplanes were reporting moderate turbulence; so strong; we could actually hear the voice of the pilot talking; jumping around and changing tone due to the jolts they were experiencing. There was no way I was going to turn the aircraft any sooner towards URSUS. One; we were painting weather; and Two; those guys to our right were getting an awful ride; while ours was manageable. I'll also like to add that the controller was very professional and courteous throughout the event; not just to us; but to all aircraft deviating.,
1233614,weather,We were doing the published missed approach for Runway 24 in BDL due to a windshear aural warning. We were lucky to be flying a new 767 aircraft with the newly installed predictive windshear equipment. This equipment is only installed on our newer 767 aircraft and that may have saved the day. Predictive windshear gave us approximately a 5 second head start on the windshear. Once the windshear aural stopped we cleaned up the aircraft and continued on the published missed approach. ATC assigned us 3000 feet and we maintained 3000 feet. The radar was attenuated and we could not see the next rain cell ahead. We entered a rain cell with moderate rain and turbulence which caused a sudden increase in airspeed from 230 knots to 275 knots. I pulled the thrust levers back to flight idle as the airspeed appeared that it might exceed 250 knots but the aircraft continued to accelerate to 275 knots. This brief momentary bump in airspeed only lasted a couple of seconds before the airspeed reduced back below 250 knots. I'm filing this report to document that the aircraft did exceed 250 KIAS below 10;000 feet while encountering windshear. I hope our company will install predictive windshear on all aircraft. I have replayed the scenario in my mind many times and the predictive windshear equipment played a huge role in the success our initial windshear recovery. Secondly; I've been on the 757 and 767 for 24 years and there has always been a problem with radar attenuation. I tried reducing the radar gain; but that did not help. Having the ability to have the Doppler Radar uplinked to the aircraft could be a lifesaving tool. We never saw either rain cell that we encountered due to radar attenuation.,
1233872,weather,On the ride to the hotel a captain who had been riding in the back of the aircraft showed me a picture of our right wing during the approach. The picture of the wing showed ice building on top of the wing behind the heated leading edge. The picture seems to show a significant amount of ice.  I have never previously encountered this.Prior to entering the clouds we had already turned on the anti ice and had green wing and cowl indication.  The bleed air had already been transferred to the APU to maximize air available for the anti ice system.  The picture of the ice is of the right wing. The left wing ice detection light didn't shine on the wing; so I couldn't see any ice on my side. The First Officer was flying so not looking back at his wing much.  We picked up moderate mixed ice on the descent and we did report it to approach.  After I arrived at the hotel I contacted dispatch and maintenance control to report what I had learned. I wanted to make sure other pilots were warned if coming in and I also wanted to have the ac checked for proper operation of the anti ice system as I didn't think there should be roll back like that on a hot wing.    Suggestions:  Inquire with Bombardier to see if this was an expected situation.,
1234848,weather,Before departing; both student and I revisited the reported weather. The nature of the flight in question was instructional and centered around traffic pattern proficiency; thus terminal and local weather synopsis were sufficient for pre-flight review. Terminal cloud ceilings were textually reported at 1;500 feet AGL with scattered clouds existing around 300; ATIS broadcasting offered confirmation. With a warm occlusion powered by a maritime low to the south; I expected the cloud bases to gradually lower throughout the evening; however; no PIREPS were available to indicate any change to the current conditions. Departing runway 25; it is my understanding that a ceilometer exists just beyond the runway terminus; which dampened any concerns of encountering conditions other than reported during the initial climb. Pattern altitude established at 900 AGL; a determination was made to entertain the flight. Typically; any perceived anomaly in weather is relayed to the pilot during initial call-up. As none were addressed; I assumed none existed. With the student at the controls; we departed runway 25 as intended and began our initial climb in the upwind leg. At approximately 400 feet AGL (537 feet MSL); the aircraft entered hard IMC with no perceivable top. Visibility dropped to zero with no ground reference available. Knowing that the downtown structures loomed ahead; I immediately took control and executed a 90 degree left turn; reducing power to transition into a descent; during which Merrill Tower solicited a report of flight visibility. Break-out occurred at around 350 feet AGL over the Quebec Apron (south end of the airport) followed by an immediate landing on the departure runway. Though instrument proficient; inadvertent flight into IMC is by nature . . . inadvertent. Therefore no planning was made leading to perceptual upset; further delaying the reactive process. The hazards involved are well-known and the possibility exists that future events may not yield favorable results. Though Merrill has adequate weather reporting capability; field location is seasonally hampered by weather dynamics unique to the environment; leading to asymmetric field conditions. Tower/ground controllers are typically good about soliciting PIREPS from arriving traffic; but traffic must exist in the first place. I conclude that there was little that could be done to avoid this event based on the information available at the time. The reported weather conditions favored terminal flight well within my experience level and I believe my decision was justified on those grounds. Furthermore; the illusions associated with slant-range visibility and parallax make a visual ground estimation unreliable at best as the cloud ceilings looked adequate from my perspective. I would be hard-pressed to recommend additional technology as the requisite technology exists for data collection; though in this instance an anomaly may exist. However; due to the explained nature of Merrill's environment; it may not be outside reason to employ the services of a trained human observer as such an anomaly could be fatal.,
