,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
2298894,Ambiguous,"On Day 0 at XA30 while landing at ZZZ in Aircraft X; I experienced a runway excursion due to a wind gust that resulted in the aft; right lower wing trailing edge contacting the runway. Post flight inspection by an AP/IA determined the aircraft to be airworthy and just required cosmetic repairs.Event sequence: I received my landing clearance for XXR from tower and recall tower reported winds 120° at 6kts. At around 100 feet I put in my crossing wind correction. I touched down left wing low; right of center line. The left main and tail touched at the same time. The right main touched 1-2 seconds later and I began to decelerate straight down the runway. As I slowed through what I'm estimating 30-40 mph the left wing begin to rise at this point the stick was full left and aft; and with full right rudder . The plane begin to veer left I tapped the brakes twice trying to regain directional control then continued with continuous firm right brake pressure. At a speed of around 20 mph and heading 30 to 40° off the runway heading; the right aft  wing tip contacted the runway associated with a tire squeal that could have been due to a skid or excessive brake pressure.  I departed the left side of the runway into the grass. I did not make contact with any runway lighting that I'm aware of. I called the tower to advise I had departed the runway. Tower told me to hold my position. At this point I was in the grass at the edge of the runway; facing directly towards the tower. I could see the windsock off my left. Tower reported the winds at 120° at 6 kt but the sock looked like 10+ kts. After ensuring I was safe to taxi tower issued clearance to start and taxi to the ramp.; ""FL380 TR (Transformer/Rectifier) unit light illuminated. Shortly after the Generator 2 Source light illuminated. Checklist required that the APU be started. APU would not start. Contacted Dispatch and maintenance; discussed issues. Recommended to return to ZZZ. All appropriate checklists completed; maintenance write up complete. Landed in ZZZ uneventfully.""",390 NM North of ZZZ we received a TR Unit light ON; followed by a Source Off Gen 2. We complied with all checklists and worked through the issue. Autopilot Command B disengaged we engaged Autopilot Command A. Checklists calls for APU start of which APU would not start. Attempted 3 times. We contacted Dispatch and maintenance via SATCOM. We all agreed best course of action is to return to ZZZ. We coordinated with operations on our air return; as well as kept both Flight Attendants (FAs) and Passengers (Pax) in the loop on situation. ZZZ1 Radio as well as ATC was notified of situation and our intentions. Landed uneventful in ZZZ and taxied to gate.
1986551,Aircraft,FL380 TR (Transformer/Rectifier) unit light illuminated. Shortly after the Generator 2 Source light illuminated. Checklist required that the APU be started. APU would not start. Contacted Dispatch and maintenance; discussed issues. Recommended to return to ZZZ. All appropriate checklists completed; maintenance write up complete. Landed in ZZZ uneventfully.,390 NM North of ZZZ we received a TR Unit light ON; followed by a Source Off Gen 2. We complied with all checklists and worked through the issue. Autopilot Command B disengaged we engaged Autopilot Command A. Checklists calls for APU start of which APU would not start. Attempted 3 times. We contacted Dispatch and maintenance via SATCOM. We all agreed best course of action is to return to ZZZ. We coordinated with operations on our air return; as well as kept both Flight Attendants (FAs) and Passengers (Pax) in the loop on situation. ZZZ1 Radio as well as ATC was notified of situation and our intentions. Landed uneventful in ZZZ and taxied to gate.
1980314,Aircraft,On climb out received SSCU (Spoiler Stabilizer Control Unit) 1 status message at approximately 10;000. Checked QRH status messages and determined message regarded redundancy. Shortly after we received (at approximately the same time) IB FLT SPLRS; IB SPOILERONS; IB GND SPOILERS and PITCH FEEL caution messages. Line Check Airman ran appropriate QRHs and determined best course of action was to divert to ZZZ this was determined by runway availability; weather; maintenance and passenger comfort. In preparation for landing after completing the QRH procedures; we contacted dispatch; [requested priority handling]due to flight control malfunctions; briefed Flight Attendant and made a passenger announcement as well as received a Gate from operations. For our landing we flew a visual to XXC in ZZZ.,After departure on climb received SSCU (Spoiler Stabilizer Control Unit) message roughly passing 10;000 feet. I was PF(Pilot Flying) and Captain ran the QRH. No further action required for that message. Directly following that message we received the following amber caution messages: IB FLT SPLRS; IB SPOILERONS; IB GROUND SPOILERS and PITCH FEEL. Captain ran the corresponding QRH checks while we received vectors from Center. We made the decision to [request priority handling] and divert to ZZZ. We briefed and prepared to arrive into ZZZ. XXC was the longest runway and we made a safe RNAV approach and landing (ILS was US). No other abnormalities were detected after landing and we continued normal procedures back to the gate.
2292528,Aircraft; Ambiguous,"On climb out received SSCU (Spoiler Stabilizer Control Unit) 1 status message at approximately 10;000. Checked QRH status messages and determined message regarded redundancy. Shortly after we received (at approximately the same time) IB FLT SPLRS; IB SPOILERONS; IB GND SPOILERS and PITCH FEEL caution messages. Line Check Airman ran appropriate QRHs and determined best course of action was to divert to ZZZ this was determined by runway availability; weather; maintenance and passenger comfort. In preparation for landing after completing the QRH procedures; we contacted dispatch; [requested priority handling]due to flight control malfunctions; briefed Flight Attendant and made a passenger announcement as well as received a Gate from operations. For our landing we flew a visual to XXC in ZZZ.; ""I approached ZZZ from the east. There was a shower west of ZZZ but; not a cell.  About 6 miles east; I was told to enter the right downwind for XXR. That means right traffic.  I was also told well out to extend my downwind. I think I responded with something about the controller calling my base.  I knew there was a jet inbound on the ILS XXR. I heard the controller ask for ceilings and visibility. I  think I volunteered that I could barely see through the rain.I was expecting a long extended downwind to land after the jet.  I slowed down.Then I was told to 'turn north.' I then responded turning base which was to the north.Then I heard yelling from the tower for me to very quickly turn west of southwest. I slammed a left turn in and saw the jet pass very close to me on final.Very soon thereafter; I was told to turn back to land.The controller never said he was sorry. I was not asked to copy a phone number and was not expecting that since did what he told me to do and almost got all of us killed.Today; I will speak with the supervisor at the tower.When I landed; I expected the ground controller to say something.When I got back to the office for our flying club; another pilot heard the whole thing and was shocked that the controller made such a dangerous mistake.I don't want the controller 'in trouble' for this. I have been a pilot for 49 years and controllers have saved my bacon more than once. The controller was also not rude about this.I had ADS-B in and out but; do not look at it that close to the runway. When I made the emergency turn; all I did was watch airspeed and turn as fast as I could without stalling.Boy was that close.""",After departure on climb received SSCU (Spoiler Stabilizer Control Unit) message roughly passing 10;000 feet. I was PF(Pilot Flying) and Captain ran the QRH. No further action required for that message. Directly following that message we received the following amber caution messages: IB FLT SPLRS; IB SPOILERONS; IB GROUND SPOILERS and PITCH FEEL. Captain ran the corresponding QRH checks while we received vectors from Center. We made the decision to [request priority handling] and divert to ZZZ. We briefed and prepared to arrive into ZZZ. XXC was the longest runway and we made a safe RNAV approach and landing (ILS was US). No other abnormalities were detected after landing and we continued normal procedures back to the gate.
2306821,Human Factors,"It was a quiet day at the untowered airport due to heavy clouds and light rain most of the day which burned off around XA:30. Weather had been IFR for most of the last 10 days with another extended round of IFR forecast to roll in soon; so despite being late in the day (sunset around XB:30) I decided to go up for a short local flight to warm up the oil and charge the battery. On my return I had just entered the downwind for Runway XX when another pilot called up looking to depart on XY - weather was calm; we were the only 2 planes in the area; and with daylight starting to fade it made sense to me that he'd want to depart from closer to parking vs taxiing the length of the runway. I acknowledged his request; we coordinated that I'd extend my downwind and turn base under and behind him as he departed straight out; and I monitored his takeoff and turned in as coordinated. The extended downwind left me a touch high and fast on the obstacle avoidance dogleg base / final so on short final I pulled back to idle; dropped full flaps and slipped in on an intentionally long landing due to the higher then normal approach speed. The remainder of the landing seemed uneventful until on rollout I noticed the prop wasn't spinning. I coasted off the runway at the next turnoff and once it came to a stop on the taxiway I got out and pulled the plane over to a nearby ramp. I opened the cowls and on inspection I didn't see anything obviously wrong; but while conducting the inspection I noticed water dripping from the induction drain. I checked in the airplane and the carb ice knob was in the closed position. I was able to restart the engine without issue and did a successful runup and mag check. In hindsight I realized that the opposite direction takeoff call had come in while I was doing my landing configuration checklist and adding the task of tracking their takeoff roll and departure had shifted my attention and I did not complete my configuration checks. Additionally the abnormal pattern due to extending the downwind shifted my attention away from my normal configuration checks on base. As a result I missed opening carb heat and experienced a carb ice induced uncommanded shutdown on short final or rollout. Once stopped on the ground for a few minutes residual engine heat melted the ice and allowed me to restart and verify normal engine operation.; ""During push from gate; the ground crew pushed us back short of the correct position on the ramp. Did not advise to set parking brake. They unhooked the tug without our knowledge. I told the push driver we were not in the correct position and that we needed to be tail East on the center line. He started yelling brakes. The aircraft rolled forward onto the tow bar trapping in between the tires. Maintenance came out removed the tow bar and we were towed to the gate. Ramp crew did not tell me to set the parking brake after the push. This was a communication error on grounds part. Aircraft was written up for possible damage and maintenance procedures followed. Dispatch and Chief Pilot were also made aware of the situation.""",During pushback from gate the ramp crew pushed us back as instructed by ramp control. The clearance was to push the aircraft in the centerline. Instead the ground crew released us earlier without telling us to set parking brake. When the Captain told the ground crew we were in the wrong spot; he started yelling 'set brake' as the aircraft was slowly rolling toward the tug. We called Maintenance; entered a write up through ACARS. Maintenance removed the tow bar and towed us back into the gate to change nose wheel tires. This was a communication issue between the flight deck and the towing crew; who didn't ask the captain to set the brake after pushing the aircraft in the wrong spot. Dispatch and Chief Pilot were contacted and aware of what happened
1995187,Human Factors,During push from gate; the ground crew pushed us back short of the correct position on the ramp. Did not advise to set parking brake. They unhooked the tug without our knowledge. I told the push driver we were not in the correct position and that we needed to be tail East on the center line. He started yelling brakes. The aircraft rolled forward onto the tow bar trapping in between the tires. Maintenance came out removed the tow bar and we were towed to the gate. Ramp crew did not tell me to set the parking brake after the push. This was a communication error on grounds part. Aircraft was written up for possible damage and maintenance procedures followed. Dispatch and Chief Pilot were also made aware of the situation.,During pushback from gate the ramp crew pushed us back as instructed by ramp control. The clearance was to push the aircraft in the centerline. Instead the ground crew released us earlier without telling us to set parking brake. When the Captain told the ground crew we were in the wrong spot; he started yelling 'set brake' as the aircraft was slowly rolling toward the tug. We called Maintenance; entered a write up through ACARS. Maintenance removed the tow bar and towed us back into the gate to change nose wheel tires. This was a communication issue between the flight deck and the towing crew; who didn't ask the captain to set the brake after pushing the aircraft in the wrong spot. Dispatch and Chief Pilot were contacted and aware of what happened
2292509,Human Factors,"After all passengers boarded; the Gate Agent (GA) came onboard and said boarding was complete but she was going to check on one passenger. At that time; I played Boarding Complete and turned to talk with the flight deck to tell them that the GA was onboard; but other than that; boarding was complete.  I no longer saw the GA onboard when I turned around; but rather than assume she got off the plane; I called the FA B to verify that the GA deplaned and that we were good to close the doors; i.e. that we were in compliance in B. The B-FA confirmed that the GA exited the aircraft and we were good to go. I then asked the CA for permission to close the boarding door; and he said yes. The GA was not present as I closed the door.  Next; I began to gather all the pre-departure drinks. As I was putting the last one in the trash; the GA was opening the armed 1L door. She did not knock on the door or call the CA to let us know she was going to do this. I was relieved when the slide did not deploy! At this time; the GA pulled the temperature probe out from underneath my demo kit; and told me I was supposed to always check this before closing the boarding door. I agreed and apologized. After she retrieved the probe; I popped my head into the flight deck (the door was not closed yet because I had been gathering the pre-departure drinks). I communicated with them what happened and told them I re--armed the 1L and that we were secure for taxi.; ""As we were descending on the arrival (JANNY5); just before being vectored for the approach (just past WABBIT) we were instructed by SoCal approach TRACON to descend and maintain 5000 ft. which we complied to. While passing mountains near the Santa Susana pass; we received a 'terrain; terrain; pull up'; 'landing gear' warning from our GPWS system. Pilot-flying (Capt) then reacted and began climbing; we reached about 5400 ft. until the alert cleared. After which; we reported to ATC that we were responding to a terrain warning which is why we climbed even though not instructed to. We then requested for next instruction which we were given 'descend and maintain 4000 ft.' and intercept BUR ILS 8 localizer to which we complied. Rest of the flight was uneventful. This could have had to do with RA (radio altimeter) equipment malfunction or perhaps 5G interference. We could not ascertain what would cause the alert. We have descended many times to 5000 ft. in this exact sector with no issues but this time; alert came on inexplicably. Unable to come up with suggestion but we did write up the aircraft for maintenance to check the GPWS system.""",During the approach into BUR we were level at 5000 ft. and got a GPWS call 'terrain terrain pull up; landing gear.' We were not near terrain and were on a STAR at the published altitude. We notified SoCal approach of what happened and they told us that they recommend we get our equipment checked. Faulty equipment.
1980310,Aircraft,As we were descending on the arrival (JANNY5); just before being vectored for the approach (just past WABBIT) we were instructed by SoCal approach TRACON to descend and maintain 5000 ft. which we complied to. While passing mountains near the Santa Susana pass; we received a 'terrain; terrain; pull up'; 'landing gear' warning from our GPWS system. Pilot-flying (Capt) then reacted and began climbing; we reached about 5400 ft. until the alert cleared. After which; we reported to ATC that we were responding to a terrain warning which is why we climbed even though not instructed to. We then requested for next instruction which we were given 'descend and maintain 4000 ft.' and intercept BUR ILS 8 localizer to which we complied. Rest of the flight was uneventful. This could have had to do with RA (radio altimeter) equipment malfunction or perhaps 5G interference. We could not ascertain what would cause the alert. We have descended many times to 5000 ft. in this exact sector with no issues but this time; alert came on inexplicably. Unable to come up with suggestion but we did write up the aircraft for maintenance to check the GPWS system.,During the approach into BUR we were level at 5000 ft. and got a GPWS call 'terrain terrain pull up; landing gear.' We were not near terrain and were on a STAR at the published altitude. We notified SoCal approach of what happened and they told us that they recommend we get our equipment checked. Faulty equipment.
2288344,Human Factors,"Takeoff from Rwy XX at ZZZ. Advised the preceding C172 was turning north bound. Cleared for takeoff reference turn to northeast behind traffic. After takeoff I started the turn to the northeast inside the C172.This was totally my error as I thought he was continuing on runway heading. There was no real conflict as I saw him and he saw me in the turn and corrected back to the right. I just felt bad that I sort of cut him off in the turn.Corrections would be to listen and allow more distance from traffic prior to takeoff roll.; ""Landing Runway XX with 10 kt. wind from 180 degrees. I was flying from the front seat and the aircraft owner was in the back seat. On taxiing out from ZZZ; our take-off runway; I briefed the owner CFI that if they saw anything they were uncomfortable with to not hesitate to take over. I said it won't hurt my feelings. On base leg I stated 10 kts. direct crosswind from the right and said 'don't fall asleep on this landing'; reminding them to be alert due to the crosswind. I said I would do a wheel landing. The aircraft bounced upon touchdown and I responded with power. I briefly thought about going around but felt that I had it under control and could continue with the landing. On the second touchdown I applied the toe brakes and the aircraft veered off to the left of the runway. I couldn't feel the toe brake on the right rudder and kept trying to apply right brake but the aircraft continued left off the runway and came to a stop in a field. When we exited the aircraft I saw the right brake pedal was in the fully depressed position for both front and rear seat. The linkage seemed to be not broken but when we moved the pedal to the normal position and applied the brake again there was no resistance. I believe had I just took my feet off the brakes and steered with rudder we probably would have stayed on the runway and the aircraft would have eventually stopped before running off the end. In continuing to try to depress both brakes; the result was the left brake application pulled the aircraft off the runway.""",I was in the back seat and the pilot flying bounced on landing and tried to salvage it and bounced a few times and lost directional control; veering off the runway through a fence; resulting in damage to the right wing.
1976420,Aircraft,Landing Runway XX with 10 kt. wind from 180 degrees. I was flying from the front seat and the aircraft owner was in the back seat. On taxiing out from ZZZ; our take-off runway; I briefed the owner CFI that if they saw anything they were uncomfortable with to not hesitate to take over. I said it won't hurt my feelings. On base leg I stated 10 kts. direct crosswind from the right and said 'don't fall asleep on this landing'; reminding them to be alert due to the crosswind. I said I would do a wheel landing. The aircraft bounced upon touchdown and I responded with power. I briefly thought about going around but felt that I had it under control and could continue with the landing. On the second touchdown I applied the toe brakes and the aircraft veered off to the left of the runway. I couldn't feel the toe brake on the right rudder and kept trying to apply right brake but the aircraft continued left off the runway and came to a stop in a field. When we exited the aircraft I saw the right brake pedal was in the fully depressed position for both front and rear seat. The linkage seemed to be not broken but when we moved the pedal to the normal position and applied the brake again there was no resistance. I believe had I just took my feet off the brakes and steered with rudder we probably would have stayed on the runway and the aircraft would have eventually stopped before running off the end. In continuing to try to depress both brakes; the result was the left brake application pulled the aircraft off the runway.,I was in the back seat and the pilot flying bounced on landing and tried to salvage it and bounced a few times and lost directional control; veering off the runway through a fence; resulting in damage to the right wing.
