 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2260174,202507,1201-1800,BWI.Airport,MD,,,,900,,VMC,,,,,,Tower BWI,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Final Approach,Visual Approach,Class B BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 201.08; Flight Crew Type 810.27,,,,,2260174,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach,,,Person Air Traffic Control,In-flight,General None Reported / Taken,Procedure; Human Factors; ATC Equipment / Nav Facility / Buildings,Ambiguous,"Aircraft vectored in within 1NM to final approach fix and higher than published altitude and 210knots assigned. Despite calling the field in sight; BWI Approach did not issue Visual Approach clearance until nearly 1min later further compounding high energy state of aircraft. PF and PM configured aircraft as expeditiously as possible to achieve stabilized approach criteria. After receiving landing clearance; BWI Tower issued low altitude alert approaching 1000AGL. Aircraft was still above glide slope and correcting. Both pilots elected to continue approach noting visual and instrument indications showed the aircraft still above glide path with only 'final flaps to go.' Stabilized approach criteria was met by 500AGL to include final configuration; landing checklist; descent rate and airspeed. The aircraft landed and taxied to gate without issue.",,,,"Air carrier Captain reported a low altitude alert from tower even though the aircraft was above the glide slope.",
2260249,202507,0601-1200,ZZZ.Airport,US,,,,,,,,,,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,ILS/VOR,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Confusion,,,2260249,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter CFTT / CFIT,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Executed Go Around / Missed Approach; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Became Reoriented,Human Factors; Aircraft,Ambiguous,"While on short final we received a glideslope warning I saw I was 3 red and corrected.  As we continued and I had corrected to 2 red 2 white then we received an aural warning of terrain and pull up; we were very close to runway at this point and neither of us could figure out in the VMC conditions why it was telling us this.  I did not go around initially do to the pull-up as I could see clearly we were Not about to hit terrain.   I finally said the heck with it; let's go around.  An uneventful go around was initiated and subsequent approach and landing were normal.  I did not write up aural warning as I believe it was triggered somehow by the initial glideslope warning.   We also flew this plane to ZZZ on the next flight.  Nothing noted.Cause: Possibly never get 3 red; but visually the approach seemed fine.   We honored the pull up and initiated a Go around.",,,,"Air carrier pilot reported receiving an aircraft generated altitude and terrain alert.",
2260370,202507,1801-2400,ZZZ.ARTCC,US,,,,35000,,VMC,,,,,,Center ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Cockpit Window,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 150.03; Flight Crew Type 929.27,,Troubleshooting,,,2260370,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 209.48; Flight Crew Total 2179.03; Flight Crew Type 2179.03,,Troubleshooting,,,2260392,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Flying at cruise; FL350; the FO was the PF and the CA was the PM.  The CA identified a visible crack of the L1 interior window panel; which had feathering and perceptible depth.  Maintenance Control and dispatch were contacted.  Due to the slow expansion of the crack and considering the long international routing ahead; the decision was made to immediately divert while still in domestic airspace due to safety of flight.  Priority handling was requested and the 'Window Damage' Non-Normal Checklist was executed.  Routing to ZZZ and a descent to 14;000' was requested and issued by ATC.  Airspeed was reduced to 250 KIAS and the landing gear was extended to maximize fuel burn and reduce landing weight.  Once at 14;000'; further descents were made at a minimal rate of descent to reduce the effects of pressurization change.  Prior to beginning the arrival; the CA assumed duties as PF and the FO assumed duties as PM.  A visual approach backed up by the ILS XXL was executed.  An overweight landing to RXXL was executed; with touchdown occurring approximately 7;500 pounds over max landing weight.  Several actions were taken on landing to reduce the possibility of overheating the brakes: flaps 40 were used to reduce final approach speed; autobrakes 1 was used; full thrust reversers were immediately deployed after touchdown; and most of the available runway length was used to bring the aircraft to a gradual stop.  Two ELB (Electronic Logbook) entries were made: one documenting the cracked windshield and one documenting the overweight landing.  The event was handled in accordance with SOP and CRM/TEM (Threat and Error Management) was leveraged to ensure safety of flight.",,"At cruise; FL350; during level-off; the Captain identified the formation of a visible crack in the L1 door interior panel. The crack terminated in 'feathering;' with perceptible depth confirmed by tactile inspection. Due to the nature and progression of the defect; and considering the long overwater/international routing ahead (X+XX planned flight time); the decision was made to return while still in CONUS airspace.Priority handing was requested following direct coordination with dispatch and Maintenance Control. Based on the provided crack description; Maintenance Control advised an immediate return due to safety-of-flight implications.Initiated descent to 14;000' and extended landing gear early to maximize fuel burn and reduce weight.Descended using a 600 fpm rate to promote crew and passenger acclimatization to cabin pressure changes and mitigate aeromedical risks.Captain assumed control of the landing due to its non-normal nature; First Officer had been PF up to that point and had performed admirably.Overweight landing executed on Runway XXL at ZZZ; approximately 7;500 lbs over max landing weight.Flaps 40 used for final approach; landing was managed with primary use of thrust reversers and minimal braking to preserve brake energy.All QRC/QRH items were completed promptly and correctly. Two ELB (Electronic Logbook) entries were made: one documenting the crack; the other the overweight landing. Dispatch and Maintenance Control provided consistent; actionable input throughout the return.Threats included a structural anomaly in flight; overweight landing dynamics; and potential passenger aeromedical concerns due to cabin pressure management.Effective crew resource management: Captain maintained decision authority while leveraging FO's performance and input. Flight path and workload management were continuous priorities.First Officer provided solid support in both PF role and post-transfer tasks. Coordination between flight crew; cabin crew; and maintenance was seamless.Discovery of the crack early in the route was fortunate; enabling a safe CONUS return rather than a high-risk international divert.Handling and descent strategy were calibrated to reduce physiological strain on passengers and minimize further structural stress.",,"B737 flight crew reported observing a slowing expanding crack in an interior window panel during cruise. Flight diverted and performed an overweight landing.",
2261277,202507,1801-2400,ZZZ.Airport,US,,2.6,160,,,,10.0,Excessive Wind (UAS),Night,CLR,,,Recreational / Hobbyist (UAS),DJI Mini 3 Pro,,,,,Photo Shoot / Video,,Cruise,,Class D ZZZ,,,,,,,,,,,,,,,Micro,Multi-Rotor,VLOS,N,Manual Control,Crowds; Airport / Aerodrome / Heliport,,,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,,Person Manipulating Controls (UAS); Remote PIC (UAS),Other TRUST Certificate Completion,Flight Crew Last 90 Days (UAS) 2.5; Flight Crew Total (UAS) 4.0; Flight Crew Type (UAS) 0.4,,Situational Awareness,,,2261277,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"On Day 0 around XA:30; I forgot to get LAANC auto-approval before flight. One hour before flight; I checked the air aware app to ensure there were no TFRs in place; and there wasn't. Before I launched my drone; I mistakenly thought I already submitted a LAANC when I was checking for a TFR but failed to do so. During flight; there were up to 5 drones in the air at the same time. I maintained full visual of my drone the entire flight. During flight; my drone did cross paths with another. It did not appear we were close in altitude. I cannot accurately guess how exactly close it was. Mine and the other operators drone lights were operational. No damage or incident occurred; and no contact was made between drone operators.As a result of this mistake; I've begun further educating myself on drones. I have obtained my TRUST certificate. I'll also be obtaining a part 107 license to help further my education in drone flight; laws and safety. I'll be exercising increased caution when flying alone and near other drones.","Reporter stated TRUST certificate was obtained after the incident and the flight was near a crowd of people.",,,"Recreational / Hobbyist UAS pilot reported flying a UAS without obtaining LAANC authorization. The reporter also reported other UAS were flying in the same airspace.",
2261317,202507,,ZZZ.Airport,US,,,,9000,,VMC,Rain; Thunderstorm,,,,,TRACON ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Final Approach,Vectors; Visual Approach,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 207.27; Flight Crew Total 1126.65; Flight Crew Type 1126.65,,Workload,,,2261317,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Flight Crew Last 90 Days 177.42; Flight Crew Total 477.27; Flight Crew Type 477.27,,Workload; Situational Awareness,,,2260789,Deviation - Speed All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Regained Aircraft Control,Weather; Human Factors; Procedure,Procedure,"Divert into ZZZ from ZZZ1. FO flying. Vectors to final for visual XXL. Very windy and turbulent. Thunderstorms in the area. On base leg; we were too fast for the left turn with overshooting winds.  As a result; we were to the right of final. FO was focused on the runway and put in over 30 degrees of bank to correct to centerline.  He rolled out with the 'bank angle' annunciation; but then rolled back in again to about 35 degrees of bank. FO corrected the bank again quickly; and I told tower we were overshooting. There was no other traffic and we intercepted final and landed without any further issues.",,"Extremely strong winds blew us off the LOC while intercepting. VOR/LOC captured and the plane was in the turn but the plane kept blowing through the inbound due to the winds. I disengaged the auto pilot and over corrected into the strong gusts resulting in a 'bank angle' from the airplane.",,"B737 flight crew reported the pilot flying in turbulence and too high speed overshot the final approach course and received a bank angle annunciation when correcting.",
2261780,202507,,,,,,0,,,,,,,,,,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,2,Part 121,,Passenger,,Parked,,,,,,,Scheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,APU,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,,,,2261780,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Maintenance,Routine Inspection,General Maintenance Action,Aircraft,Aircraft,"While accomplishing the APU oil service; I noticed the oil cap "O" ring was damaged. This is not the first incident finding the oil cap "O" ring damaged ( chewed up ). Not sure what is causing this to happen. I suspect that vibration may be causing this; but the oil cap feels tight when closed. This is so important because of the ETOPS Flights.",,,,"B787 technician reported while performing an oil service of the APU; they found the oil cap O ring damaged.",
2261829,202507,0601-1200,ZZZ.Airport,US,,1,300,,,VMC,10,,Daylight,12000,,CTAF ZZZ,FBO,DA40 Diamond Star,,2,Part 91,None,Training,,Landing; Final Approach,None,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF ZZZ,Air Taxi,Helicopter,,,Part 135,,Ambulance,,Initial Climb; Takeoff / Launch,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Not Flying; Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,Flight Crew Last 90 Days 85; Flight Crew Total 1200; Flight Crew Type 600,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,2261829,,,,,,,,,,,,Conflict NMAC,Horizontal 500; Vertical 200,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"Medivac Helicopter departed out of Hospital on the west side of ZZZ Municipal Airport. Helicopter made one call announcing that they were going to cross over perpendicular to midfield at 300' AGL as our aircraft was on short final at 300' AGL. Instructor made a call on CTAF telling the helicopter that there was already an aircraft on short final. Helicopter still overflew the airfield at dangerous altitude. Instructor notified helicopter that they had them in sight. Helicopter did not deviate from their flight path or climb. Aircraft on final was over the runway with the helicopter less than 200' directly above them. Helicopter left no vertical separation for the aircraft in the case for a go-around. Completely unsafe operation; with no need to overfly the field with traffic in the pattern.",,,,"DA40 pilot reported an NMAC during final approach to a non-towered airport with a Helicopter overflying the airfield.",
2262131,202507,1201-1800,ZMA.ARTCC,FL,,,,33000,,IMC,Turbulence; Thunderstorm,,Daylight,,,Center ZMA,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZMA,,,,,,,,,,,,,,,,,,,,,,,,Weather Radar,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,2262131,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence; Inflight Event / Encounter Loss Of Aircraft Control,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control,Weather; Human Factors,Weather,"On Day 0 around XA:43 Aircraft X encountered severe turbulence flying from EYW - ZZZ. We were originally filed for FL350 but once airborne we were informed that our new final altitude would be FL330. On the climb out and during cruise my First Officer (FO) and I were requesting headings to avoid cumulus buildups along our route of flight. The fasten belt sign was on and our flight attendants were seated. Once we were clear of the buildups we were direct DUCEN intersection and our flight attendants began their cabin service with the carts out. Shortly after that point we transitioned from VMC to IMC. My FO and I both had our radars on throughout the flight and at that point; both were set to 100 nm rings. We both didn't see anything on our radars and the ride was smooth. Shortly after; I sized down to the 50nm ring and saw a tiny yellow radar spot just in front of our aircraft. Once I took note of it; I mentioned it to my FO and then sized down to 12.5nm rings. At 12.5 nm I was able to see half of a radar sweep and then at 5nm I saw a full sweep. There was a small cell that was outlined in yellow and in the middle was all red. By the time we requested a right deviation the aircraft started shaking violently. The Autopilot disengaged and I disconnected the auto throttles. I took command of the aircraft and fought to keep us stable. I then began a right turn to escape the turbulence. Our airspeed was at Mach .74 and our airspeed was fluctuating rapidly. Once we escaped the turbulence I noted a loss of 500'. We reported our severe turbulence to ATC and checked on the cabin. Our flight attendants and passengers were ok and no injuries were reported. There weren't any EICAS messages either. The Autopilot and auto throttles were able to reengage.The turbulence was encountered east of MATLK intersection and lasted for approximately 30 seconds. Airspeed increased but we did not overspeed.",,,,"Air carrier Captain reported severe turbulence during cruise flight when deviating around thunderstorms; resulting in an altitude and heading deviation. The flight returned to the clearance and no injuries were reported.",
