,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1715004,humanfactors,During preflight planning discovered this was the third airplane assigned to the flight. Arrived at the aircraft and discussed two MEL (Minimum Equipment List) items which we reviewed together and called Maintenance out to clarify an item. All four pilots handled and reviewed the logbook during this discussion. We all briefed the ETOPS (Extended Twin Operations) signoff and agreed it was done and in the book. The boarding was slightly delayed so there was no pressure to get things done quickly. After about two hours into cruise Dispatch sent a message asking if the ETOPS signoff was in the logbook. I checked it and found that there was indeed an entry and it was the correct date but saw that the departure station was ZZZZ. This means that the signoff was for the previous leg which was the day before. The day before; in the other hemisphere. We all were looking for an ETOPS date and we all saw what we expected to see. At that point we were not in ETOPS airspace and worked out a routing with Dispatch that avoided ETOPS airspace entirely and secured the clearances with ATC (Air Traffic Control). Shortly after Dispatch told us that the maintenance department wanted us to return the airplane to ZZZ. We asked to divert to minimize the delay to the passengers but were told to return to ZZZ. The return to ZZZ required and overweight landing at 485;000 lbs (max landing weight is 460;000 lbs); so ATC was advised. All checklists were complete and an uneventful landing was made.I think all pilots expected to see an ETOPS signoff dated [the same day] and that is exactly what we saw. We should have reviewed the entry more carefully. There was no reason as we were not rushing to depart; we just missed the fact that the last leg originated in the other hemisphere.I need to inspect the logbook entries more carefully and make sure I know where the previous leg originated; especially when a change of equipment is involved. I never suspected the date line issue would cause such a problem but it happened.,Flight departing ZZZ to ZZZZ. Aircraft changed tail number two times before departure. Logbook was reviewed by Flight Crew and Maintenance was called to the aircraft to clarify an MEL (Minimum Equipment List) item. Flight crew incorrectly verified ETOPS (Extended twin Operations) signoff in the AML (Aircraft Maintenance Log). ETOPS was signed off on the correct date; however; the ETOPS was signed off in ZZZZ; not ZZZ.Lack of awareness that is was possible; although unusual; that an ETOPS could be signed off in ZZZZ and need an additional ETOPS sign off to go back to ZZZZ from ZZZ in the same day.I believe that awareness of this unusual event would prevent it from reoccurring.
1715238,humanfactors,Aircraft X was inbound to the airport from the southeast. Apparently the aircraft was on an IFR flight plan and I completely overlooked that information. It took the aircraft traveling about 10 miles inside my airspace before the pilot called and made first contact with me. When the pilot finally called me and told me he had the current ATIS I had asked the pilot which route he wanted to take inbound to North Las Vegas airport. Again; I failed to look at all the information in the data block and treated him as if he was VFR. When I asked the pilot which route he wanted and he was open to either route; I gave the aircraft a clearance through the Class Bravo airspace and assigned a heading of 270 with no altitude assigned. A minute or so later I asked the pilot if he was familiar with the local flying area and the surrounding terrain; and after he replied in the affirmative; I instructed the pilot to resume own navigation then fly heading 360.After I got that read back; I instructed the pilot to cross the airport at and maintain 5;000 feet. A few minutes later as he approached the airport from the southeast and was approximately 6 miles to the southeast and over a 6;300 Minimum Vectoring Altitude. I had noticed there were numerous VFR departures departing southbound; so I assigned a heading of 320 to stay away from the targets I saw departing. At this time the pilot had already begun his descent to comply with the VFR instructions that I had issued; and never mentioned that he was IFR. As stated before I didn't realize he was IFR. I had made a couple traffic calls regarding the departing aircraft who were not Radar identified; and at that time a Controller a few positions over mentioned the altitude of Aircraft X and that was the first time I noticed the data block and all the information that I initially missed indicating that he was in fact IFR. At that point The aircraft was already at 5;500 feet heading northwest bound; and it was at this point that I and the Supervisor talked about the aircraft and the situation at hand.I don't know that there are any recommendations or changes that can or should be made to prevent this from happening again in the future. I simply missed the information in the data block indicating that this aircraft was IFR. When I issued a Class Bravo clearance and all appropriate navigation and altitude instructions for a VFR aircraft; I had the expectation bias that the aircraft was indeed VFR when he accepted all the instructions and never questioned the clearance. I missed the indicators that he was on an IFR flight plan and there is nothing more to it and completely my fault and no one else's.,
1715252,humanfactors,I was working local control in a south operation. I had Aircraft Y holding in position on RWY19 with Aircraft X on final for RWY19. There was a small layer of clouds in between the buildings in Rosslyn and the Kennedy Center (our 2 mile final visual landmark). This small area of clouds did not prevent the aircraft from seeing the runway; and none of the previous aircraft on final disappeared from my view. During this operation; shortly after putting Aircraft Y in position; Aircraft X disappeared into the cloud just as they were passing the buildings over Rosslyn. I cleared Aircraft Y knowing that Aircraft X was somewhere between a two and three mile final. I could not tell exactly where Aircraft X was because they were behind a cloud that blocked my sight; but they were still showing outside of two miles on the radar. When I cleared Aircraft Y for takeoff; I said 'traffic is inside of a three mile final'. Shortly after takeoff roll; Aircraft X came out of the clouds and I saw they were inside of a two mile final. At that point I knew this may be an operation that I may not have runway separation minimums. I asked Aircraft X to square his last turn if able; to try to achieve the 6;000 ft and airborne. A few seconds after that I could tell this would not work and issued go-around instructions to Aircraft X on what I would estimate to be just inside of a half mile final. His instructions were to turn right to a heading of 250 and maintain 3;000 ft. He read back correctly; but did not turn and flew over top the runway while climbing. I then issued an instruction to turn right to a 270 heading to ensure separation from Aircraft Y departing.  Even after this; I observed Aircraft X continuing on runway heading. I then issued traffic and told him to turn immediately. After this; he finally started to turn. I would estimate that Aircraft X flew at least 2 miles after I issued the initial go-around heading before they started their turn.  I recommend that I could have issued a traffic alert and said to turn immediately earlier than I did. I also think that I could have held on to the departing aircraft longer and turned them eastbound to ensure diverging headings from the trailing go-around aircraft that was issued a westbound turn. In my experience; it is not the norm in a go-around for an aircraft to fly for so long after being issued a turn; to not turn. I am not a pilot myself; so I'm not sure what is considered a reasonable amount of time to 'clean up' the airplane while going around. Again; I from what I've experienced; this is not the norm. I would even consider this to potentially be a deviation.,
1715281,humanfactors,We flew a long pattern to Runway 1L arriving from the north and sequenced behind all other traffic. We were cleared for a visual approach well south of MacDill; already slowed to 210 kts. We intercepted the glide slope and flew an extremely smooth and uneventful approach. I remember thinking that it was awfully quiet; but not unusual since we were the last on approach. Mostly; I was glad to be done with a turbulent day and appreciative of the nice weather in Tampa. Only after clearing the runway did we recognize the error; as Ground Control had not been preset on Radio 1. We were cleared to taxi to our gate after a slight hesitation from Ground. Not as an excuse; but as a factor; Approach did not send us to Tower prior to landing.,
1715404,humanfactors,I landed without clearance. We landed on Approach Control frequency. While clearing runway I realized we were still on Approach Control frequency. I heard transmissions that sounded like what an Approach Controller would say - not Tower. I asked my partner 'were we cleared to land?' My partner quickly switched to Tower and we heard him clearing us to cross parallel runway and contact Ground. we acknowledged and complied. Tower Controller then said he tried to call us a couple of times. My partner told him that Approach Control never switched us over. The last thing I remember on approach was the Approach Controller issuing us traffic over the stadium; that was it. I do not recall ever being told to contact the Tower. We were also at the end of two very long days dealing with multiple issues and worn down. in this mental state I was not sharp enough to switch to Tower on my own past the marker without being prompted to do so by ATC. It was quiet and smooth. So many approaches and landings in the last four days - it is hard to keep track because they start running together being so automatic. We were fatigued towards the end of this flight. After listening to LIVEATC.com it sounds like we were forgotten about. The Tower asked us where we were parking close to a short final; queried us again; and then again and issued the taxi instructions. Which is when we switched over and heard them. It does not seem as though they were looking for us long. I take full responsibility for landing without a clearance. I always wondered how you could land without a clearance and now I know. Contributing factors were crew fatigue and lack of ATC Comm. Normally I would query ATC about switching to Tower; or just switch myself past the marker if they are busy; but due to fatigue I did not catch it and we continued. To help prevent this in the future I will monitor my fatigue level better.,
1715405,humanfactors,Approaching ZZZ at about XA:55. ATIS indicated wind 190/3 light rain; vis 1+ 3/4 miles. At approximately 14 miles out I spotted the two runways and the airport was clearly visible. We were vectored to an intercept heading of about 190 degrees and cleared to 3;000 ft. to maintain until established; 'Cleared for the ILS XXL approach.' We descended to 2;000 ft. I reported the airport in sight twice and also mentioned that I picked it up visually 14 miles out. At approximately XA:57; ZZZ Approach called [us]; Low altitude alert; climb immediately to 2;900. I responded with something like; We are in the clear. His response was Climb now to 2;900; ZZZ is reported as IFR. Controller apologized for the confusion and essentially said the mistake was on 'our end.' I played back the recording and discovered that the mistake was indeed mine. We were issued 3;000 ft. not 2;000 ft. The biggest mistake I made was shifting my attention outside the airplane. I could clearly see the airport and the fact we were visually clear of all obstacles. The approach plate was reviewed and displayed in front of me. I was essentially operating visually despite the fact we were on an actual instrument approach. Procedurally incorrect. We were never in any danger.,
1715423,humanfactors,The flight to ZZZ was uneventful until the descent. ATC held us high as we transitioned over ZZZ1 which left us extremely high for the approach into ZZZ. When we reported the field in sight for the visual approach we realized that we were far too high to complete an approach successfully and so we coordinated with approach to maneuver in order to add track miles for the descent. We ended up making a 270 degree turn to final which put us level at traffic pattern altitude and slightly offset for the straight in visual to Runway 12 at about 10 miles out. Even with the extra track miles to lose altitude; the descent from the mid-20s down to traffic pattern altitude was fairly time compressed. As the Captain (Pilot Flying) maneuvered us fully onto final approach he performed the LVSA procedure as we had the FMC set up with a visual approach to Runway 12 and our plan was to fly it like a RNAV approach. During this time; I was busy helping the Captain configure and making radio calls (we were talking to both ZZZ2 approach and making CTAF calls). Because of this I failed to notice that when the Captain performed LVSA he didn't set a lower altitude. This meant that when we reached the top of descent for the final descent the aircraft did not descend and started getting high on final. I realized what was going on and pointed this out to the Captain who left the autopilot on initially and tried to descend to catch the descent path using different vertical modes. However; since the aircraft was slow to respond on the autopilot; we did not catch the final approach path. As we passed 1;000 ft.; I was making a CTAF call but heard the Captain call stable. After I finished my radio call; when I went to call 'stable' I noticed that we were not actually stable as we had a vertical speed of 1;600 fpm. I called 'unstable; go-around' and the Captain immediately started the go around procedure. We performed a go-around and climbed up to traffic pattern altitude with the speed intervened and holding the configuration at Flaps 5. I made a call to CTAF and then contacted approach who offered us the choice of maneuvering visually in the traffic pattern for another attempt at landing or offered to take us out and vector us around for another visual. After consulting with the Captain; we decided to just perform a left traffic pattern in visual conditions. The Captain flew the traffic pattern while I performed all the necessary checklists and set up the FMC again for a visual to Runway 12. When we loaded the visual approach into the FMC it automatically set up an 8 mile fix on final. We turned base about 5 miles from the runway due to terrain further out from the airport and while on the base leg I sequenced the FMS for the Captain since we were inside the 8 mile final approach fix. However; by the time the FMS had caught up on its calculations and the Captain had made the appropriate selections on the MCP; we were once again getting high on the approach. The Captain realized this and again tried to correct the problem with the autopilot on and a vertical mode but once again the aircraft was too slow to respond. This time though the Captain realized prior to 1;000 ft. that this approach wasn't going to work out either and leveled off. He suggested we just fly a 360 turn on final to help with the situation and started to turn crosswind. I stated that I was uncomfortable with this and thought we needed to climb back up to traffic pattern altitude at least. The Captain agreed that this would be prudent and climbed back up to 3;500 ft. while I got us set up for another attempt. Instead of flying just a 360 turn; the Captain ended up flying another small traffic pattern; however; this time the Captain flew the pattern and approach with the autopilot off. The Captain flew a normal visual pattern and this time we were on path and fully stabilized prior to 1;000 ft. The Captain then performed an uneventful landing. Additionally; after landing we had greatdifficulty getting our flight plan closed. We were unable to raise FSS on the ground via radio as expected; then multiple attempted calls to [TRACON] via phone were unsuccessful; and finally after the second phone call to FSS we were finally able to get our flight plan closed. Although it didn't get closed within the 5 minutes of landing that approach had requested because of all the problems we had. In retrospect we let approach rush us in the descent prior to accepting the visual approach into ZZZ; we should have gotten delay vectors so we weren't so rushed going into the approach. Also; it would have been better if we would have taken the option from approach to get vectors around for a second attempt rather than just flying the traffic pattern. This would have given us more time and set us up in a better position for a second approach. Lastly; the autopilot should have been taken off earlier; trying to fly the visual pattern on the autopilot just didn't work. With a TPA of approximately 1;500 ft. AGL; if you start descending late at all there is very little time to correct the problem and be stabilized prior to 1;000 ft.,
1715430,humanfactors,When we landed at ZZZ it was completely after dark.  ATC cleared our E190 Flight XXX to hold short of Rwy XXR on Taxiway E.  Then we were cleared to cross Rwy XXR at E and contact ground on the other side.  This area is marked as a [Hot Spot] on the ZZZ airport diagram. After crossing we turned off all lights and changed to ground.  Congestion on frequency prevented quick access.  Directly ahead a company aircraft turned on their taxi light and began to taxi directly at us.  At the intersection of E and Taxiway A the aircraft stopped momentarily and turned off its taxi light.  Inexplicably; the Company aircraft then started to taxi directly at us again with lights out.  Alarmed; I turned on our taxi and Landing lights to warn the approaching flight crew of our position; so that they could see that it was too dangerous to continue.  Our FO warned the flight crew multiple times on ground frequency that there was not enough room to make the left turn safely.  The aircraft then turned on their Lights and continued to slowly make the turn despite repeated warnings.  Someone else on ground frequency made an arrogant comment about taxiing.  Although we never heard their taxi instructions; they apparently had a clearance that did not take into account our stationary position within the intersection of E and B.  With all of the lights we could clearly see the nose wheel of an Airbus A319 well to the inside of the yellow left turn taxiway markings on the transition from E to B taxiways.  The nose wheel was estimated to be about 5' to the left of the yellow centerline.  The right wing sharklet passed somewhere between 5' and 10'  of our windshield.  We could not see whether the left engine or the left main gear made contact with any obstructions; FOD; or taxi lights.  This company aircraft had come so dangerously close to our aircraft that the safety of our passengers; crew; and both aircraft were seriously Jeopardized. CausePoor judgment in taxiing an aircraft into such close proximity to another aircraft after repeated warnings to stop and wait. Failure to stop and request an amended clearance.  Both the E190 and A319 were placed into unacceptably close proximity by failing to acknowledge all warnings to stop briefly so as to maintain a safe operation.  The safety of both aircraft; passengers; and crew were seriously jeopardized by this imprudent decision.Stop when requested so an amended clearance could be issued and wait for a stationary aircraft to move out of the way.  Respect hot spots as identified.,
1715586,humanfactors,After landing on Runway 22L we exited the runway via Taxiway P; E and held short of Runway 22R at E. We were talking to Tower on Frequency 128.80. Tower advised to cross Runway 22R on E and contact ground on Frequency 121.9 once crossed. The Captain taxied across Runway 22R and I was contacting ground on 121.90 when we realized there was an Air Carrier Y coming strait at us on Taxiway E. The Captain stopped immediately and I tried to contact ground. Ground Control was very busy and I was unable to get a response from him. I continued to try and contact ground by saying something along the lines of ground Air Carrier X I think our tail is still across the hold short line on Runway 22R and that there was an aircraft coming strait at us from Taxiway E. I believe ground still did not respond. By this time the Air Carrier Y was about 50 feet in front of us and still coming. I said to the Captain; 'he's going to hit us.' The Captain then turned on every light we had so as to have the Air Carrier Y stop. I yelled on the radio multiple times to 'stop!' The Air Carrier Y kept coming. Ground still did not respond. I then again said the Air Carrier Y in front of us stop you are going to hit us. A voice came on and said; 'I can see my wing I'm fine; I'm not going to hit you;' I said 'yes you are; STOP!' The Air Carrier Y kept coming slower; but turned to cut the corner of Taxiway E and B; exactly where we were sitting. By the time the Air Carrier Y went past us; it's front tires were about 5 feet left of the taxiway line (cutting the inside of the corner) I would calculate the winglet of the Air Carrier Y was about 5 feet from our front windshield. My Captain kept the lights on the whole time and never moved the airplane; if he would have moved there would have been a collision. Once the Air Carrier Y passed I was finally able to get taxi confirmation from ground to continue to the gate.I believe the event occurred because the pilot of the Air Carrier Y was arrogant. This is most prevalent in my mind because of the tone of voice that was given when he said; he would not hit us. Also Ground not realizing that Tower had cleared us to cross and contact Ground Control. This is a hotspot on the airport.Suggestions: Ground and Tower to have better communication between each other. More vigilance from pilots to not continue when another pilot advises to stop.,
1715622,humanfactors,It is my opinion that we had made our departure CTAF broadcast at the same time as Aircraft Y and that caused us to not hear each other.  We had observed 3 different aircraft using Runway 17 (our inbound aircraft; a departing airline flight and an arriving airline flight) and elected to use 17 in effort to not disrupt flow of traffic.  Leaving ZZZ we taxied to RWY 17 from the terminal ramp making 2 CTAF calls en route; one for taxi and one for crossing 31/13.  At the end of the runway I called Center via phone to obtain clearance as stated by NOTAM and got clearance after confusion over call sign since ours was missing on our release paperwork.  After 15 minutes or so we were released by center.  I looked down the runway and saw no traffic and asked the Captain if he was ready.  He replied yes and I made a CTAF call saying 'ZZZ traffic; [Callsign]; departing Runway 17 with a right turnout; ZZZ' (the right turnout was misspoken).  We observed no traffic and had heard no radio calls from anyone other than an ops vehicle that appeared to be inspecting Runway 31 (does not intersect 17).  We waited for approximately 15 seconds before we took the runway as we completed the before takeoff checklist.  I once again called clear right while looking down the runway and observing no traffic.  On the roll I was given flight controls and advanced power.  As rotate was called I noticed a light on the departure end of the runway.  We took off normally and flew the ZZZ1 departure; and during initial climb I noted Aircraft Y on the 1000 foot markers for Runway 35.  At this point we heard a CTAF call from the aircraft but I do not recall the exact wording from the other aircraft.  We briefly communicated with the other aircraft before swapping to Center and continuing to ZZZ2.I believe us stepping on each others broadcast caused us to miss one another's departure call.  The departure end of 17 has buildings that made it somewhat more difficult to spot traffic and the sun was in our face towards the departure end of 17.,I believe that when we made our transmission before taking the runway we may have stepped on Aircraft Y making the same transmission at the other end of the runway. Due to that I don't think either of us heard the other aircraft. I chose to use Runway 17 due to the calm winds and that being the runway that every other aircraft had been using since we had been out on the airfield. I felt with other aircraft using Runway 17 it would be the least disruptive to the flow of the airport. In addition taking off on Runway 17 there was glare from the sun; and also a group of buildings off the departure end that helped hide Aircraft Y from sight.Departing ZZZ off of Runway 17; we had taxied to the end from the ramp. FO made two radio calls during the taxi; once for the initial taxi and then again when we crossed the intersecting Runway; 31/13. While holding short at the end of the runway I instructed the first officer to call Center via a phone number for clearance delivery out of ZZZ. There was some confusion over our flight number being filed as XXXA instead of XXX; as it wasn't in our remarks section of our paperwork and was only present in the ATC strip. We continued holding short of Runway 17 at the end for around 10-15 minutes while we double checked with dispatch and got our release from center. We were given our release and I asked the First Officer to double check the departure end was clear; I looked as much as I could and didn't see anything. He responded that it was clear and asked if I was ready. The first officer transmitted on COM2 on 122.80; as listed in the Lido charts; stating '[Callsign]; taking Runway 17 for departure; Right turn out.' We heard no responding traffic; took one more opportunity to look at both ends of the runway; and began to taxi out on to the runway after around 10 seconds or so. Upon alignment with the runway we again spotted no traffic on the runway; however there was a good amount of glare from the sun. I handed the first officer the controls and we began our takeoff roll. Right around Vr I noticed a light at the other end of the runway; and as we rotated I saw Aircraft Y pass well beneath us as they aborted their takeoff on Runway 35. He was around the 1;000 foot markers of Runway 35; and we were a good 500-1000 feet above him. The other aircraft made a CTAF call saying that we did not make any transmissions and they were aborting their takeoff. I responded that we had made multiple transmissions taxiing out to the runway; as well as another before taxiing onto the runway. He responded that he didn't hear anything we had said and that he was making radio calls as well. We continued with the departure and proceeded to Denver without further incident.I think that making more than one departure call would have helped negate this incident. Perhaps if we had made a '[Callsign] holding short Runway 17 ready for departure; any other traffic please advise' call before making our 'taking Runway 17 for departure' call it could have given the other aircraft more opportunity to hear and avoid us. The departing traffic was also VFR; so there was no separation provided from ATC; which would have helped but also we can't expect every aircraft to fly IFR all the time.
