 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1235311,201501,0001-0600,SEA.Airport,WA,,,,,,,,,Daylight,,,Tower SEA,Air Carrier,B737 Next Generation Undifferentiated,,2,Part 121,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 16L,Initial Approach,,Class B SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1235311,,,,,,,,,,,,Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Altitude Overshoot,Horizontal 0; Vertical 400,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action; Flight Crew Returned To Clearance,Aircraft; Airspace Structure; Procedure,Airspace Structure,"TCAS Climb Alert complied with during approach to 16L at SEA. Conflict was VFR traffic at BFI. I called SEATAC tower after landing and he said this has happened several times in the past. He said there is a small area of overlap in the airspace used by SEA and BFI traffic.",,,,"An air carrier on approach to SEA had a near miss with an aircraft in the BFI pattern while both aircraft were transiting a small area of airport airspace overlap.",
1240812,201502,1801-2400,SJC.Airport,CA,,,,11000,,VMC,,,Dusk,,,TRACON NCT,Air Carrier,B767-300 and 300 ER,,2,Part 121,IFR,Passenger,FMS Or FMC,Climb,,Class E NCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,1240812,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,,,,1240821,Conflict NMAC,Horizontal 50; Vertical 5,N,Person Flight Crew,In-flight,General None Reported / Taken,Airspace Structure,Airspace Structure,"Quad copter drone passed inside 50 feet of right wing while we were limping out of SJC at 11;000 feet 8 miles southeast turning north.We need more effective Drone restrictions.",,"It passed very slightly high; approximately five feet above us with a distance no greater than our right wing tip. We had absolutely no time to react. From the time we first saw it to the time it was upon us was less than 2 seconds. It was a grey or white 4 rotor 'X' shaped drone. The size of the aircraft is difficult to determine; but it was definitely larger than any bird you would normally see including the largest goose. I am extremely glad we didn't hit it. Drone flying is continuing to pose a threat to aviation. In this case; it was flying at night over a huge metropolitan area. If this aircraft; and drones are exactly that; would have hit us; the results could have been catastrophic. Regulations are going to have to be put into place and enforced. History has shown us that air to air collisions do not end well.",,"Flight crew climbing out of SJC suffered an NMAC with a large four rotor UAV drone.",
1240928,201502,0001-0600,SCT.TRACON,CA,,,,3500,,VMC,,,Night,,,TRACON SCT,Personal,Skyhawk 172/Cutlass 172,,2,Part 91,VFR,Training,,Cruise,Vectors,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV - Unpiloted Aerial Vehicle,,1,,,,,,,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,Facility SCT.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Radar 22,,,,,1240928,,,,,,,,,,,,Conflict Airborne Conflict; Inflight Event / Encounter Other / Unknown,,N,Person Flight Crew,In-flight,General None Reported / Taken,Airspace Structure,Airspace Structure,"I was providing VFR vectors to a Cessna for a practice instrument approach. The flight was on a south downwind to CRQ when the pilot reported that an Unmanned Aerial Vehicle with a red light came within 50 feet of his position. Regulate UAV usage and prosecute violators.",,,,"SCT Controller reported a conflict between a Cessna 172 pilot and an unmanned aerial vehicle within 50 feet of their aircraft while on a south downwind to CRQ.",
1246846,201503,1201-1800,SMO.Airport,CA,,2,500,,,VMC,10,,Daylight,,,Tower SMO,Other Banner Tow,Small Aircraft,,1,Part 91,None,Banner Tow,,Cruise,Direct,Class D SMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 120; Flight Crew Total 3800; Flight Crew Type 400,,Other / Unknown,,,1246846,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict,Horizontal 300; Vertical 100,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Airspace Structure,Airspace Structure,"I was towing a banner along the Santa Monica shoreline. While Southbound I noticed the parasail headed directly for me; from offshore towards the beach. To avoid the parasail I turned left and started to climb. I had nowhere to go except over Santa Monica Pier. The parasail boat driver appeared to be driving straight for me. In conclusion; Parasail operators need proper training regarding aircraft avoidance. Especially if the parasail is operating in controlled airspace; and interfering with aircraft. Please regulate Parasailing before they kill more people.",,,,"A small aircraft pilot towing a banner had a near miss with a parasail. His evasive actions prevented a collision. He suggests that parasail operators need more training and that parasail operations should be regulated.",
1246874,201503,0601-1200,JNX.Airport,NC,,15,,3500,,Mixed,10,,Daylight,6000,,TRACON RDU,FBO,DA40 Diamond Star,,1,Part 91,None,Training,,Cruise,,Class E RDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV - Unpiloted Aerial Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Not Flying; Instructor,Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 120; Flight Crew Total 350; Flight Crew Type 250,,,,,1246874,,,,,,,,,,,,Conflict Airborne Conflict; Inflight Event / Encounter Object,Horizontal 1000; Vertical 100,N,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Airspace Structure,Airspace Structure,"Around 1100 [feet] my student and I were flying south of Buckhorn Lake and west of JNX practicing maneuvers; when I noticed a moving object at my 1 o'clock. It was pretty close to me on my right at about the same altitude (3;500 ft). The drone was heading North bound towards BuckHorn Lake; at a fast speed. The color of the drone was red and it looked like it had 4 small rotors and that is all I could detect. I made a call on the Johnston County Unicom about the drone and planes in the area evacuated. As soon I landed I called Raleigh approach on the telephone and made the report.",,,,"A flight instructor and his student encountered a UAV/Drone while practicing training maneuvers. They announced its presence on a local CTAF and; along with other aircraft in the practice area; departed as a precaution.",
1248284,201503,1201-1800,SCT.TRACON,CA,,,,4000,,,,,Dusk,,,TRACON SCT,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,FMS Or FMC,Final Approach,Visual Approach,Class E SCT; Special Use PSP TRSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON SCT,,Small Aircraft,,1,,VFR,,,Cruise,None,Class E SCT; Special Use PSP TRSA,,,,,,,,,,,,,,,,,,,,,,,,Facility SCT.TRACON,,Government,Approach; Instructor,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1.5,,Situational Awareness,,,1248284,Facility SCT.TRACON,,Government,Approach; Trainee,Air Traffic Control Developmental,,,Training / Qualification,,,1248286,ATC Issue All Types; Conflict NMAC,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Flight Crew Took Evasive Action,Procedure; Human Factors; Airspace Structure,Airspace Structure,"I was working as an OJTI to my trainee on the Desert sector. Traffic had been busy all day and mostly complex; definitely a busy day. Runway 13 was in use at the airport and visual approaches were being utilized. Aircraft X was an IFR on a left downwind for PSP. My trainee cleared Aircraft X for a visual approach to runway 13R like normal. Aircraft X turned base approx. 8 miles NE of the airport and was descending. Multiple other things were going on around the airspace forcing both the trainee and I to keep our scans going all around the airspace. My trainee picked up a target exiting the Banning Pass (mountain pass approx. 15 miles west of PSP) low level (I believe at 4;000 feet in a slow descent) and issued traffic to Aircraft X.  Aircraft X acknowledged the traffic. Only a few seconds went by before I stepped in and issued a traffic alert to Aircraft X and told them to maintain 4;000 feet. At the time I issued the traffic alert; the radar showed Aircraft X at 4;100 feet and the unidentified target at 3;500 feet. Aircraft X responded 'We're already through 4;000 feet '. I don't remember the exact time that Aircraft Y called us for advisories; but he said where he was and his altitude; and I immediately knew that the target was him. Aircraft X said 'We're descending'. I believe I said 'Aircraft Y on frequency descend to 2;500 feet immediately; do you have the aircraft at 11 o'clock and a half mile in sight?' I received no response; but I observed the target descending rapidly. I received no word from Aircraft X on if they were responding to an RA; which is why I continued to try and resolve the situation. At this time; both aircraft were in rapid descents to try and avoid each other; one listening to my recommendation; and the other not. I found out later that Aircraft X had responded to three RAs; but did not advise me; which to me is understandable given the altitude and the proximity. I observed both targets merge; one showed 2;200 and one showed 2;300.Aircraft X finally came back and said 'OK; we got him now; he's right over the top of us'. The pilot for Aircraft X said they would like to be re-sequenced for an approach in which I complied. I took over for the trainee until Aircraft X was switched to the tower. Radar coverage in the Banning Pass is non-existent below 6;000 feet. We can pick up aircraft around the pass if they are at 5;500 to 5;000 feet; but they usually are intermittent hits. At 4;500 feet and below; our radar will only pick them up once they are at the intersection of Interstate 10 and Highway 111. This intersection is absolutely in the arrival corridor for PSP when they are landing 13R. It's also right in the departure corridor for 31L. This is about here we picked up Aircraft Y on radar. However; when we are working other aircraft; our scan cannot be on one spot 100% of the time.  The trainee picked up the target in time to issue traffic; but his lack of experience led to him not giving a traffic alert right away; which is why I stepped in. Aircraft Y did not call us for advisories when in the pass; where we could have given him instructions to remain clear of the arrival corridor; and by the time he called; the scenario was already happening.  There is no requirement for Aircraft Y to call. Aircraft Y was more than legal being where he was; even though he was in the TRSA; participation is entirely optional on the part of the pilot. PSP is a slow airport in the summer time; but a very busy airport; not just for IFR's; in the winter. My recommendation is to create a Class C airspace around the PSP airport that would protect these aircraft from VFR pilots transitioning through their area. Protect the arrival and departure corridors for these aircraft who do not have much room to maneuver due to terrain. The TRSA around the airport does absolutely nothing to promote safety and protect the aircraft trying to take off and land at PSP. This may be my first report on the issue; butit is definitely not the first time a target has appeared from Banning and converged with an aircraft attempting to land at PSP. I'm not sure how many other reports have been filed for this problem; but it is absolutely a dangerous situation.",,"I was training on Desert Radar when I cleared Aircraft X for a visual approach to runway 13R at PSP. There was an unidentified VFR aircraft that popped up at 3;500 feet coming out of the Banning pass northwest of PSP. There is no radar coverage for aircraft in the Banning pass below about 5;000 feet. I issued traffic to Aircraft X. When Aircraft X was about 2 miles from the traffic my instructor keyed up and told Aircraft X to maintain 4;000. Aircraft X advised that they were currently descending through 4;000. That is when Aircraft Y called up for flight following. My instructor told Aircraft Y to descend immediately. Aircraft X kept descending responding to an RA. Both targets were indicating about 2;500 feet when the targets merged. Aircraft X reported seeing Aircraft Y in a steep climb to just make it over their aircraft. Aircraft X then said they would need to abandon the approach and was vectored back around for another approach.There is currently a TRSA over PSP. Aircraft Y was skirting around the 4 mile Class D that surrounds PSP before eventually calling ATC because they saw Aircraft X heading right at them. There needs to be a Class C at PSP. The TRSA is useless for protecting aircraft departing and arriving to PSP. Aircraft are not currently required to call ATC for transition through the TRSA. It is only a matter of time before one of these VFR aircraft hit an airliner arriving or departing PSP. The area surrounding PSP during the winter months has a very heavy volume of VFR aircraft. Most of the VFR aircraft do not call for flight following leading to dangerous situations regularly for the IFR aircraft in the vicinity of PSP airport. There are only a few TRSA's left in the country; I feel that is because everyone has realized how useless they are at keeping departing and arriving airliners safe from VFR aircraft not talking to ATC.",,"Four reports from an SCT Controller providing training; his trainee Controller and the crew of an airline aircraft documenting a near mid-air caused by an aircraft coming out of the Banning Pass and conflicting with the airliner turning final for PSP.",
1253518,201504,1201-1800,LEE.Airport,FL,239,10,,4000,,VMC,20,,Daylight,,,Center ZJX; TRACON JAX,Air Carrier,Light Transport,,2,Part 121,IFR,Passenger,,Cruise,Vectors,Class E ZJX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Workload; Situational Awareness; Distraction; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,,1253518,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict,,,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification,Airspace Structure; Procedure; Aircraft,Airspace Structure,"The short duration of the flight and an icing MEL; factors combined to cause 4000 MSL to be the practical and prudent altitude for this flight. While still on radar vectors; our aircraft was approximately 10 NM SW of LEE on an approximate bearing of 239 from the facility. We observed three hang glider craft very close aboard (approximately 200 meters) to our starboard side at or very near our altitude. Comment was made to JAX approach which stated they observed no traffic in our area. Of course; being a personal flight craft it would not be equipped with anything that could provide a radar contact. Over the course of approximately the next four miles my first officer and I observed at least a total twelve hang gliders with no others being as high as the initial 3 that were visually contacted. Geographically they were approximately immediately above the Palatlakaha Environmental and Agricultural Reserve. We adopted a high alert and scan of the environment in or about our direct flight path in attempt to be ready [to] avert any collision that may have been imminent however there was no other incident as narrowly missed as the initial observation. The gravity of the situation; for the purpose of a pilot safety report; was emphasized to JAX approach and they indicated relaying the information to Orlando ATC for dissemination. Initial proximity to the flight craft notwithstanding; (the initial contact would have provoked deliberate avoidance maneuvering had it been observed with any amount of lead time); no flight deviation was needed for the remainder of the encounter.Perhaps in conjunction with hang glider manufacturers; some manner of; at least; 'self-reporting' intended flights by these sport aviators should be developed. Something approximating a warning area that can be included in regular NOTAMs. The density of hang gliders in this event represented a clear and present danger to the safety of all involved. It seems an awareness program could be developed for the hang gliding community to improve safety margins. My aviation career experience demonstrates this to be an exceedingly rare event and thus does not necessarily dictate a mandatory program; however as a safety improvement factor in geographic areas that may be popular for these activities it may be a warranted and prudent effort.",,,,"An air carrier Captain at 4;000 feet near LEE reported numerous hang gliders at or near his altitude which posed a collision hazard. ATC had no information about the glider activity.",
1255034,201504,1201-1800,OSU.Airport,OH,,,,3400,,VMC,15,,Daylight,8500,,TRACON CMH; Tower OSU,Government,Small Aircraft,,2,Part 91,None,Tactical,,Climb,Other VFR assigned heading,Class C CMH; Class D OSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Government,Pilot Flying,Flight Crew Multiengine; Flight Crew Rotorcraft; Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 200; Flight Crew Total 2900; Flight Crew Type 2000,,Confusion; Situational Awareness; Communication Breakdown,Party1 ATC; Party2 Flight Crew,,1255034,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance,Airspace Structure; Human Factors; Procedure,Airspace Structure,"On [date removed] myself and another pilot departed OSU.  I was the PIC and we had coordinated with Columbus approach via telephone prior to our departure as we had done for the past several days.  Previously we had been departing on runway 27 to the west but the winds favored runway 9 that day. Squawking 1200 and using our tail number we were cleared to take off and turn to a heading of 240.  As we climbed out we maintained contact with the tower and never received a hand off to approach.  The vertical limit of the Class D is depicted as 34 in brackets; meaning up to and including 3;400 feet.  The airport is bisected by the outer ring of Class C airspace starting at 2;500 feet up to 4;800.  While still in contact with the tower and within the confines of the Class D we leveled off at 3;400 and proceeded on a 240 heading.  We very quickly exited the Class C ring to the west and continued to maintain 3;400 feet till clear of the Class D.  Upon exiting Class D we made two attempts to advise tower of a frequency change with no response.  We immediately changed over to approach; squawked our pre assigned code; and established contact.  We were turned on course and cleared up to our requested altitude of 5;500.  At no time did we get a traffic alert or experience any aircraft at close proximity.  Shortly after arriving on station we were asked to make a phone call either that night or in the morning regarding a possible pilot deviation.  Upon landing I called approach and was told to call back in the morning to speak the shift supervisor.  Both myself and the other pilot believed that as long as we were in contact with the tower; within the limits of the Class D ring; and had not received a handoff to approach that we were outside of the Class C airspace.  As you might have guessed [name removed] disagreed and stated that we entered the Class C at 2;500 even if only for a short time.  He stated that his controller held an air carrier at 4;000 to maintain separation so there was no Resolution Advisory (RA) or near miss with 600 feet of vertical clearance. [Name removed] continued to say that this really only becomes a problem when OSU uses runway 27 and Port Columbus (CMH); uses runway 10.  He was very nice and was more concerned about this being a learning experience but was required to file a report.  Although at the time he could not remember the exact details he had previously filed report for a similar occurrence on another company aircraft that caused an RA with an air carrier.  Shortly after speaking to [name removed] I spoke to [name removed] [at the] FSDO.  He was very appreciative of the call and stated that he had not received our report but had received the previous one and was in the early stages of determining who it was using that call sign. [Name removed] was also very cordial and stated that he would pull the other folder and contact me if he had any questions.  I told both [names removed] that I would be filing a [safety] form; and an internal company form to advise my superiors of the situation.     I believe that the documentation in the FAR and AIM is confusing as well as on the sectional chart regarding overlapping airspace.  The class D ring is unbroken and clearly labeled as 34 within brackets.  The AIM addresses departing satellite airports of Class C airspace.  It is commonly understood that while in contact with the tower you remain under the control and limits of the Class D.  Other types of overlapping airspace is clearly marked.  We were able to quickly find several instances where this confusion is depicted on a sectional chart.  This may be a larger understanding by pilots as a whole and has and will continue to create this same occurrence; hopefully not to the point of a midair collision.",,,,"A Pilot reports of an airspace issue relayed to him by approach control. The aircraft departed OSU airport and climbed to 3;400 feet; made a right turn to a 240 degree heading. Approach stated that the aircraft entered into the Class C airspace of CMH and they had to restrict a carrier above this aircraft.",
