 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1229468,201501,,,,,,,,,,,,,,,,Air Carrier,No Aircraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,,,,,,,,1229468,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,General Work Refused,Company Policy; Human Factors,Company Policy,"After a 15-hour day; Crew Scheduling changed our report time to a later time; and gives us our legalities based off of the incorrect time.   The time that Crew Scheduling gave us did not make sense; and due to delays with aircraft boarding we were not even going to make the later incorrect time.  I told the Schedulers that my calculations had us past our contractual time and that I would not be flying the last leg.  After deadheading on the last leg and finally gaining access to a computer; I looked at the trip in Company Scheduling system; and noticed that they had changed the report time.  I notified Crew Scheduling and they put in a limo time to change the report time back to the actual report time.  After a very long day; it is challenging enough to figure out the legalities with the new FAR 117 rules;  and then to have the Schedulers illegally change the report time and base your legalities off of the changed time makes it that much more difficult.  In talking to other Pilots in the lounge; they said that similar events had happened to them.   I am concerned that this is an ongoing problem with Scheduling.  I believe if this type of behavior is not corrected then it will end up catastrophically. Crews need to be very cognizant of their legalities and realize that even though Scheduling is supposed to back them up on their legalities; sometimes; when they need it the most; Scheduling can be their worst enemies and put them into an illegal situation.",,,,"Air Carrier pilot reports scheduling changing the crews' report time in the computer to not reflect a limo into the first flight; in order to allow the crew to fly the last flight of the day within duty limits. The crew detects the 'error' and the last flight is refused.",
1230086,201501,0601-1200,ZZZZ.ARTCC,FO,,,,35000,,VMC,,,Daylight,,,Center ZZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZZ,,,,,,,,,,,,,,,,,,,,,,,,Communication Systems,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 240; Flight Crew Total 18000; Flight Crew Type 1000,,Time Pressure; Workload; Communication Breakdown; Distraction,Party1 Flight Crew; Party2 Dispatch,,1230086,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Company Policy; Procedure,Company Policy,"I was flying to PVR and for the third of four legs. I was unable to uplink winds either on the ground or in flight. I was trying to contact Dispatch to find a resolution to this problem and I requested a CALL ME on ACARS. I made three requests within 50 minutes and got no reply. I tried to AIRINC Dispatch using the foreign frequency and could not make contact with an operator. My concern is with our ability to communicate with Dispatch while flying in North America. On descent; I received a message from a new Dispatcher that the dispatchers are overwhelmed and understaffed and that they cannot respond to CALL ME messages. I find that entirely unacceptable for a large airline to not be able to communicate to all its aircraft in flight.",,,,"A B737 Captain reported his Dispatcher would not return a requested call about winds inflight because their carrier's dispatchers are overwhelmed and understaffed.",
1230221,201501,,,,,,,,,,,,,,,,Air Carrier,Airbus Industrie Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Other / Unknown; Physiological - Other,,,1230221,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury; Inflight Event / Encounter Other / Unknown,,,Person Flight Attendant,In-flight,General None Reported / Taken,Aircraft; Company Policy,Company Policy,"Please note that I could only select one flight but this applies to all my flights on an Airbus. I was feeling fatigued; had a major headache and felt very nauseous. I discovered that my flying partners also had headaches and one of them explained to me that the pilots had been instructed by the company to provide less oxygen to the cabin. I was in disbelief but upon asking the flight deck it was indeed confirmed. I cannot imagine who would think that this was acceptable. We are on our feet all day and at the very least we deserve oxygen! This trip had very little rest after the first night and it also brings up the subject of duty days. I believe that we deserve no less than 15 hours for a layover. The time it takes to get to the hotel and actually in your room and then the time it takes to report for duty the following day is not even considered. We are not machines and all the studies state that the required minimum amount of sleep is 8 hours. We deserve to have adequate rest and there is no question that we deserve to have adequate oxygen in order to perform better and feel better.",,,,"Flight Attendant complains of a headache and is informed by another Flight Attendant that the pilots had been instructed by the company to provide less oxygen to the cabin.",
1231845,201501,,,,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Fatigue,,,1231845,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,N,Person Flight Crew,Other Over an extended period of time,General None Reported / Taken,Company Policy; Human Factors,Company Policy,"I was on a six-day PM Reserve block (December XX through January XX). My normal body clock is on PST and I fly PMs exclusively. The trip switched from a PM to an East Coast AM and then back to an early PM trip. Day one was a PM report of XXXX CST/XXXX PST; day two was an early PM report of XXXX CST/XXXX PST; day three was an AM report of XXXX CST/XXXX PST; day four was an AM report of XXXX EST/XXXX PST; day five was an early PM report of XXXX CST/XXXX PST; and day six was an early PM report of XXXX CST/XXX PST. The first two days were not fatiguing. During the trip; the fatigue progressively got worse from days three to six. I started my trip well rested on December XX (day 1). I slept approximately eight to nine hours on the night of December XX (day one) in XXX and had a great day of flying on Jan X (day two). On January X (the night of day two/day three); I fell asleep at approximately XXXX CST/XXXX PST(body clock); woke up at XXXX CST/XXXX PST(Body Clock); lobbied at XXXX CST/XXXX PST (body clock). That was three hours of sleep. I don't normally wake up that early ever. I ate out of my Crew bag for breakfast. I felt good. We had four legs that day with a deadhead on the second leg. We landed in XXX uneventfully. On January X (day four); I fell asleep approximately at XXXX EST/XXXX PST (body clock). I woke up at XXXX EST/XXXX PST (body clock); lobbied at XXXX EST/XXXX PST (body clock). That was three and a half hours of sleep. Again; I ate out of my food bag for breakfast. I felt good. We flew one leg from XXX to XXX and landed uneventfully. I then deadheaded to SLC. Unfortunately; I was overtired and could not sleep on the way to SLC. When we landed in SLC on the early evening of January X; I could tell I was tired and hungry. I was not myself. I felt very irritable and I am sure I looked tired as well. I got a great meal for dinner; but was still overtired. I went to bed at approximately XXXX MST/XXXX PST (body clock). I woke up at XXXX MST/XXXX PST (body clock). That was seven and a half hours of sleep. When I woke up on January X (day five); I felt great. As the day progressed; I started to feel the effects of the AM report times from the previous days. From what I remember; the last two legs were challenging. It was difficult to stay focused. I had a really great First Officer and I communicated that I was starting to feel the effects of the AM report times. I deadheaded on the first leg and flew three more legs. Each leg my focus progressively deteriorated. We landed in XXX uneventfully. When I woke up on January X (day six); I was very exhausted. I was happy to be deadheading home. I am glad that I had really great First Officers. Looking back after being home for three days; the first two days at home I was still recovering. I was more exhausted than I thought. I could not do anything different; if my body does not want to sleep; there is nothing I can do about it. I wish we were not switched from PMs to AMs.",,,,"The Captain for a commercial air carrier described in detail the deleterious effects of extended reserve pilots' assignments to mixed AM and PM flights.",
1231914,201501,1801-2400,ZZZ.Airport,US,,,0,,,VMC,Icing,,Night,,,Ramp ZZZ,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1231914,,,,,,,,,,,,Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight; Pre-flight,Flight Crew Took Evasive Action,Weather; Company Policy,Company Policy,"Upon driving to the airport; I noticed that it was starting to lightly snow. I looked my release on my phone and noticed that the dispatcher planned us to operate the flight with enough fuel to land with approximately 2500-2600 pounds. I also noted that there was only 76 pounds of fuel in EXTRA. I called the dispatcher and said we were going to have to raise the fuel so we would have enough to deice. After some discussion; he raised my TAXI fuel to 500 pounds and EXTRA to 100 pounds. That was sufficient since it was a slow period for ramp operations at that time. We also had a discussion about a new policy where dispatch is to not put fuel in the EXTRA column. I explained to him that without fuel in the EXTRA column of the release; it is impossible to leave the gate legally unless you are over-fueled. We need that gas to start engines as well as run the APU during boarding at the many stations that don't hook up ground power. He just said that is changing and to deal with it and to email my chief pilot. After arriving at the airport and looking at the release a little closer; I noticed that at our arrival time at destination the TAF at that time showed 008OVC up until XA00Z and then improving to 020OVC. It was currently 006OVC; lower than the TAF indicated. I called the dispatcher back and requested an alternate. He then proceeded to argue with me that I didn't need it. I explained that; while 020OVC technically didn't require an alternate; I thought it a prudent idea. The weather in the mountains is fairly unpredictable; especially in the winter and at night; the TAF's change often. If the TAF didn't hold up; I would have ZERO options. In hindsight; the TAF required an alternate since we were within the '+/- 2 hours' part of the regulation requiring one. An hour prior showed 008OVC. The dispatcher continued to argue with me. I inquired about GJT or DRO. He told me he couldn't because their weather was too low. I told him that he was making my point for me. After several minutes of back and forth and arguing; he said something like 'Fine. I'll show Airport ZZZ but you are wasting a ton of fuel and you can explain to the two people you are going to have to kick off.' I thanked him and hung up. As we pushed back; we saw the TAF change to show 004 OVC. As we flew to Airport ZZZ1; we listened to the AWOS continuously. The weather continued to deteriorate. By the time we hit the FAF for the ILS 17; the AWOS called for 002OVC and 3/4sm. When we landed it was at 1/2sm. I just happened to see the runway a split second before the First Officer started to call the missed approach. The threats here as I see it; are the fuel policy and dispatch. When pilots call and request fuel for good reasons; we should not have to plead and argue with a dispatcher that wants to dictate the flight to the crew; as opposed to working with the crew to operate the flight safely and legally. I feel the only reason I got the fuel I got from the dispatcher was because I refused to hang up the phone until he did it. I should not be made to feel guilty and use passengers as leverage to not take fuel when necessary. I also should not have to argue if we are truly using the 'most conservative approach prevails' policy. I had valid reasons why the fuel was necessary; that should have been the end of the discussion. If I had let the dispatcher have his way; I would have arrived at ZZZ for an ILS with a decent chance at a missed approach and nowhere to go. I would have landed at our alternate with less than 100 pounds; I avoided an undesired aircraft state because I stood my ground. What would have happened if it were another captain that is more easily persuaded.The company needs to revise their policies on putting the absolute minimum gas on flights. Too often; dispatchers will want us to drop holding fuel before takeoff if taxiing gets too tight; or other measures to trim the gas. While I understand the intent of what they are trying to accomplish; why put the flight crew in a position of painting ourselves into a corner before we even leave the ground. While we have many fantastic dispatchers; we need to rid ourselves of the philosophy that some have where dispatch dictates terms on a release and we are to just be happy and fly it. When a PIC has a legitimate concern; the most conservative approach prevails.",,,,"EMB145 Captain reports having to cajole his Dispatcher into providing enough fuel to safely fly his flight to an IMC destination.",
1233199,201501,,,,,,,,,,,,,,,,Air Carrier,B777 Undifferentiated or Other Model,,,Part 121,IFR,Passenger,FMS Or FMC,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Total 18000,,,,,1233199,,,,,,,,,,,,No Specific Anomaly Occurred All Types,,,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Company Policy; Human Factors,Company Policy,"Enroute to VHHH potable water supply was exhausted 3 hours prior to destination. This was approximately 12 hours into the flight. Approximately 90 minutes from destination all remaining bottled water was also gone. Approximately 275 people on board this aircraft had NO water; after flying for 12 hours+ in the well-known extremely low humidity conditions of a non-humidified aircraft. Upon realization that the potable water was empty; the captain directed the crew to ensure they had enough bottled water to provide for our basic physiological needs. Communications were established long before; when it was apparent that once again this flight would be severely short on water. Discussions ensued regarding the safest and best course of action for the passengers and crewmembers; including our suggestion to divert to Beijing to replenish the water supply. We passed essentially directly over Beijing shortly after the water ran empty. We were told that a diversion to Seoul South Korea would be much better for passenger considerations; however the flight time to get there would have been approximately the same as going to VHHH and therefore offer no relief to the situation. One would be naive to think operations wasn't well aware of this and therefore I view it as merely a non-option; lip service to allow them to say they offered us an option. Upon discussions among us crewmembers; we agreed that while margins of safety were indeed compromised; and passenger physiological needs were severely compromised; under these circumstances it was not unsafe to continue to Hong Kong; and therefore did so. It is of significant importance to note that extreme pressure to continue was applied by the operations manager and Duty Manager; their only verbal consideration being duty time issues for the crew (and the inability to continue if we diverted) and passenger issues diverting into mainland China. According to the operations management team; water (for 275+ people; on a 15 hour flight in less than 10% humidity) is a 'passenger convenience!'  Their words; not mine. 'They definitely did not want us diverting for a passenger convenience item.' This is very disturbing. Our condition: No water for 275+ people for 3 hours for basic consumption and physiological needs; after 12 hours of flight. A compromised toilet system. No water to wash hands for basic sanitary needs. Discovery that; as a result of the company's severely flawed directive to eliminate any 'excess' weight from the aircraft; they have also removed bottled 'hand wash' as well; leaving nothing but a limited supply of towelettes for sanitary washing needs. No supplemental water to fight a potential cabin fire; or immerse a potential burning laptop; tablet; or cell phone battery per safety procedures. It is also important to note that procedures were previously in place to load an appropriate -reduced- quantity of potable water based on flight time and passenger load; as opposed to the ill-advised decision to cap off and disable one of three potable water tanks. This decision removed no weight from the aircraft but removed all discretionary ability to load an adequate amount of water when needed. Furthermore; in response to a previous report of the same nature; I was told that company engineers have determined that 218 gallons of water is sufficient vs the 327 originally designed for this aircraft. I would suggest that based on my encounters; and numerous verbal reports I have received from others flying the 777 and running out of water; that these 'engineers' are either using flawed calculations; or using flawed assumptions when performing these calculations; or both. Either way; it appears Boeing engineers might be a little more adept at their job; as we are regularly running out of water on our long flights. Most importantly; this company's decision to remove 1/3 of our potable water is compromising the safety and basic physiological needs of passengers and crew.",,,,"B777 First Officer; on a 15 hour flight to VHHH; reports running out of potable water again due to the company's policy of only filling two of the potable water tanks to save weight.",
1235309,201501,,ZZZZ.Airport,FO,,,0,,,,,,,,,,Fractional,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,,Ferry / Re-Positioning,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1235309,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,Y,Person Flight Crew,Aircraft In Service At Gate,General Release Refused / Aircraft Not Accepted,Procedure; Aircraft; Manuals; Company Policy; MEL,Company Policy,"The purpose of this report is to alert Company Pilots of the blatant disregard of [the manual] by our fractional Managers. In addition; as a crew; we were asked continually to move the plane illegally as were about 6-10 other crew members.On the day in question myself and another pilot were airlined downed to [the airport] to bring an aircraft back [to the U.S. mainland] with the gear down. The airplane had been written up by another crew for failure of the gear to retract during takeoff. Mechanics were sent down there to do ONLY a pre-ferry inspection. No repairs for the problem. They attempted to get Management to send jacks down or acquire jacks on location; but they were told to just do the basic inspection and not to swing the gear or other normal inspections for this anomaly.[The manual] from the beginning of the maintenance issue on this plane was violated and disregarded. [The manual] is only in effect when the airplane must be moved with the gear down for maintenance purposes only. In addition; our Company does include a self issued ferry permit. Unlike a situation where an MEL has expired and the Ferry Permit can override some things and allow you to fly it to a maintenance base; [the manual] is not the same. It has very specific guidelines that are not waiveable and must be followed. The Following items were violated in [the manual]:1. At company direction; the 2 mechanics that were sent down there; were added to the Ferry permit. Ferry Permits and [the manual] BOTH clearly state that NO passengers are allowed. Only Essential Crew are allowed on board. 2. A wet footprint was on this flight although our company never operates a flight where a wet footprint occurs. In [the manual]; it clearly states that glide distance with gear down is 15nm/10000ft of altitude. Due to freezing levels forecasted to be at and above 16k; the best glide distance we could have had was 20nm. There were multiple areas on that flight where we were beyond 20nm from land. 3. [The manual] states that a takeoff from an aerodrome where the likelihood of ditching may occur; takeoff is prohibited. Obviously; [this airport] is an island in the middle of the ocean. The initial conversation on the phone with our Chief Pilot that I had was not good. When I questioned how we were supposed to comply with [the manual]; he said they had determined that if we had an issue; we could bring up the gear. I stated that that would be impossible because there was not any maintenance done on the plane and the original write-up was that the gear would not retract. He stated he would have to get back to me. He then called me back about 30 minutes later stating [he had been advised] that we could takeoff because we were on a Special Ferry Permit. I asked to speak to the Duty Officer directly. He said he would have him call. About another 30 minutes went by and instead of a phone call I received an email from the Duty Officer. The email basically said that this email was my express approval to operate under Special Ferry Permit overwater with the gear down. I emailed him back and said that I would like to talk to him. I called him when he sent me his number. I tried explaining why this flight could not and should not happen. I was told that I should get in the plane and do the job I was being paid to do. I then respectfully declined to do the trip. At that point after my conversation was done; my copilot was called to see if they made him the PIC would he fly the plane back He respectfully declined. In addition; another crew was asked to fly the aircraft as well. They declined also. All told; there were about 6-10 pilots/crews called to take the trip. One crew finally accepted and flew it back to [the mainland] a few days later. In conclusion; these extended over water operations need to cease unless [the manual] in its entirety can be complied with. These long over water flights are dangerous and more complex than what they appear. Ourdispatch can't even plan a trip with any certainty of fuel burn etc. [the manual] states at best; fuel burn will be 75% more burn beyond what a flight would burn at .75 mach. Should a crew be assigned this type of flight and not fully realize what they are getting into it could be disastrous for the Company and that crew. As stated in the report; [the manual] must be complied with for future Gear down ferries where flying over water is concerned. Putting an aircraft on a Ferry Permit and or Special Ferry Permit does not override this section.",,,,"Several flight crews refused to conduct a gear down; overwater ferry as doing so would violate provisions for conduct of such flight. The operation was ultimately shopped to a crew who agreed to do so despite the refusal of others.",
1235511,201501,0601-1200,ZZZ.ARTCC,US,,,,,,VMC,,Temperature - Extreme,Daylight,,,Center ZZZ,Air Carrier,EMB ERJ 140 ER/LR,,2,Part 91,IFR,Ferry / Re-Positioning,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness; Workload,Party1 Flight Crew; Party2 Dispatch,,1235511,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Fuel Issue,,,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification,Company Policy; Procedure; Weather,Company Policy,"We were asked to reposition an aircraft. There were many events leading up to a Minimum Fuel Emergency. My original First Officer (FO) called off sick. After a second FO was assigned to the trip we needed to make our way from the terminal to the maintenance hangar. When we arrived at the hangar the aircraft was not ready to fly. During the preflight we found multiple discrepancies. Cracked taxi lights; zero fuel in the left tank; 500 LBS fuel in the right tank. Our oxygen bottle had 130 PSI. The plane was covered with snow and ice. Our original flight plan called for release fuel 7200 with min takeoff fuel 6700. That would allow us 2100 planned arrival fuel. The above discrepancies and the late arrival of fuel put us three hours behind schedule. During this period of time dispatch did an amendment to the release; but failed to inform us of the change. We deiced the plane and departed with 6800 LBS fuel on board. We were calculating fuel throughout the flight. Over our midpoint we calculated we would have enough fuel to land in our destination. To ensure we did not encounter any delays to the airport we [advised low fuel] with Center. However; Center did not pass on to Approach our [situation]. They only informed Approach control we were minimum fuel. There was a military C130 in the pattern. We were given a vector for traffic which we denied and again informed Approach control of [our fuel situation]. At that time the aircraft was vectored away from the runway. We landed with approximately 650 LBS per side. The aircraft was undamaged and no crew members were hurt.Amended release with an increased fuel load was not communicated to the crew. We need better communication between dispatch and aircrew.",,,,"Dispatch did not inform an EMB-145 crew about decreased fuel requirement during an extended preflight and the crew had to advise low fuel with ATC because total landing fuel was about 1;300 LBS.",
