 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1229552,201501,0601-1200,FLL.Airport,FL,,,0,,,,,,Daylight,,,Ground FLL,Air Carrier,Commercial Fixed Wing,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Confusion,,,1229552,,,,,,,,,,,,No Specific Anomaly Occurred All Types,,N,Person Flight Crew,,,Environment - Non Weather Related; Airport,Environment - Non Weather Related,"Runway 10R at FLL has unsafe airport lighting. The runway is a bridge.  This bridge has no red hazard lighting on the elevated edges of the bridge. There is nothing to warn you that you are on the edge.  The runway has a hole between the runway and taxiway; and there are no red hazard lights around this hole. Taxiway J9 has a sign that is too far away from the turn off from the runway. The sign is about 500 feet west of the turnoff. This sign leads you to believe that the turnoff is after the sign but this is not true.  The runway wall south of the H concourse is lit with blue taxiway lights. These light should be red to tell you that a hazard exists. The wall's red reflectors are not lights.  By the time your landing lights illuminate the reflectors it is too late.Please have the airport light the hazards on 10R with red lights; move the J9 sign and put red lights on the wall before someone gets hurt on this runway.",,,,"An Air Carrier Captain expressed specific concerns about the environment surrounding the new Runway 10R/28L at FLL which is significantly elevated in order to allow it to run over a freeway system at the east end. Of concern were insufficient lighting designating steep drop offs; mis-located turnoff signs; the failure to use red lighting to highlight threat areas; and the use of reflectors rather than red lighting as the reflectors are not illuminated by landing lights in a timely manner.",
1229929,201501,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,Dusk,25000,,CTAF ZZZ,Personal,Skyhawk 172/Cutlass 172,,1,Part 91,None,Personal,,Takeoff / Launch,VFR Route,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTAF ZZZ,FBO,Small Aircraft,,2,Part 91,,Training,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 30; Flight Crew Total 250; Flight Crew Type 200,,Distraction; Confusion; Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Flight Crew,,1229929,,,,,,,,,,,,Conflict Ground Conflict; Critical,Horizontal 200; Vertical 20,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Environment - Non Weather Related; Airport; Human Factors; Weather,Environment - Non Weather Related,"I was sitting at the departure end of Runway 26 at ZZZ; with several aircraft in the pattern landing and doing taxi-backs as appropriate to return to the main ramp. I announced my position holding short of runway 26 for takeoff and allowed an aircraft on final to land. I expected him to taxi back and listened for/received his taxi-back call out. Although I understood the call out I could tell that English was not the pilot's first language. I did not pay particular attention to the tail number said during that call out; as I could visually confirm his location. Immediately after; a second pilot gave the same call out; but instead saying 'back-taxiing runway 8'. The environment at the airport consisted of many foreign students in training; many of whom did not have English as their first language. Keeping this in mind I assumed that the second voice that called out a taxi-back was the instructor of the first aircraft clarifying their position; as I was ready to take off once they were clear.After hearing their clear call out and visually confirming they were off the runway; I called out 'ZZZ Traffic; [Cessna 172] departing runway 26 to the east; ZZZ Traffic'. I did not hear a response from any other aircraft in the pattern. I checked that the final approach end was clear and taxied onto the runway for takeoff. I took a quick glance down the runway; not expecting to see any traffic; and called runway clear. Looking down runway 26 at that time of the day included seeing a mix of the sunset and runway lights. Although these factors might have affected my ability to distinguish aircraft lights from runway lights; I believe I am at fault for not acknowledging this and giving the visual scan of the runway more attention.I began my takeoff roll and spotted the aircraft about 500 feet in front of me; his location was about 75 feet from the taxiway exit to the main ramp. I am unsure if that pilot did not hear my takeoff callout or if he assumed that he could clear before I started my roll but I did not hear from him after his initial taxi-back callout.By the time I spotted the aircraft on the runway I was only 4 knots below my usual rotation speed of 55 knots; so I elected to climb to avoid a collision instead of applying brakes and veering left on the runway at that high speed. I pulled back and banked slight left; getting airborne about 100-200 feet laterally from his position. The rest of the flight continued without incident; and after reviewing the airport layout I realized that a second aircraft could have entered the runway behind the first one I was waiting on from a taxiway at the opposite end of the runway. I believe this is indeed what happened.",,,,"A single piloted aircraft on takeoff saw another aircraft further down the runway. The pilot rotated early; nearly missing the other aircraft. The reporter mentioned that there were 'many foreign students in training...' and that that fact contributed to his not detecting the traffic conflict before takeoff roll because the other aircraft did not respond to his departure announcement.",
1230335,201501,1801-2400,SCEL.Airport,FO,,5.5,,5000,,VMC,,,Night,,,Tower SCEL,Air Carrier,Large Transport,,3,Part 121,IFR,Passenger,FMS Or FMC,Climb,SID DONTI 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,,Flight Crew Last 90 Days 100; Flight Crew Total 904; Flight Crew Type 500,,Other / Unknown,,,1230335,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,,Flight Crew Last 90 Days 200; Flight Crew Total 13500; Flight Crew Type 2200,,Other / Unknown,,,1230347,Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related,Environment - Non Weather Related,"On departure; the flying crew noted direct illumination from two locations. First was in front; I do not know how far away. I personally saw the second which was off our left approximately 3 miles away. We were climbing through 5;000 feet approximately 5.5 mile off departure end. I estimate the location at PDH/160/6. The flying crew also mentioned three or four other sources; including NW of us once we got turned north. We were flying the DONTI 1C SID.",,"While departing from SCEL on the DONTI 1C RNAV departure; we experienced 15 or more laser illumination events. This departure departs to the south and makes a big left turn over the city to the north. We were illuminated almost immediately after takeoff (1;000 feet) from a sparsely populated area just south of the airport; which we reported to the tower. Tower acknowledged our report; but didn't ask any questions. The lasers continued as we flew over the city; coming from all directions. Some hit the aircraft and some didn't. I counted up to 5 lasers at the same time coming from different parts of the city. This problem is epidemic and is nearly a national sport!",,"An aircrew observed 15 or more laser illumination events immediately after takeoff from SCEL (Santiago; Chile).  They reported their observations to the Tower who responded 'Roger'.",
1230694,201501,1201-1800,ZZZ.Airport,US,,,,,,VMC,,,,,,Tower ZZZ,,BAe 125 Series 800,,2,,IFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gear Extend/Retract Mechanism,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface,,,1230694,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Inflight Event / Encounter Bird / Animal,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; General Declared Emergency,Aircraft; Environment - Non Weather Related,Environment - Non Weather Related,"After takeoff with positive rate of climb; the gear was selected up. The gear handle stopped only halfway. I left the gear selected in the down position and figured that we would gain altitude and check it out. I looked out the front and saw a flock of geese. I said it out loud to make sure the pilot flying had seen them; however there was nowhere to go. We then heard and felt geese hit the plane. The left engine indications became erratic and we decided to return for landing. I informed the tower of what had happened and our intentions. We were cleared to enter downwind and land. I then heard someone say that our left engine was smoking. We had gained enough altitude to make the decision to shut the left engine off; especially with the indications we were getting and the fact that it was reported smoking. We landed cautiously with the knowledge that the gear was down during the bird strike and could potentially be damaged. The landing was normal and we taxied to parking.",,,,"Distracted by a landing gear that failed to retract; the flight crew of a BAE-125-850XP noted a gaggle of geese too close ahead to avoid; and felt one or more strike the aircraft. The impact was followed by erratic indications and a report of smoke from the left engine heard over the radio. They performed an inflight shut down; and returned to their departure airport for an uneventful landing.",
1231399,201501,1201-1800,RJAA.Airport,FO,,,,7000,,VMC,,,,,,TRACON RJAA,Air Carrier,B747 Undifferentiated or Other Model,,2,Part 121,IFR,,,Climb,SID CUPID 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Last 90 Days 100; Flight Crew Total 20000,,,,,1231399,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,1231368,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Wake Vortex Encounter,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert,Environment - Non Weather Related,Environment - Non Weather Related,"ATC asked us why we were left of course in the initial climbing turn after departing on 34L. The pilot flying flew the departure as published; however I did notice he was slightly left of course. It did not seem significant and we were in continuous wake turbulence from the preceding aircraft. Also; we were heavy and I believe he was limiting the bank angle somewhat due to weight and turbulence. I saw nothing alarming or concerning. I have been flying in and out of RJAA for 23 years and contribute this to an over zealous controller!",,"Departed RJAA following the CUPID ONE Departure procedure. Climbed direct to ARIES; accelerated and retracted the flaps. Approaching AD4L1; initiated a turn utilizing the flight director. Following the flight director bank bar; we continued the turn to AD4L2 and AD4L3 and leveled off at 7000 feet. About halfway through the turn the Air Traffic Controller said that we were left of course and directed us to turn to a heading of about 170. He then asked why we were left of course. Our reply was that we were turning using a standard rate and our high gross weight and airspeed caused a wide turn.",,"B747 flight crew reported ATC questioned their track departing RJAA when they deviated slightly while in continuous wake turbulence.",
1235382,201501,,,,,,0,,,,,,,,,,Air Carrier,Any Unknown or Unlisted Aircraft Manufacturer,,,,,Cargo / Freight / Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxygen System/General,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Technician,,,,Training / Qualification; Troubleshooting; Communication Breakdown; Physiological - Other; Situational Awareness,Party1 Ground Personnel; Party2 Other,,1235382,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Maintenance,Routine Inspection,General Maintenance Action,Company Policy; Environment - Non Weather Related; Equipment / Tooling; Human Factors,Environment - Non Weather Related,"[Our] Flight Training Center utilizes three DEL-MONOX compressed air purification systems to supply breathable air to the oxygen masks in six flight simulators. Pilots breathe this air during flight training events. During routine inspection a technician noticed bright yellow coloring of the media inside the towers of the air purifiers. On each of the three air purifiers there is a placard that states; 'DANGER! Yellow color inside towers indicates unsafe breathing air. Do not use purifier if any yellow color is visible.'   Upon discovery of the significant yellow color in the towers and after reading the DANGER placard I shut down all three air supply systems; entered a discrepancy report for each affected simulator; and notified all maintenance supervisors as well as the manager. On my next return to work day I was informed that a contractor had tested the air and that it was perfect and that some yellowing is fine. The air systems were placed back in service and the discrepancy reports were closed. The next day I was informed that the air contractor had returned and replaced the yellow media in one of the systems because of an alert in one of the quality safety-check systems. My supervisors stated that they knew of no plans to change the media in the other two supply systems. Of greatest concern is the fact that the manufacturer's DANGER placards have now been removed (peeled off) all three supply systems. My supervisors informed me that the contractor is the expert and therefore qualified to assess the air quality and remove the manufacturer's DANGER placards.",,,,"When the reporter; a simulator Maintenance Technician; noted the presence of yellow contamination in the media of the three compressed air purification systems distributing breathing air to the simulator oxygen masks he disabled them in compliance with an adjacent 'Danger' sticker advising such a yellow contamination indicates an unsafe condition. The next day he noted all three purifiers back in operation; the yellow contamination still present in two of them but the 'Danger' stickers removed. He was advised by his managers that the purification system contractor was the expert and deemed the status of all three systems acceptable and was qualified to remove the 'Danger' stickers.",
1235706,201501,0001-0600,ZDV.ARTCC,CO,,,,20000,,IMC,,,,,,Center ZDV,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,,FMS Or FMC; Localizer/Glideslope/ILS Runway 25; VOR / VORTAC RLG,Descent,,Class A ZDV,,,,,,,,,,,,,,,,,,,,,,,,TCAS Equipment,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Last 90 Days 70; Flight Crew Total 8000; Flight Crew Type 3500,,Confusion,,,1235706,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 166; Flight Crew Total 28900; Flight Crew Type 7412,,Confusion,,,1236004,Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude,,,Automation Aircraft RA; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Environment - Non Weather Related,Environment - Non Weather Related,"Approx. 20 east of RLG VOR cleared for the LOC FMS 25 into EGE. Cleared to cross RLG at 15000 and cleared for the approach. We were descending through about 20;500 when we got a Climb resolution advisory (RA) with no prior traffic advisory (TA) warning and no prior display of the traffic. Two targets appeared at 10 o'clock and less than 5 miles. They were initially red and indicating -800 and -500. We disconnected autoflight systems and followed the CLIMB RA guidance. We advised DEN center we were climbing in response to an RA and they said the only traffic in our area was a flight of TWO B-1's but that they were assigned 1000 above our altitude. At the closest point the red symbols showed the aircraft -100 and -200 [feet] and directly below us on the 5 mile scale. The symbols then disappeared and the climb RA went away. The traffic then reappeared in white approximately 800 [feet] ABOVE us. I have no idea what sort of ability the B-1's have to slew their position to other aircrafts TCAS systems but it sure seems like they were doing something screwy with electronics. The really scary part is that we had CLIMB guidance which has us headed right for them if they were indeed 1000 [feet] above us. We never saw the traffic due to the cloud layers. The Denver controller asked the B-1s to confirm their altitude but we did not hear the response. They were obviously on a different frequency. The controller told us they had confirmed they were above us and asked if we saw them. We said no.",,"While descending on the approach into EGE just over the front range we received an RA depicting 2 aircraft initially at 800 Ft below then 500 Ft then 100 Ft. At the initial warning the autopilot and auto throttles were disconnected and an immediate climb was initiated. During the avoidance maneuver the threats disappeared but we found ourselves encountering 2 advisories above us. Took correct action and re-entered our descent into the EGE airport. After advising DEN ARTCC we were told of a flight two B-1's above us that were supposed to be in block I believe FL 230-270. No further incidents ensued and we landed in EGE.",,"B737 flight crew experiences a false TCAS RA to climb apparently generated by two B-1's above the B737. After initially climbing the RA switches to a descent.",
1235858,201501,1201-1800,PMD.Airport,CA,,,,7500,,VMC,10,,Daylight,20000,,TRACON E10,Air Taxi,Helicopter,,1,Part 135,VFR,Passenger,GPS; VOR / VORTAC PMD,Cruise,Direct,Class E E10,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 45; Flight Crew Total 3900; Flight Crew Type 650,,,,,1235858,,,,,,,,,,,,Aircraft Equipment Problem Less Severe,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,General None Reported / Taken,Environment - Non Weather Related,Environment - Non Weather Related,"Loss of GPS reception to both receivers. Lost reception in 530 unit followed by 430 unit about 30 secs later with associated Dead Reckon advisory. Advised Joshua of loss and they gave me a position report. About 4 mins later the units received the satellites again and worked fine.",,,,"Helicopter pilot experiences loss of GPS reception on two seperate GPS units near PMD at 7500 feet. Both units return to normal operation after about four minutes.",
