 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1230093,201501,0001-0600,LAS.Airport,NV,,,,13000,,VMC,,,,,,TRACON L30,Air Carrier,B737-700,,2,Part 121,IFR,,,Climb,SID TRALR5,Class B LAS,,,,,,,,,,,,,,,,,,,,,,,,Tablet,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,,Flight Crew Last 90 Days 50; Flight Crew Total 10000; Flight Crew Type 5000,,Human-Machine Interface; Situational Awareness; Workload,,,1230093,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 188; Flight Crew Total 14580; Flight Crew Type 13827,,,,,1230327,Deviation - Altitude Undershoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Flight Crew FLC complied w / Automation / Advisory,Chart Or Publication; Human Factors; Equipment / Tooling,Equipment / Tooling,"ATC queried the crew and asked why we didn't continue climbing beyond 13;000 at RIOOS on the TRALR RNAV SID at LAS. We said we received a 'climb via' clearance but only saw 13;000 and we put it in the MCP. However; we were told we were supposed to continue to FL190. Due to the zoomed iPad and super small writing; we couldn't even find FL190 until we zoomed out scrolled all the way down to the bottom of the departure page and both finally found it. The font is tiny; it isn't in the narrative of the departure and the point you are supposed to attain FL 190 at doesn't say FL190 next to [way] point TRALR.",,"[Reaport narrative contained no additional information].",,"A B737 flight crew; departing LAS on the TRALR RNAV SID; was surprised when ATC asked why they had stopped their climb at 13;000 FT rather than continuing to FL190 as directed on their departure chart. Reporters cited the primary contributing factor as the inability to read the tiny print on the large and complex SID chart when viewed on their iPad EFB; necessitating zooming in to be able to read it. The chart directive to MAINTAIN FL190 being located at the very bottom right in the ROUTING box and therefore; due to the need to scroll to find it when zoomed in; in the most inconspicuous location on the page.",
1232137,201501,1201-1800,PHL.Airport,PA,,,,24000,,VMC,,,Daylight,,,Center ZNY,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 91,IFR,Ferry / Re-Positioning,,Cruise,,Class A ZNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,1232137,,,,,,,,,,,,No Specific Anomaly Occurred All Types,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Diverted,Equipment / Tooling,Equipment / Tooling,"Flight was planned to ORF with the gear pinned down. I believe there was 8;400 lbs. of fuel on board the aircraft on the ramp. This was 3;000 lbs. over our Takeoff Fuel. The flight was filed to fly at an altitude of FL320 and was restricted by MEL to 250 knots indicated. We received a reroute from ATC when calling for our clearance. I called the dispatcher to inform them of the reroute; and clarified that the fuel performance had been calculated for an aircraft with the gear down the whole flight. The dispatcher ran the new fuel burn for the re-route with me on the phone; gave us a new takeoff fuel load about 10 lbs. higher than our old one. We made Amend 1 for the reroute and new fuel burn. The First Officer (FO) and I felt comfortable with this fuel load; since we knew the dispatcher had planned it for the gear down and we had about 3;000 extra pounds of fuel. We then de-iced the aircraft and headed on our way. During our climb it became apparent that we would not have the performance to reach the planned altitude of FL320. At about FL200 and up; we were climbing at 500 feet a minute and slowly loosing airspeed. Our airspeed never went below 220KIAS. We elected to stop the climb at FL240 and requested that altitude with ATC. ATC assigned us FL240 and we continued to cruise at that altitude at approximately 240-250KIAS. Our thrust was close to max cruise thrust; as this is what was required to maintain our airspeed. We were burning approximately 1;650 LBS per hour on each engine. By the time we were abeam BOS it became apparent that we were burning more fuel than had been planned. We were burning about 3;400 lbs. an hour; had approximately 6200 lbs. of fuel left on board; and about 1 hour and 50 minutes time remaining in the flight. At this point we began messaging our dispatcher that we would most likely need to divert to another airport; as we were not going to have the fuel to make it to ORF and land there with any sort of reserve. The dispatcher was initially hesitant to comply with our request for an alternate airport. We were not in an emergency fuel situation; and had about two hours of fuel left; so we agreed with the dispatcher to check the fuel again in 100 NM and make a decision then. In the interim the crew began planning for a possible diversion. Our route of flight was taking us close to the normal northeast arrival path for PHL. We looked at possible routing and calculated potential fuel burn to PHL. At that point we were flying direct EMJAY or ZIZZI. Both fixes were very close to BRIGS and the JIIMS2 into PHL. We were also at FL240; the altitude at which aircraft begin that arrival. The crew was fairly confident that if we did go to PHL; we would be given this arrival. Approximately 75NM after our initial discussion with dispatch we were at approximately 5;000 lbs. of fuel and still burning 3;400 lbs. an hour. We still had over 1 hour and 30 minutes left to ORF. We made the determination we would not be able to get to ORF; and messaged dispatched telling them as such; and asking that they amend our destination to PHL. Dispatch sent us Amend 2 designating PHL as the destination and we informed ATC we were changing our destination to PHL. ATC asked us the reason for the change; and we told them it was due to unplanned fuel burn.  We were cleared to PHL via radar vectors to BRIGS and the JIIMS2 arrival. About 20NM from BRIGS we determined that upon landing at PHL we would be right at our required alternate burn; and that we had just over an hour of fuel on board; given our current burn of 3;400-3;600 lbs. an hour. We had about 4;000 LBS of fuel on board at that time. We informed ATC that we were 'minimum fuel' at that point. ATC asked how much fuel in minutes was on board; and we came up with a conservative estimate of 60 minutes.  We proceeded to fly the arrival and land on Runway 26 in PHL without incident. We landed with approximately 2;300 lbs. of fuel on board.  On the next segment of flight PHL to ORF I called the dispatcher to discuss the fuel load. The planned cruising altitude for that flight was an 16;000. The planned Ramp Fuel was around 5400 lbs. I felt that this fuel load was not sufficient for a 50 minute flight with the gear down; taking our recent experience into consideration. I requested 9;000 LBS of fuel and the dispatcher agreed and created a new dispatch release with the revised ramp fuel. During that flight we still burned more fuel than was planned on the dispatch release. The planned fuel burn was 1;560 lbs. and we burned approximately 2;600 lbs. during the flight. We landed in ORF without further incident with approximately 6;200 lbs. of fuel. Had the Dispatcher had better information we may never have been planned at FL320. I'm hesitant to believe this alone would have prevented the diversion. I think that the fuel planning software used by our dispatcher inadequately calculated the fuel burn penalty for flight with the gear down. We left the ground 3;000 lbs. of above our Take Off fuel; this should have been enough to get us to our destination and then some. It was frustrating to the crew that the dispatcher needed so much convincing that we were not going to be able to make it to ORF. We tried to communicate our fuel on board; current burn; and time remaining; to show that it was becoming mathematically impossible to get to ORF. Our dispatcher did not seem to believe us at first.",,,,"Flight crew of a CRJ-200 repositioning flight for maintenance were planned for FL320; gear down flight at 250 KIAS. Enroute aircraft is only able to climb to FL240 max altitude thus dipping into their fuel reserves and forcing a diversion. Flight refuels and continues on to intended destination.",
1233712,201501,0601-1200,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Air Carrier,B777-200,,3,Part 121,,Passenger,,Parked,,,Y,,Y,,Unscheduled Maintenance,Installation; Work Cards,,,,,,,,,,,,,,,,,,Pneumatic System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Human-Machine Interface; Confusion; Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1233712,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Training / Qualification; Situational Awareness; Human-Machine Interface; Communication Breakdown; Confusion,Party1 Maintenance; Party2 Maintenance,,1233714,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural MEL / CDL,,N,Person Flight Crew,In-flight,General Maintenance Action,Procedure; Human Factors; Equipment / Tooling; Aircraft,Equipment / Tooling,"B777-200 aircraft arrived ZZZ January 2015. Myself [as Mechanic X] and Mechanic Y were assigned the ETOPS inspection and inbound logbook items. Had EICAS message: Bleed High Pressure Shut-off Valve (HPSOV) Right Engine. Interrogated [aircraft's] Maintenance Access Terminal (MAT); insufficient time to repair; optioned for MEL Deferral (DFRL) [Chap] 36-3a. Aircraft departed to ZZZ to ZZZZ January 2015 in AM. Departing ZZZZ following day; pilot reported Bleed 'Off' engine right; 'On' at cruise power setting. We were using the maintenance tablet to follow procedure MEL 36-3a on how to lock out the HPSOV [on the] right engine. The first illustration that we scrolled to showed the valve position for the wrong valve; figure-1; causing us to lock out the wrong valve.[Recommend] When pulling the MEL on the desktop computer to follow the procedures on how to lock the HPSOV; a figure is attached to the MEL; clicking it will take you to the correct valve position. It is not confusing; however; on the maintenance tablet you have to scroll to the figure; leading the user to assume the figure shown is related to the referenced MEL. That is not the case in this situation. The figure shown was the wrong valve; which contributed to the error.",,"B777-200 aircraft arrived ZZZ January 2015. Mechanic X and [myself as] Mechanic Y were assigned the ETOPS inspection and inbound logbook items. EICAS message BLEED HPSOV R ENG. We interrogated MAT and determined insufficient time to repair. Optioned for MEL deferral using MEL 36-3A. Aircraft departed ZZZ for ZZZZ. Pilot reported BLEED OFF ENG (R); 'On' at cruise power setting.We used the Maintenance tablet to follow procedure MEL 36-3A on how to lock out the HPSOV on the right engine. The illustration displayed was for the Pressure Regulating Shut-off Valve (PRSOV); causing us to lock out the wrong valve. [Recommend that] when checking the MEL on the desktop computer to follow procedures on how to lock out the HPSOV; a figure is attached to the MEL and clicking it will take you to the correct illustration. IT'S not confusing; however; on the maintenance tablet you have to scroll to the figure. If you don't; you are led to believe the figure displayed is related to the referenced MEL; which contributed to the error.",,"Two Line Aircraft Maintenance Technicians (AMTs) explain why different procedures must be used to access the correct MEL illustration for deferring a High Pressure Shut-Off Valve (HPSOV) on a B777-200 engine when using a desktop computer or maintenance tablet. They had locked out a Pressure Regulating Shut-Off Valve (PRSOV) on the right engine instead of the HPSOV.",
1236916,201502,0001-0600,ZZZ.Airport,US,,,,,,,,,Night,,,,Fractional,Citation Excel (C560XL),,,Part 135,,,,Parked,,,,,,,Scheduled Maintenance,Testing,,,,,,,,,,,,,,,,,,Fuel Tank,Cessna Citation,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Fractional,Technician,Maintenance Inspection Authority; Maintenance Powerplant; Maintenance Airframe,,,Physiological - Other; Communication Breakdown; Distraction,Party1 Maintenance; Party2 Maintenance,,1236916,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury; Ground Event / Encounter Other / Unknown,,N,Person Maintenance,Routine Inspection,General Maintenance Action,Human Factors; Aircraft; Equipment / Tooling; Procedure,Equipment / Tooling,"A Cessna CE-560XL aircraft was in for A-Check inspection and fuel tanks were drained and opened for Non-Destructive Testing (NDT) inspection. Fuel tank ventilation system installed to vent tanks to outside.  However; the hoses used; stretched from bay #3 to west garage door. Hoses become trip hazard and also do not seal properly; venting fumes into work area. Hoses appear to need maintenance due to deterioration.  Attempted to use the Sirius multi gas detector to see what level Jet A fumes were at; but was unable to calibrate unit due to calibration gasses being empty.  I have been in this area of the Hangar since XA:30pm and I am experiencing Nausea and Headaches. I recommend to install overhead vent system so that vent lines are not on floor and fumes vent out; or install an inline blower into the system now in use to provide positive airflow to push the fumes out of the hangar.  Venting open fuel tanks for NDT. Excess fumes from fuel tank venting system.",,,,"An Aircraft Maintenance Technician (AMT) describes his work environment where deteriorated fuel tank ventilation hoses were not only a trip hazard on the hangar floor but the hose seals were venting fumes from the fuel tanks of a Cessna CE-560XL aircraft into the work area. Technician experienced nausea and headaches.",
1237110,201501,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,,,Tower ZZZ,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,FMS Or FMC,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Check Pilot; Instructor; Captain,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Distraction; Confusion; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1237110,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Confusion; Distraction; Human-Machine Interface; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1237107,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation,Other FOQA (post flight),,Human Factors; Equipment / Tooling; Aircraft,Equipment / Tooling,"Captain on OE was flying and was doing a practice CAT III approach; flaps 40; somewhat gusty quartering left crosswind within CAT III limits.  Approach was flown very well and landing flare started normally.  In post discussion; Captain admitted some distraction with the HUD guidance and that; coupled with the crosswind; flaps 40; and possible reduction in power by the auto throttles; resulted in a firm touchdown followed by the nose coming down firmly as well.  Having experienced a fair amount of firm touchdowns during OEs and line flying; this one did not seem out of the range of normal although the nose did come down fairly quickly which I could not stop.  The company recommended filing this ASAP.I always remind new Captains on the 737 to adjust the HUD lighting to the minimum they need to avoid their eyes locking on the HUD and not seeing through the HUD for landing.  I also remind them to avoid early power reductions either by their own hand or by the auto throttles when landing flaps 40.  I will continue doing that.",,"Company indicated a hard landing in ZZZ.The landing was firm but did not appear to be a hard landing. The approach was a practice CAT III during IOE. I was distracted by the HUD display during the touchdown and was slow to initiate the flare.",,"A B-737 flight crew was reported by company as having had a hard landing. The Captain under instruction reported being distracted by the HUD display.",
1239289,201502,,,,,,0,,,VMC,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Exterior Pax/Crew Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Gate Agent / CSR; Ramp,,,,Human-Machine Interface,,,1239289,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Ground Event / Encounter Object,,,Person Flight Attendant,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Equipment / Tooling; Aircraft,Equipment / Tooling,"After loading all the PAX; I went remove the manual PAX stand from the aircraft. This particular PAX stand is hard to move because of the wheels. The stand has to be pushed side to side before it goes straight. After pulling the PAX stand back we were preparing for push back. The flight attendant proceeded to try to close the door but; when the door closed only half way; I was called over. The flight attendant said the orange ball had rubbed against the cable when I was pulling the PAX stand back; which derailed the cable from the pulley. Maintenance was called to put it back on track; which caused a delay.",,,,"A flight was delayed from the gate when; during the removal of the manually operated passenger loading stand; a cable was preventing the door from closing.",
1240216,201502,0001-0600,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Confusion,,,1240216,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor; Ground Event / Encounter Other / Unknown,,,Person Flight Crew,Aircraft In Service At Gate,General None Reported / Taken,Equipment / Tooling,Equipment / Tooling,"We were tasked to fly flight to ZZZ.We showed to the aircraft we all were doing our safety checks. In doing so our hydraulic system # 3 read 40% on the quantity which was below the limitations for the system. I called Dispatch and asked to speak with Maintenance Control. I informed the Maintenance Controller of the problem and told him that the outside temperature was -23 degrees. He had us trouble shoot the system with no positive result. I wrote up system #3 for low fluid quantity and waited for contract maintenance to show up. In the mean time we had the Operations (OPS) frequency up and was listening. I have been flying for 15 years now and what I heard on the OPS Freq. what so unsafe.  Aircraft X taxied out to the de-ice pad. The Captain of flight; yelled over the frequency; 'HEY; THE TOP OF THE DE-ICE TRUCK IS ON FIRE'!!!I too also witnessed the truck catching fire. The whole top of the truck what engulfed in flames from the burner. After hearing what the Captain of Aircraft X said; the people operating the de-ice truck shut it off. The Captain then asked over the frequency to the de-ice crew; 'is that normal?' The response from the one of the people from the de-ice truck was; 'Technically no'I found this a blatant disregard for SAFETY. The Captain of Aircraft X then informed them that he did not want that truck next to his aircraft. I immediately told them over the frequency that; 'Aircraft Y will not be de-iced by the truck that just caught on fire. The Aircraft X flight returned to the gate. In the mean time I was in concert by phone and via ACARS to our Dispatch Supervisors and our Dispatcher. I informed them all what was happening with de-ice truck and the unsafe operations we witnessed. I also told them that in the interest of safety I would not allow our aircraft to be de-iced by that truck in question. Everyone agreed that it was unsafe and not to use the truck.  So after some time of trying to get a hold of someone of the OPS frequency I requested to have the Ramp Supervisor to come to our aircraft. The Ramp Supervisor; came on the flight deck. I asked her if this was normal operations for the de-ice truck to catch fire? What I heard next appalled me. Her reply was 'No it was not a normal operation' I then asked her since you just said that it was not normal and not safe why did you knowing continue to try and de-ice aircraft? Her reply was; 'it was not safe and she was sorry'At that point the operation of safety was not paramount nor was it was considered by all of the people involved with the de-icing of aircraft. I informed her that we will not use that truck and if you could get the other de-ice truck running we would use it. She left the flight deck and we did not hear anything for some time. While we were waiting I called my Assistant Chief Pilot and informed him via a voice mail what had transpired and how unsafe the ramp was conducting operations. While we were waiting; the Assistant Chief Pilot called me and I told him what was going on. He said you are doing the right thing by not having that truck de-ice our jet. He also informed me that he informed Aircraft Y's Safety Department of incident. Meanwhile after what had transpired the ZZZ operations continued to de-ice Express Jet and Delta Express with the same truck that caught fire.I saw the Captain of Aircraft X walking across the ramp so I approached him and introduced myself. I told him that I would be filling an ASAP; and irregular reports with my company. He also said he would do the same. Captain also informed me that the truck caught fire 3 more times bringing it to a total of 5 times it caught fire. At this point I had no confidence in anyone from the ZZZ operations to conduct a safe operation. Finally after close to 4 hours the operations informed me that they were going to get the FBO de-ice truck to deice us and that it would be supervised by their certified employee.  Before we loaded the passenger on the aircraft my passengers my flight attendants and I went inside. After we went back through TSA security we went to the gate to get let back out to the jet. As I was approaching the counter I heard two passengers on their phones saying the reason why they were so late was because the Captain and the Dispatcher were having a dispute on the deicing procedures. I could not believe what I was hearing. The gate was lying to the passenger about our situation. As we approached the gate the agent addressed me with an unprofessional attitude by asking me what the heck is going on here. I replied; would you like to discuss this in front of the passengers here or we could step outside. We went outside and I informed him of my grave concerns of the unsafe operations that the station were conducting. I replied; 'Would you like me to finish what I have to say?' His reply was 'No' and walked away. My flight attendant witnessed this unprofessional demeanor. We returned to the jet and waited for the FBO deice truck. Once we were informed that the de-ice truck was available we instructed OPS to board the passengers.After the passengers were all boarded on the jet I went into the cabin and picked up the PA and apologized for the lengthy delay today. I also thought it was important to inform the passenger the REAL reason why we were delayed today and informed them of the de-ice truck catching fire and that we take safety very serious and that I would not let them de-ice our jet and put everyone's lives in danger. We taxied to the de-ice pad and were de-iced with type I and had a tactile check done and depart without incident. In addition to the unsafe operations we dealt with today the Final Flight Attendant Report indicated that the reason why we were delayed was due to field conditions at origination. This was not the truth at all. In closing I would like to say I appreciated the professionalism and CRM from my crew First Officer and all of the outside sources from Dispatch; and the Assistant Chief Pilots. This CRM situation we had to deal with broke the bad link in the chain and stood our ground in the interest of safety because it was the right thing to do. I hope that this report will help make just and swift changes to the unsafe operation in ZZZ. FAA should audit the ZZZ station of their de-icing procedures the whole station would be retrained in the safe operation of de-icing procedures.",,,,"CRJ-200 Captain reported that while waiting for de-ice service he noticed a fire on the roof of the de-ice truck in the area of the truck's heater.",
1240967,201502,1801-2400,ZSU.ARTCC,PR,,,,37000,,,,,Night,,,Center ZSU,Air Taxi,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 135,IFR,Ambulance,,Climb,Oceanic,Class A ZSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZSU,Air Carrier,Widebody; Low Wing; 2 Turbojet Eng,,3,Part 121,IFR,Passenger,,Cruise,Oceanic,Class A ZSU,,,,,,,,,,,,,,,,,,,,,,,,Facility ZSU.ARTCC,,Government,Enroute; Trainee,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 11,,Troubleshooting; Communication Breakdown; Distraction; Situational Awareness,Party1 ATC; Party2 Flight Crew,,1240967,Facility ZSU.ARTCC,,Government,Handoff / Assist,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 7,,Workload; Time Pressure; Distraction; Confusion,,,1240974,ATC Issue All Types; Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft RA,,,Equipment / Tooling; Human Factors; Procedure,Equipment / Tooling,"Aircraft X Departed TNCM and was looking for higher altitude. I climbed him to FL320. Ask him to say the SOCCO estimate; Mach number and altitude request. He requested FL370 M.75 and gave an estimate of SOCCO at XA28Z. My D-Side told me that FL370 was not available and to stop him at FL340. I did and the pilot stated that he was a medical flight and that at FL340 he would not reach his destination. D-side informed me that next available was FL390. I asked if he was able and he said yes. I climbed him and told him to give me a good rate of climb for traffic cause he was climbing good and continued working the outbound push out of SJU; STT; TNCM and COY. Sector 6 was very busy but it was do able; when I continued my scan I saw Aircraft X slowing his rate of climb. I did my calculations and knew it was going to be a factor with Aircraft Y. I called him and assign a 360 heading with no reply from him. Told him to expedite; no reply. At this time he was floating FL361; next hit; FL362. My scope was filled with targets and he wasn't responding. When he finally responded was questioning if the heading assignment was for him. Sector 6 was getting busier by the minute and this guy wasn't responding. He was already in ZNY's airspace when I saw him turn leaving 366. I called the Aircraft Y to verify his position; no luck. Told the D-side to contact commercial radio to put him on our frequency. Nothing. I continued working and never got a read back that the aircraft was leveled at FL390. I transmitted on the blind; no answer. I continued to call Aircraft Y with no luck. He finally came on frequency 80 miles after. I radar identified him and kept working when he asked if he had traffic approaching SOCCO. I explained to him that I had lost communications with him and that's when he told me that he had responded to a RA (resolution advisory). I never saw how close they got since it happened on non-radar. Our frequencies over the ocean are bad. We transmit constantly with no answer. Transmitters and receivers are constantly malfunctioning and is a daily headache. This situation could have been avoided with good frequencies.",,"I was given a quick briefing. I took the position (D4D6) and it was super busy with a lot of aircraft on the boards and on the scope. My reliever had to stay and help. Lots of information to get coordinated; missing flight plans; printer wouldn't stop printing; and a few calls. Don't know how long I was on position but ZNY called me up to tell me Aircraft Y had to respond to a resolution advisory (RA). I replied roger and that was it. Kept working because it was too busy. I yelled out for at least a tracker for my radar man but there wasn't anybody. I really didn't know who Aircraft Y was in conflict with; until now. Frequencies were congested and were not working properly for what I could hear from the R-side. Frequencies need much better coverage/range. Staffing needs to improve drastically. We need the TMU (traffic management unit) up and running as soon as possible. They could have seen this coming. Supervisor needs to be more attentive to what's going on each sector and how are they going to be impacted. If R6 gets slammed by traffic; R2 is going to get it very soon. Departures should have been stop when it got busy; way before the sector got 'out of control.'Co-workers seemed to not want to ask for help. We need a briefing on this; something that lets people understand that they are not super human; we all need help at some point. D-sides seem to have to ask for help (A-side). It's the season; A-sides should be scheduled too! Managers need to plan the day better. Extra bodies and overtime would be a great help.",,"ZSU Controllers report of a loss of separation over the ocean due to poor radio coverage and an aircraft not climbing with a good rate for traffic.",
