 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1236698,201501,0001-0600,ZZZ.Airport,US,,,0,,,,,,Dawn,,,,Air Carrier,A319,,,Part 121,,Passenger,,Parked,,,,,Y,,Unscheduled Maintenance,,,,,,,,,,,,,,,,,,,Seatbelt,,X,Design; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,Flight Attendant Total 15,Boarding; Safety Related Duties,Communication Breakdown; Confusion,Party1 Flight Attendant; Party2 Maintenance; Party2 Other,,1236698,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,Y,Person Passenger,Aircraft In Service At Gate; Pre-flight,,Human Factors; Chart Or Publication; Aircraft; Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"Passenger brought to my attention that her 3-year old and 4-year old girls could not be secured in their seatbelts. On this A319 aircraft; it is equipped with the new acro seats and true enough we could not get seatbelt to tighten enough to secure the two girls. We ended up putting coats to secure them better-I know this is not the answer; but was the best we could do. I believe the way the seatback curves backwards makes the seatbelt obsolete for a small child. During pre-flight; it is recommend to change the seatbelts.","Reporter stated young children cannot be properly secured with seatbelts in the new ACRO passenger seats that have been; and are being installed on their Airbus aircraft. The retrofitted seats are narrower; but the curvature of the seatback is deeper than the previous passenger seatbacks. Seatbelts from those older seats were reinstalled with the newer seats; but the design of the old seatbelts will not tighten down enough due to the increase seatback curvature on the newer seats. Small children basically slide aft and fill up the curvature area of the seatback and the older seatbelts just cannot tighten up enough to hold them in the seat. Reporter stated that parents cannot use child booster seats because they are not FAA approved. What are parents to do?  As flight attendants; all they are looking for is a solution to the unsafe condition; but so far their Air Carrier has not responded.",,,"A Flight Attendant reports that young children cannot be properly secured in the new ACRO passenger seats installed on their Airbus aircraft. The same seatbelts from the removed seats were reinstalled with the new seats; but will not tighten up enough to accommodate the increase curvature of the new seatbacks.",
1241022,201502,1201-1800,ZHN.ARTCC,HI,,,,28000,,VMC,,,,,,Center ZHN,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,Oceanic,Class A ZHN,,,,,,,,,,,,,,,,,,,,,,,,Navigation Database,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 6000; Flight Crew Type 400,,Human-Machine Interface; Confusion; Troubleshooting,,,1241022,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,Flight Crew Last 90 Days 161; Flight Crew Type 161,,Confusion; Troubleshooting; Human-Machine Interface,,,1241168,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew FLC Overrode Automation,Aircraft; Incorrect / Not Installed / Unavailable Part; Procedure,Incorrect / Not Installed / Unavailable Part,"I was copilot on flight ZZZ [mainland] to Kona. During preflight; the FMC routing was datalink loaded. The flight pub bag and FMC database were checked to be current. After uploading the winds; the runway and departure were loaded along with the runway in Kona. I did not load the arrival into Kona as I was taught adding the arrival will likely add distance to the flight and could potentially create fuel issues at the critical point. After passing the critical point I attempted to load the arrival and approach for Kona. However; we noticed that there were no arrivals or approaches available to load; only the runway. Further investigation found that there were no departures; arrivals; or approaches in the FMC for any Hawaii airport. We continued raw data on arrival and flew an uneventful ILS approach into Kona. We wrote a maintenance discrepancy in the logbook; notified maintenance via ACARS; and debriefed the mechanic upon arrival into Kona.Today (18 days later); the captain was informed that the aircraft was loaded with an Airbus navigation database and that is what accounted for the lack of coverage for Hawaii. I don't know how I would have caught this on preflight; or how long this plane had been flying with the wrong database.FYI; I had the same experience on Airport ZZZ2 to ZZZ3 [also Hawaii] (8 days ago). Again we flew raw data on the arrival and ILS approach for an uneventful landing. We wrote up the discrepancy and thoroughly debriefed maintenance upon arrival into ZZZ3. I never found out what the problem was but I suspect it was the same issue. I remember looking in the logbook of this plane and noted that it had not been out to Hawaii for at least a couple weeks.",,"Attempts to load arrival STAR and approach in FMC unsuccessful. No data for any Hawaii airport; except runway threshold; available for selection. Flew arrival procedures to Airport Kona using raw data only. Made logbook entry upon arrival and briefed maintenance. ACARS info message sent to company maintenance prior to landing. Notified next day that Airbus Navigation Data was loaded in aircraft by mistake by maintenance.",,"A B737 air crew discovered that they were unable to bring up the required STAR and approaches in FMC. They were later notified that incorrect Airbus data had been loaded in the aircraft by mistake.",
1278566,201507,0601-1200,SFO.Airport,CA,210,32,,10000,,VMC,,,,,,TRACON NCT,Air Carrier,B747 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC,Descent,,,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 205; Flight Crew Total 12883; Flight Crew Type 8101,,Training / Qualification,,,1278566,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Became Reoriented,Chart Or Publication; Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"Inside of 10 nm from PIRAT we were given holding as published; we were already at 250 knots. So we were approximately 1min 30sec from the hold fix. The FMC is programmed with the incorrect hold information. I have not been trained on the ipad in a method to find the holding pattern information. I was able to find it on the US low 3/4 and eventually self-taught to locate it on the ipad. We made a right turn into the hold per the FMC and then queried the controller on the correct holding information. We used heading select to get the correct holding pattern established and were eventually able to program the FMC correctly. The PIRAT holding information used to be on the Area-1 chart but is no longer in our publications.",,,,"B-747 crew; after checking enroute charts and querying ATC; discovered that the holding pattern in their FMC was incorrect. Crew used manual heading to enter the holding pattern and iPad information to reprogram the FMC. Crew mentioned a lack of training in locating holding data in the iPad.",
1290711,201508,1201-1800,ZKC.ARTCC,KS,,,,35000,,VMC,,,Daylight,,,Center ZKC,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Ferry / Re-Positioning,,Climb,Direct,Class A ZKC,,,,,,,,,,,,,,,,,,,,,,,,Aircraft Documentation,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 71; Flight Crew Total 10730; Flight Crew Type 3850,,Communication Breakdown; Confusion,Party1 Flight Crew; Party2 ATC,,1290711,Aircraft X,Flight Deck,Corporate,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 62; Flight Crew Total 6311; Flight Crew Type 3651,,Confusion; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1291497,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Exited Penetrated Airspace,Human Factors; Chart Or Publication; Aircraft; Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"Crew departed with new aircraft. We completely forgot about our RVSM paperwork not being complete and climbed up into RVSM airspace without advising ATC. We briefly leveled at FL350 then continued climbing to FL410. It was then that we realized our mistake and notified ATC. They approved a climb out of RVSM airspace to FL430. We were told to call ATC when we landed.Previously the aircraft completed several high altitude acceptance test flights before departing (including an RVSM monitoring flight). We preregistered with the ORL FSDO and all that was needed was a copy of our aircraft registration and airworthiness certificate to complete the RVSM LOA. The [aircraft] fleet and our crew is RVSM certified and has been flying in RVSM airspace since the RVSM program was initiated.At no time was there ever a safety issue in this scenario! This is nothing but a paperwork issue. The plane and crew are capable of safely operating in RVSM airspace. Two pieces of paperwork unrelated to RVSM were not at our FSDO to complete our LOA. Finally; ATC would not have been aware of this issue had we not confessed our error.",,"[Report Narrative Contained No Additional Information.]",,"A light transport flight crew reported entering RVSM airspace with incomplete RVSM paperwork. They realized their mistake; notified ATC; and were then climbed above RVSM airspace.",
1296241,201509,1201-1800,TNCM.Airport,FO,,,,,,VMC,,,Daylight,,,Center ZSU,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC; VOR / VORTAC PJM,Descent,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,FMS/FMC,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,,,,1296241,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Other / Unknown,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem; Flight Crew Became Reoriented,Incorrect / Not Installed / Unavailable Part; Human Factors; Aircraft,Incorrect / Not Installed / Unavailable Part,"Approach Missing from FMC Database: In preparation for landing at SXM/TNCM/St. Maarten Princess Juliana airport; the captain/pilot flying attempted to select the preferred approach in the FMC. The preferred approach per the ATIS is the VOR Z Rwy 10; which allows for a straight-in approach rather than a procedure turn. The other two VOR approaches require a procedure turn; and the 757 aircraft are not qualified to fly the RNV (GPS) Rwy 10 approach. However; for an unknown reason; the VOR Z approach is not included in the latest FMC database. Because this is an approach path (rather than an enroute path); the Boeing 757 FMC requires special logic in the FMC path definition to allow the autopilot to properly fly the approach. For that reason; pilots are not allowed to manually build an approach in the FMC. The only published approaches loaded in the database at present are the VOR X 10 and the VOR Y 10; which each require a procedure turn rather than a straight-in approach; and are therefore undesirable for traffic flow efficiency (they take a long time to fly; during which other aircraft cannot land). Because of the Boeing 757 FMC constraints (which also apply to other aircraft as far as I know); we could only legally fly the desired VOR Z 10 approach using raw data; which is more task-intensive than flying the approach using the FMC; and is not a method we normally practice. As a result; we chose to input the VOR Z 10 approach fixes prior to and including the FAF in the route; and fly a visual approach once we had the airport in sight. This technique was quite safe since the weather was nice; but presumed we would be able to visually acquire the field prior to reaching the FAF.  Had the weather been marginal (which is possible this time of year due to the tropical depressions that form); we would have been forced to either fly the approach in raw data or tie up the traffic pattern for an inordinately long time while we flew one of the two procedure turn approaches.For an unknown reason; effective procedures for including all appropriate approaches in the FMC database were not followed by the individuals that developed the September FMC database release. In addition; this failure was not detected by quality assurance personnel. As a result; a defective database was installed in aircraft flying operational air carrier flights. While we had backup methods that could be used to work around this failure in this case (raw data approach; alternative approaches); this failure should never happen; and the fact that this failure reached operational aircraft indicates the organizations and individuals maintaining the FMC databases have serious quality control shortcomings that need to be corrected. Had there been no other available approach and the weather been bad; at best this would have resulted in an expensive diversion. Had the failure instead been incorrect data rather than a missing approach; a tragic accident could have occurred if the aircrew did not catch the discrepancy.Suggest a review of the procedures used for ensuring appropriate approaches are installed in the FMC database releases; and correct procedural shortcomings that could result in failures. Ensure corrected procedures are followed. Review quality control processes to ensure they trap production errors before they reach operational aircraft.Upon saving this report; I noticed that I previously submitted a report; indicating that the FMC database at that time had NO approaches available; and that the VOR Z Rwy 10 should at least be included. Since that approach is still not available in the FMC database months later; there is clearly a serious problem in the database development department; and this problem deserves high level attention to ensure it is permanently corrected.",,,,"B-757 flight crew noticed that the preferred approach was not in the FMC database. The crew flew a visual approach coupled with manually inputted waypoints to the final approach fix.",
1301114,201510,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,,Corporate,PA-25 Pawnee,,1,Part 91,,Utility / Infrastructure,,Parked,,,N,,,,,Inspection; Installation,,,,,,,,,,,,,,,,,,Elevator,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Corporate,,Maintenance Airframe; Maintenance Powerplant,,,Situational Awareness,,,1301114,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Pre-flight,,Human Factors; Aircraft; Procedure; Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"One of our tow pilots noticed the RH elevator was bent down outboard of the outer hinge approximately 5 degrees during preflight. We had our maintenance vendor troubleshoot the defect. It was determined that the incorrect elevator was installed. The elevator installed was for a 150 hp PA-25 and has a lighter spar. The elevator had been installed some time ago. The two different types of elevators are almost identical and hard to tell apart.",,,,"The pilot of a PA25 glider tow aircraft noticed damage to the elevator. It was later determined that the incorrect part was installed on the aircraft.",
1307433,201511,0601-1200,CKB.Airport,WV,,,0,,,,,,,,,,Air Carrier,Regional Jet 700 ER/LR (CRJ700),,2,Part 91,IFR,Ferry / Re-Positioning,,Parked,,,,,Y,,Unscheduled Maintenance,Repair,,,,,,,,,,,,,,,,,,Winglet,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Troubleshooting,,,1307433,Repair Facility,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Troubleshooting; Distraction,,,1308284,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General Maintenance Action,Aircraft; Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"During preflight it was noticed that left wing had nine static wicks instead of seven. Or a total of 29 instead of 27.Aircraft was brought in to get a new winglet installed. After new winglet was installed the manufacturer installed nine static wicks because that is how the majority of CRJ 700's are configured. I made numerous phone calls to MOD of MOC; and it was decided that the flight could depart under part 91 flight rules.I have since secured phone numbers to reach personnel from flight department in the event of after hours issues.",,"The aircraft was at the CKB facility for repair to the Left Hand (LH) winglet. The damage was significant and required many hours of structural work which was all documented and approved (ref. ERS-CR-5700-530 & KCC670-15000 Kit Dwg). After the repairs; while final preparations and sign-offs were being made supervisor called me at MOC. He wanted to let me know the LH winglet had 2 extra static wicks installed on it. We discussed it and I determined this new configuration must be approved since it just finished repair at the facility. I didn't know all the details of how the repair was accomplished but; I did hear from coworkers that it was extensive to include parts availability was a major obstacle. I suggested to him that we let the aircraft depart.A few moments later I received a call from our maintenance Pilot. He also was concerned with extra static wicks installed on the LH winglet. I explained to him I already was aware of the issue and as far as I knew the aircraft was legal to fly. He agreed and accepted the aircraft.",,"The Captain of a regional jet reported that 2 extra static wicks were installed on a recently replaced winglet. After consulting with maintenance personnel it was determined that the aircraft was airworthy and was dispatched under a Part 91 ferry permit.",
1312453,201511,1801-2400,,,,,0,,,,,Poor Lighting,Night,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Parked,,,N,,Y,,Unscheduled Maintenance,Installation,,,,,,,,,,,,,,,,,,Wheels/Tires/Brakes,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Air Carrier,Technician; Lead Technician,Maintenance Powerplant; Maintenance Airframe; Maintenance Avionics,Maintenance Lead Technician 3; Maintenance Technician 24,,,,,1312453,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Maintenance,Aircraft In Service At Gate,General Maintenance Action,Incorrect / Not Installed / Unavailable Part,Incorrect / Not Installed / Unavailable Part,"#1 tire was flat so another technician and I were tasked with replacing both #1 and #2 wheel assemblies. After removing the #1 wheel assembly the other technician who had removed the axle nut did not see a washer. After he inspected the removed wheel and could not find a washer; it was determined that this aircraft did not require a washer. I verified that the brake spacer was installed and we then installed the wheel assembly. The wheel nut was torqued and safety bolts installed.After a delay due to not having the 8130 tag for the new #2 wheel assembly; we proceeded to replace the #2 wheel assembly. Again the other technician did not see a washer so it was determined that a washer was not needed. This was the first time that either of us had replaced [this model of aircraft] wheel assembly. The maintenance manual mentioned installing the washer before the axle nut; but there was confusion due to the recently issued advisory notice about nuts with axle washers attached. There was also some confusion about the reference to the axle spacer and the axle washer. [5 days later] a washer was found on the old wheel assembly in the tire shop and a new washer was robbed from [another aircraft] and placed on the #1 wheel assembly. After I arrived at work I inspected the #2 wheel and notified my lead that the washer was also missing from that axle. The aircraft was taken out of service in order to install a new washer.",,,,"While replacing the #1 and #2 main landing gear wheel assemblies on a commercial aircraft; the technicians did not find any washer under the axle nut for either wheel assembly.",
