 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1266061,201505,1801-2400,ZZZ.Airport,US,,,0,,,,,,Dusk,,,,Fractional,Citation X (C750),,2,Part 135,,Passenger,,Parked,,,N,N,Y,,Unscheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,Emergency Brake System,Cessna,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,First Officer,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Other / Unknown,Party1 Flight Crew; Party2 Maintenance,,1266061,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,N,Person Flight Crew,Aircraft In Service At Gate,General Maintenance Action,Aircraft; Human Factors; Logbook Entry; Procedure,Logbook Entry,"We arrived in ZZZ airport and discovered during post flight that the emergency brake and gear pneumatic vent lines were dripping hydraulic fluid onto the ground. The aircraft was AOG'ed. The next morning we were assigned the aircraft again as the discrepancy was cleared by technicians from ZZZ1 Service Center. The summary of the corrective action is that the lines were disconnected; vacuumed free of hydraulic fluid cleaned with alcohol and re-secured. Three flights were performed on the following day; ending our day in ZZZ2. On post flight it was discovered that the leak had returned in the gear pneumatic vent line.How it can be said that removing evidence of a discrepancy is an appropriate corrective action is ridiculous. This is an ever increasing trend at this company. Who directly is responsible in this case would be the individual who signed this off; but more importantly it appears to me to be an increasing cultural trend that is spreading from our Operator to all maintenance contractors.",,,,"A First Officer questions whether a logbook corrective action entry by Maintenance was appropriate or just ridiculous. He found the emergency brake and landing gear pneumatic vent lines dripping hydraulic fluid during a post flight walk around of their Cessna Citation X aircraft. Maintenance had disconnected; vacuumed; cleaned with alcohol; and re-secured the lines.",
1336239,201602,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,MD-11,,2,Part 121,IFR,,,Parked,,,Y,N,Y,N,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Ramp; Technician,Maintenance Airframe; Maintenance Powerplant,,,Distraction,,,1336239,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,,,,Aircraft In Service At Gate,General None Reported / Taken,Logbook Entry,Logbook Entry,"My partner and I were assigned an aircraft. This aircraft was scheduled to sit and have an Aircraft Service (ASE) complied with. We complied with the part of it; and was going to finish up the ASE portion of it after our second aircraft was taken care of. We found a wing light inoperative and wrote that up; then went to aircraft Y. Aircraft Y came in and we complied with the [required checks] on this aircraft. We had a few write ups; nose tire change; cargo seals pulled out; O2 PSI low. While complying with these write ups; aircraft X was called up. I helped finish up the second aircraft and went to pull [deferred maintenance] logs for both aircraft. Gave my partner the [deferred maintenance] log for aircraft Y and I took aircraft X's [deferred maintenance] log back to aircraft X. Once there I deferred the wing light and finished up the [required] check and signed the book for those items. I decided to pull a new [deferred maintenance] log for aircraft X since I had time and add a MEL to it instead of writing it into the previous [deferred maintenance] log. I did not sign the Airworthiness Release (AWR) at this time until I had the new [deferred maintenance] log. I printed the new [deferred maintenance] log and filled it out and placed it into the book and I failed to sign the AWR. I went back to aircraft Y and we kicked out this aircraft. I went back to aircraft X and waited for the crew to show up. When the crew came I waited for about 10 to 15 minutes so they could get their preflight finished. I went up the stairs where I was met by the Captain heading down the stairs. He stated 'I was just coming down to see you; logbook looks good.' so I turned and did not go up and look for myself; went back down to wait for the loading to be completed and check the aircraft for doors prior to departure. I worked the head set and launched the aircraft without an AWR.",,,,"After accomplishing checks on two different airplanes; Maintenance neglected to sign off the airworthiness release for an MD11 aircraft.",
1489951,201710,0601-1200,ZZZ.Airport,US,,,0,,,,,,Dawn,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,Parked,,,N,,,,Scheduled Maintenance,Repair,,,,,,,,,,,,,,,,,,Interior Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,Lavatory,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Time Pressure; Workload,,,1489951,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Maintenance,Routine Inspection,General Maintenance Action,Aircraft; Logbook Entry; Procedure,Logbook Entry,"I became aware of a sign off for a job on my aircraft that I verified was not done. [The] compliance supervisor requested a meeting to discuss the [report]. In this meeting; he presented to me a copy of [a] log page; which read as follows:'Accomplished operational check of fwd lav door. Couldn't duplicated problem. Precautionary lubricated hinges. Ok for service. Cleared MIC sheet. Permanent repair accomplished.' I immediately became aware that this log page had been altered because I took a picture of the same log page [that] morning when I took the book back to the aircraft for departure. I also verified and took pictures of the hinge in question; which was worn; and no maintenance action was taken. I produced a picture of the same logbook page and showed it to [the compliance supervisor.] When I left the book on the aircraft; this log page read as follows:'Accomplished operational check of fwd lav door. couldn't duplicated problem. Precautionary lubricated hinges. Ok for service. Cleared MIC sheet.'This same text is also in the [computer-based] system. Whoever altered the logbook could not alter the [computer-based] entry. I told [the compliance supervisor] that it was obvious that this log page was altered sometime after and that is called falsification of aircraft records. In the sign off; [a maintenance personnel] clearly and falsely stated that he lubricated the hinges when in fact the hinge was worn and it required a more involved maintenance repair. The log page that [the compliance supervisor] produced also has the upper box crossed out when in fact the upper box as of today; is still not crossed out in the aircraft logbook. This aircraft is in [a different location] and I contacted maintenance over there and had them send me a picture of the log page.Falsification of aircraft records is a serious offense which compromises the safety of the aircraft and exposes the company to fines and penalties by the FAA. Our families fly on these airplanes. We are held to high standards and so should those that lead us. I will attach copies of all this paperwork as soon as I get home this morning. Don't know how to do it from company computers.I believe this occurred because [maintenance personnel] felt pressured by supervision. The supervisor on duty questioned me why the repair on the door hinge was not done [early in morning]. [After 30 minutes]; miraculously; this discrepancy was fixed along with a sign off for a re-inspection of a cracked drain mast. All done from the comfort of the office.",,,,"A Maintenance Technician reported that a log book entry may have been signed as accomplished when the work was not done.",
1535638,201804,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B757 Undifferentiated or Other Model,,,Part 121,,Passenger,,Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Nacelle/Pylon Skin,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,1535638,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,,,General Maintenance Action,Aircraft; Logbook Entry; Procedure,Logbook Entry,"Aircraft had Carry Forward (CF) Number 1 engine damage as acoustic panels missing. Walk around observed portions were extended beyond honeycomb attached to it; leaving potential for it to vibrate and break free. Wrote Maintenance Report Message (MRM) contacted maintenance and they came to flight to tell us it was good to go. I replied I knew it was CF but wanted us to go to engine and inspect. Upon inspection as mechanic wanted to demonstrate it was solid; one of the protruding portion he grabbed broke free. I asked all portions needed to be filed flush with honeycomb as to prevent pieces breaking free. He concurred and work was performed. Upon completion new [release document] did not reflection action work done but simply stated was already a CF. It took three attempts verbally and additional write ups to get maintenance to document on MRD the work they did. They showed me history in their paperwork; but I had great difficulty getting them to simply give us a MRD showing work they did.",,,,"B757 Captain reported that maintenance accomplished some minor work on an engine and neglected to record the work in the Maintenance Logs.",
1580864,201809,,,,,,,,,VMC,,,,,,,Air Carrier,A320,,2,Part 121,IFR,,,Other Preflight planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Total 10054,,Other / Unknown,,,1580864,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General None Reported / Taken,Logbook Entry; Procedure,Logbook Entry,"While flight planning crew noticed a sign off about the water service door being cycled by the crew. At 5'10' this reporter could not reach said door and with just under 4% of the population is reported over 6'3'; (guesstimate of size required to reach) one must assume the pilots could not reach the door without some assistance. This is forbidden under FOM (Flight Operations Manual) guidance Pilot Accomplished Tasks. Just want to ensure [Operations Management] is not requesting actions of pilots that are forbidden.",,,,"A320 Captain reported the aircraft logbook appeared to indicate a previous flight crew had operated the water service door which is prohibited by the Flight Operations Manual.",
1684513,201909,1201-1800,DFW.Airport,TX,,,0,,,VMC,,,Daylight,,,,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,FMS Or FMC,Takeoff / Launch,,Class B DFW,Y,Y,Y,Y,Unscheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,Cabin Furnishing,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Time Pressure,Party1 Flight Crew; Party2 Maintenance,,1684513,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL,,,Person Flight Crew; Person Flight Attendant,In-flight,General None Reported / Taken,Logbook Entry; Procedure; Aircraft,Logbook Entry,"I received a call from the flight attendants shortly after takeoff. The Flight Attendant said that the cabin overhead liner at the over wing emergency exits had fallen down. It was the overhead liner that had the 'EXIT' sign attached. I transferred the controls and radios over to the First Officer and consulted with the flight attendants on the nature of the problem. The concern was the possible blockage of the emergency exits if an evacuation had to be initiated for whatever reason. However; there was a Company Flight Attendant commuting home sitting in the emergency exit row who offered to assist if necessary. The flight attendants determined that it would be safe to proceed; consultation with the company through ACARS said that there was no need to return to the field. As there seemed no additional risks; I agreed to continue the flight. On landing; it was noticed that the panel was held up by tape; not dissimilar to the type used in the cargo bays and other temporary fixes. A Field Mechanic stated that one of the two securing grommets was too large to hold the securing pin. It was further noticed that there was no write up for the NEF (Non-Essential Equipment Furnishings) deferment. Prior to the flight; a Company Mechanic was working on the cabin lights in that vicinity. I thought it was associated with that maintenance procedure. I did not ask the Mechanic what was done as there was a push to keep the flight on time. The Field Mechanic who inspected the fallen panel stated that it was unlikely to be associated with the cabin lights procedure. He proceeded to NEF the panel.[My suggestion is to] resist the pressure from gate to board early. I personally feel that the 'auto-boarding' procedure from main-line adds unnecessary pressure on the flight crew to get things done in a hurry. Every crew member that I have talked to says that they feel pressured to rush tasks when passengers are waiting at the doorway as preflight procedures are still being completed or when catering is still in the galley stocking as passengers as boarding. Take time to talk to the Mechanic and ask what tasks were actually performed. If I had done this; I would have known if they were the ones who applied the tape and not someone else. Refuse to accept the abnormal as normal. The proliferation of temporary quick-fix tape within the fleet should not be disregarded as just another normal day. Each temporary taping should be examined to see if it complies with company operational procedures. Again; time pressures can muddy the waters some.",,,,"Captain reported that a ceiling panel came loose during takeoff when the tape securing it failed and it was discovered to be not recorded in the NEF deferral list.",
1684947,201909,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,Parked,,,N,N,N,N,Scheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Repair Facility,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,,,,1684947,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Maintenance,,,Person Maintenance,Pre-flight,General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Manuals; Logbook Entry; Aircraft; Company Policy,Logbook Entry,"I was doing ETOPS exterior inspection; finding numerous issues which exceeded what would 'normally' find while doing an exterior inspection.  I am finding lightning strike 'repairs' that are not DOCUMENTED IN THE [damage history].  I am finding a sign off in the logbook stating 'everything' has been taken care of in the beginning of the month with a lightning strike; but again nothing to say where this damage was repaired. So now I'm looking at a plane that has been hit again with lightning and I'm seeing damage around inlets; belly with holes blown out next to rivets; elevator with burnt edges and holes next to rivets; aileron on the left with a trailing edge burnt as well. I find a hole in the side of the plane that has 'fresh Paint'; wiped the area off and you can see sanding marks with several coats of paint in different directions with the company [color]. This as well is UNDOCUMENTED MAINTENANCE PREFORMED; the fibers from the composite can be seen hanging out of the hole with an attempt to 'hide' the damage; then the question is what about the inspection to check the damage that is caused with a blow and dis-bonding inside of the damaged area and clearly NOTHING was done. So a hit into a pressurized area and ZERO repair or documentation to verify there isn't further damage or that the side of the plane will blow out in that area.  While seeing this damage I had composite panels that did not have paint on them and direct exposed composite without any protection but I had damage being 'hidden' with paint. I had control surfaces with lightning damage; fuselage damage with burn holes and a hit in the side of the plane 'painted over' to hide it. I was approached by the pilot and was asked if I had any issues while I was upstairs looking through the logbook to find documentation and also the [damage history] with nothing written. I told him some of the problems and was asked to show him. After he made it a BIG point that 'he was TOLD they could get on the plane by management.' So I decided I; as a professional courtesy; I was then asked 'when I found this; it didn't look bad; it could be just wiped off' and 'could hardly see it if it was wiped off' and 'the hole didn't look bad that was punched into the side of the plane'; I also shown him and the FO (First Officer) which came with the damage of the elevator and aileron as well with statements of that it doesn't look like anything. Then the best was a pilot could feel it if lightning HAD hit the plane.'  All followed by 'what am I going to do about this stuff' This after a belittlement of my findings as if a need to justify to have a need to write the items up. This plane had been inspected and items had been covered up with paint and other damage 'missed' and this was by maintenance personnel because the paint used to try and cover the hole in the side of the plane matched the plane exterior color.Clearly this was seen and was [an] attempt to cover up the problems; [damage history] was not entered with the damage; missing paint and again nothing was painted but the hole in the side of the plane was painted over.",,,,"Technician reported that during an ETOPS Pre-Departure check; it was discovered that aircraft had been struck by lightning and repairs were not accomplished correctly or recorded as required in the damage history.",
1686196,201909,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Q400,,2,Part 121,IFR,Passenger,,Parked,,,Y,N,Y,N,Unscheduled Maintenance,Testing,,,,,,,,,,,,,,,,,,Toilet Furnishing,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Dispatch; Party2 Maintenance,,1686196,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Aircraft In Service At Gate,Flight Crew Became Reoriented; General Maintenance Action,Procedure; MEL; Logbook Entry; Aircraft,Logbook Entry,"Upon arrival in ZZZ found lavatory seat detached and FA (Flight Attendant)-A advised that Air Stair door lights were not working. Contacted Maintenance Control for those items.While making log book entries I found that the Air Stair door lights were working and advised FA-A on how to operate the push down button to activate the lights. I then made the Lavatory seat AML (Aircraft Maintenance Logbook) entry. Maintenance showed up some time later and took the broken seat and AML.While waiting for Maintenance to return I called my Dispatcher and she advised Maintenance was going to MEL the LAV and inquired about the Air Stair door lights. I advised her there was no AML entry for the lights as they were working properly. She then consulted Maintenance Control on her end and provided the Lavatory Inoperative MEL Dispatch release amendment over the phone to my dispatch release. We then boarded and I reviewed the MEL provisions with FA-A and the First Officer. As boarding was winding up; Maintenance showed up and performed the Maintenance actions required to MEL the lavatory. I reviewed the last page of the AML to verify my write up was complied with. And off we went.After takeoff we received a message to contact Dispatch. After contacting; I learned that Maintenance had put the air stair door lights on MEL during this process.After reviewing the AML more closely I discovered that Maintenance had made a Maintenance write up and MEL of the air stair door lights on a page prior to my lavatory entry. They were able to do this due to daily checks from the previous days still having white pages to write on. I did not expect this. My assumption is not use white pages with daily checks from previous calendar days for AML entries and to make AML entries sequentially.As a side note; I find it odd that Maintenance did not even ask me to make the additional AML entry for the Air Stair door lights and they did not verify the operation of the lights prior to the MEL.Lesson learned; do not try to get ahead of the game by amending the dispatch release with MEL's until the log book is back in your hands. Let the process work. This will make a great example of swiss cheese and expectation bias when conducting Captain OE.",,,,"DH8-400 Captain reported confusion regarding logbook maintenance entries and MEL procedures caused aircraft to be flown with an open item in the logbook.",
