 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1235592,201501,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,A320,,2,Part 121,,Passenger,,Parked,,,N,N,Y,,Unscheduled Maintenance,Inspection; Testing,,,,,,,,,,,,,,,,,,Electrical Wiring & Connectors,Airbus,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Time Pressure; Workload; Communication Breakdown; Distraction,Party1 Maintenance; Party2 Maintenance,,1235592,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew,In-flight,Flight Crew Diverted; General Maintenance Action,Manuals; Staffing; Aircraft; Chart Or Publication; Environment - Non Weather Related; Human Factors; MEL,Manuals,"January 2015; I received a call from ZZZ Line Maintenance Technician X. An A320 Aircraft had a popped Circuit Breaker (C/B) L32; which was for Left gear brake fan. Technician X stated when C/B was pushed in; an [electrical] arc was seen on [Left] gear. ZZZ inspected the left gear conduit. I asked if the conduit was secure. He said it was secure; but with a burn mark. I said we need to contact engineering. We had a 3-way conference with company Engineer X. I had concerns from last year; many Airbus's had problems with landing gear conduits. I ask if we could dispatch aircraft in this condition. Engineer X checked his records and did not find any documents that we had to stop the aircraft. A Brake Steering Control Unit (BSCU) Bite check showed no faults. A review of MEL 32-48-01a; has no Maintenance (M) or Operations (O) procedures for this condition. C/B's L32-L35 were pulled and collared per Typical Repair (TR) 32-00-14; Brake Fan MEL 32-48-01a.On Takeoff out of ZZZ; A320 aircraft had an Auto Brake Fault. [Airbus] Web Airman showed Tachometer-1 fault. We had the aircraft divert to ZZZ1 for repairs; due to the fact it was going to a Non-maintenance station. Mechanics have pressure to move aircraft on Time. The aircraft was fully loaded and ready to go. The popped breaker was pulled and collared; but no thought was giving to other system wires damaged. Engineering was contacted. ZZZ did do a Bite check for other faults; but none found. We believed at the time the only damage was to the Brake Fan system. ZZZ1 maintenance found that the wire harness was damaged; which made Tachometer-1 fail. ZZZ1 [Maintenance] replaced the bad harness. The Airbus desk is very understaffed. Operations put great pressure on maintenance to move the aircraft. I have been told many times by dispatch; we do not change the Aircraft for maintenance convenience. The Typical Repair or the MEL should give more guidance [for] Landing Gear conduits. Maintenance Operations Center (MOC). Technician. Maintenance Control.",,,,"A Maintenance Controller reports how their understaffed Airbus desk and pressure by Operations to move aircraft 'On Time'; contributed to deferring and collaring a popped Brake Fan Circuit Breaker (C/B) for a Left Main Gear harness that had previously arced; left burn marks and a Tachometer-1 fault. Airbus A320 diverted after takeoff due to an Autobrake Fault.",
1237349,201502,0001-0600,SEA.Airport,WA,,,0,,,,,,,,,,Air Carrier,Light Transport; High Wing; 2 Turboprop Eng,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface,,,1237349,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General None Reported / Taken,Manuals,Manuals,"While using the iPad to look up answers during our Advanced Qualification Program (AQP) oral it became obvious that it has a serious shortcoming. The iPad has no compete table of contents that can be looked at once like a paper manual. If you were to look at a paper manual table of contents you would at a glance see the subject you are looking for. With an iPad you tap on the subject and then get a tab behind a tab etc. i.e. FOM - Policy>Flight>Standard Callouts. If you click on the wrong tab to find something you have to back out of 'the rabbit hole' and look elsewhere. It's very hard to find things. The Performance Manual has no index or tab to find specific airport performance and turn procedures. The only way to get to an airport is to scroll along to find it. Very hard to do in flight. The search function is almost useless. For example: type EAT in the Performance Manual to find Wenatchee and it will find many answers like great Falls etc.A simple complete table of contents and tabs for each airport in the Performance Manual will solve this problem.",,,,"A Captain; preparing for an Advanced Qualification Program (AQP) oral; reports on the many shortcomings of the IPad as a replacement for traditional aircraft flight manuals.",
1237479,201502,1201-1800,SAT.Airport,TX,,,,13000,,,,,Daylight,,,TRACON SAT,Corporate,Falcon 900,,2,Part 91,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 04,Descent,STAR RODIO2,Class E SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Not Flying,Flight Crew Flight Instructor,Flight Crew Last 90 Days 36; Flight Crew Total 7000; Flight Crew Type 465,,Confusion; Human-Machine Interface; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1237479,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented,Manuals; Human Factors,Manuals,"While on the RODIO2 RNAV Arrival into San Antonio (KSAT); the ATIS informed us Runway 4 was in use. The Pilot Flying entered the Runway and ILS 04 in the FMS while I checked the chart.  While comparing the waypoints he mentioned that the FMS had us going over TROOP and CRISS intersections. At first glance I thought runway 4 would take us over the southern arrival gate using POYIG and BERNE; then saw the note at CRISS that listed Runways 4; 12R; 30L so I agreed we would be using CRISS.  Shortly; the approach controller asked if we were on the RWY 4 arrival course and I confirmed we were and expecting RWY 4. He came back in a minute and gave us a heading.  I thought that might mean we were on the wrong one so I checked again and noticed that the note at CRISS stated 'LANDING OTHER THAN SAN ANTONIO INT'L RWYS 4; 12R; 30L'. I asked if we should rejoin and we were cleared to.Then we had to resolve why the FMS had kept the wrong transition points. We don't know exactly but I found that to get the correct ones I not only had to enter the RWY and APPROACH but if I selected the STAR that it changed the waypoints to the correct transition.  It is now my conclusion that when the flight plan was filed; the RODIO2 was filed without a runway; but the CRISS arrival transition was in the flight plan. We were cleared as filed so these remained in the flight plan as it was loaded in the FMS.  The waypoints were correct but the RODIO2 was not in the FMS as a STAR; merely as waypoints that were chosen from the flight planning software for filing.My mistake was obvious (misreading the note) but aggravated and allowed by the FMS issue which caused me to believe my mistake.  I would think that avoiding words like 'OTHER THAN' would avoid missing this negative reference to the runways that are NOT intended.",,,,"A flight crew discovered that their FMS had kept the wrong transition points for their arrival runway. The arrival STAR was not loaded in the FMS. A confusing note over an expected transition point added to the confusion.",
1238261,201502,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,Ramp ZZZ,Air Carrier,A320,,,Part 121,,Passenger,,Parked,,,Y,,Y,,Unscheduled Maintenance,,,,,,,,,,,,,,,,,,,Hydraulic Syst Pressure/Temp Indication,Airbus,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Commercial,,,Training / Qualification; Communication Breakdown; Confusion; Time Pressure,Party1 Flight Crew; Party2 Maintenance,,1238261,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew,Pre-flight,General Maintenance Action,Human Factors; MEL; Manuals; Aircraft,Manuals,"During preflight; the first officer noticed on the HYD ECAM page that the line extending up from the blue pump was green instead of amber as it should be with no Blue System pressure. The System was otherwise indicating no pressure. We entered the discrepancy in the log book and called maintenance. The maintenance technicians were instructed by Maintenance Control to apply MEL 29-30-03F; ECAM HYD Page Indications; System Pressure.  I was uncomfortable with the validity of this MEL as our Flight manual indicates that system pressure is depicted by the three numerical values at the top of the ECAM page only. I brought this up to the maintenance technicians who were applying the MEL and they said they were doing what Maintenance Control had instructed them to do and assured me that that green line was; indeed; a pressure indication. I objected and asked them to provide some form of documentation to show that this fell under the MEL they were applying. Maintenance Control was not willing to provide any documentation; but the technicians provided some documentation that this was a pressure indication.... Still not comfortable; I tried to call scheduling to get a number to talk to a chief pilot but sat on hold for quite some time. I also tried to look up some reference which would give me an idea of whether this MEL was appropriate. As we no longer have any kind of a Systems book other than the A320 training manual; which is too vague for this purpose; I was unsuccessful in that endeavor. At this point; I had nothing other than a vague recollection from my original systems training in 1996 that this was different from a system pressure; and the people whose job and responsibility it is to determine what is an appropriate MEL all assured me that it was correct. At this point we looked again at the ECAM HYD page and noticed the line had turned amber (normal). At that point; since the problem was clearly documented the fault no longer existed and we couldn't find anything excluding this fault from the MEL; we decided to depart.After we departed; I was still uncomfortable; so I looked again at the MEL for more definitive information. The one thing that I noticed is that for this MEL; it states that there are three installed and one may be inoperative. Because there are three numerical pressure indications at the top of the ECAM page; I feel this casts some doubt on the appropriateness of this MEL for this particular failure.The main reason the event occurred is that the MEL and Flight manuals are not specific enough; in my humble opinion to determine if this is an appropriate MEL for the system failure being addressed. Also; I have been told things by local maintenance in the past that turned out to be not correct. I can't name a case where Maintenance Control was incorrect; but after a few experiences; I don't trust maintenance to tell me what I can and cannot fly with without clear documentation. In order to be more sure of our actions; and not delay flights with maintenance issues; we need someone we can easily and quickly contact during all operating hours; whom we trust; to discuss such issues. This is a complicated airplane and history has shown me that maintenance is not that someone.  When writing an MEL; it must be impossible to think of all the scenarios which may occur like this. That is; cases where it is unclear if an MEL is appropriate. It would be helpful in this case if a note were added to the MEL including or excluding the green line in question. It would also be helpful if the Flight manual labeled this green line. I was unable to find a reference anywhere describing exactly what it is....Please understand; that like most pilots at this airline; I want to operate a safe aircraft and I want to operate on time. I find ambiguity in the operation to be my large impediment to attaining this goal.",,,,"A Captain reports their A320 MEL and Flight Manuals are not specific enough to determine if an MEL 29-30-03F of an ECAM Hydraulics Page Indications; System Pressure is appropriate for the system failure being addressed. First Officer (FO) had noticed on the ECAM HYD Page that a line extending up from the blue pump was green instead of amber as it should be with no Blue System pressure.",
1242832,201502,0001-0600,SEA.Airport,WA,,,0,,,,,,,,,,Air Carrier,Large Transport,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,,,Training / Qualification; Time Pressure; Distraction; Communication Breakdown; Confusion,Party1 Flight Crew; Party2 Flight Attendant; Party2 Ground Personnel,,1242832,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant In Charge,Flight Attendant Current,,Boarding,Communication Breakdown; Time Pressure; Training / Qualification; Workload; Distraction; Confusion,Party1 Flight Attendant; Party2 Ground Personnel; Party2 Flight Crew,,1243161,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation,,,Person Flight Attendant,Aircraft In Service At Gate,,Manuals; Company Policy,Manuals,"Just near time of departure one passenger indicated he had lithium camera batteries in his carry on roller bag that there was no room for on the plane. The A flight attendant correctly noted that restrictions apply to this. She knew there was a restriction; but not what it was. She asked the agents to resolve the situation. The agents; nor their supervisor did not have an understanding of the restrictions. My copilot found that our manuals did not contain this information. Since there seemed to be an impasse; I decided to go and see if I could help. The flight attendant found their manual. As I read the page it seemed to me that a passenger could have two batteries installed; and two that were spares but protected; on board. I also read they could have two protected spares in a checked bag. (His bag was going to be checked.) I had him carry on his two cameras; two spares with covers on board and pack two spares with covers in his gate checked bag. According to his count this left one battery left over that was left with the agents to be taken to the baggage area to be held. The next day the A flight attendant told me I had mis-read the restrictions and that would be reflected in her report. I should have left the issue to the ground staff to resolve.",,"Bottom line...passenger had boarded last...with a suitcase full of cameras...and lithium batteries...he was told to stow it onboard; I told him I would hold it and look into where we would put it...I contacted the [manual].  I looked up hazardous/approved lithium non ionizing batteries in my manual; the agents (3) were out on the jetway near the bag...I paged for the pax to come up...I asked him to open and identify to us what exactly he had in there....he had at least 7 LARGE lithium batteries and a few cameras.He was allowed to bring on 2 cameras with the lithium batteries installed; one in each pocket of his jacket; 2 in a plastic bag (not installed) to into the cargo; and a bag to leave behind the remaining batteries. I was not comfortable with the batteries in the cargo uninstalled....a ground crc/ops/cargo/lead agent was brought up to the jet way...the Captain; First Officer; ground personnel and 3 agents made these determinations based on their interpretation of my manual. With our Flight Attendant training and studies of inflight fires re: lithium batteries...this did not ring right....Please have all carrier personnel who are relating to passengers and their carry ons with approved hazardous materials....csa's; cargo; maintenance; ops; crc; pilots; everyone in a need to know position to have approved hazardous items re: Lithium non -ionizing batteries accepted FLOW CHART/re: onboard stowage and cargo specifics...we all need to be on the SAME PAGE with the SAME INFO!THANK YOU!",,"A flight crew tried to help a Flight Attendant solve a dilemma posed by a passenger wishing to bring aboard a number of lithium batteries. The flight attendant Manual had a chart which provided guidance but unfortunately; they misinterpreted the chart.",
1245578,201503,0601-1200,ZZZ.Airport,US,,,0,,,,,,Dawn,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Aero Charts,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,,,Confusion; Human-Machine Interface; Troubleshooting,,,1245578,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,Flight Crew Overcame Equipment Problem,Manuals,Manuals,"I reported for an all-nighter to ZZZ. I was in the back computer area checking in and trying to connect my iPad to the Wi-Fi provided. I knew I had one update that was needed in my Jeppro app. I tried numerous times to get the update to load but it would not finish the process. At that time I decided I need to get to the gate for our departure time. I figured I could update at the hotel when I arrived for the overnight. Upon checking into the room I went to work and had the same result of not being able to finish the download. I have read in [Company] messages hotel have trouble sometimes with bandwidth; I believe I experienced that issue at the hotel and in the computer area of the lounge in ZZZ1. At this point I went to bed and was going to try in the morning before our departure for the airport. To no avail the update would not upload. We proceed to ZZZ and as we our running our preflight duties a federal inspector came on board to preform and line check. I immediately notified him of my situation of lacking an update in my Jeppro app. He told me I need to ASAP this situation; I have read the [company] messages about keeping your iPad up to date. All I can say is that I tried to comply to the best of my ability in this situation. The federal inspector did provide good insight on how to avoid this in the future as in; check the airport Wi-Fi for example ZZZ is free; mobile hotspot off your phone. That is what the inspector did to get the update on my iPad. I can say I have gone this route and now have mobile hotspot on my phone to prevent this from ever coming up again. I do believe with my mobile hotspot and how the inspector went through the steps on using one and now having my own this will never happen to me again.",,,,"An A320 pilot had been unable to update his IPad at several different locations. An FAA inspector; during the course of a line check; showed him how to use the airport Wi-Fi to update his IPad.",
1261582,201505,,,,,,,,,,,,,,,Center SKED,Air Carrier,B767 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,,,,,,,1261582,,,,,,,,,,,,No Specific Anomaly Occurred All Types,,,Person Flight Crew,In-flight,General None Reported / Taken,Manuals,Manuals,"Briefing student pilot on depressurization routes in South America; they brought an issue to my attention. The South America section of the flight manual still has old depressurization escape route pages. There are two concerns with these charts:1. These pages should be copied into the SKBO (Bogota) Jeppesen pages for quick reference for arrival and departure flights in and out of SKBO.2. There are 3 pages that describe the procedures in a different format that the other traditional escape route map formatted pages with text and map all on one page. Having to flip back and forth between a map and text page is unnecessary and burdensome; especially with an emergency requiring an escape route. These could be combined onto one single page that is formatted like all the other South America and Greenland terrain depressurization escape route pages.Bogota is challenging enough. Making the critical information easier to read and more accessible is essential to a safer operation.",,,,"B-767 Captain points out conflicting/out-of-date depressurization escape routes in the South America section of the flight manual.",
1265550,201505,1801-2400,ZZZ.ARTCC,US,,,,33000,,,,,Daylight,,,Center ZZZ,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Window,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,1265550,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,,Manuals,Manuals,"Aircraft was in level flight at 33;000 feet when the captain's side windshield shattered. Followed Emergency/Non-Normal Checklist and descended down to 25;000 feet and adjusted cabin pressure to 6.2 ^p. Monitored situation and continued on to planned destination. No further incident or action.My only concern was the structure of the checklist. The sixth item on the checklist states:DESCENT..............Initiate if required.There is no guidance in the checklist advising you why you would initiate a descent. The only guidance is in a memo dated back [a few months back]. It was my quick-thinking first officer who had this memo stored on his iPad that remembered it. I remembered the memo but did not remember the specific guideance for making a command decision. It would have been very valuable to have the information about getting the cabin pressure to a ^p of 6.2 written in the checklist itself.",,,,"Upon completion of QRH procedure for a cracked windshield; crew of CRJ-900 remembered a company memo with clarifying info.",
